Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1989-06-01,25.8,22.3,31.7,27.5,33.2,6.0,25.2,45.9,117.6,53.0,83.3,12.0,1
1989-07-01,25.7,22.2,31.6,27.7,32.7,6.0,25.4,33.3,157.6,53.0,82.6,12.0,1
1989-08-01,25.9,21.5,31.0,27.1,33.3,5.3,25.0,81.4,201.0,48.0,83.7,18.0,2
1989-09-01,25.9,21.3,30.8,26.9,32.7,5.5,24.8,102.2,247.3,50.0,84.4,14.0,1
1989-10-01,26.1,21.1,31.3,27.1,32.9,5.5,24.9,24.9,111.0,51.0,83.7,16.0,2
1989-11-01,25.9,22.6,31.0,26.7,32.8,5.4,24.8,148.6,508.4,56.0,86.0,20.0,2
1989-12-01,25.2,22.5,30.2,26.3,32.0,4.8,24.4,44.2,179.7,58.0,85.5,18.0,2
1990-01-01,26.1,22.4,30.3,26.2,32.1,5.3,24.0,73.9,147.4,52.0,83.8,13.0,1
1990-02-01,26.3,24.0,32.4,27.6,34.0,8.9,25.0,6.6,24.1,38.0,80.9,8.0,1
1990-03-01,26.2,21.4,33.3,28.2,34.7,8.3,25.1,48.6,94.2,39.0,77.6,4.0,0
1990-04-01,25.7,23.1,33.4,28.5,35.0,6.3,25.9,12.0,52.4,44.0,81.2,10.0,1
1990-05-01,26.1,23.0,32.8,28.6,34.6,6.5,25.9,153.7,180.1,45.0,81.1,11.0,1
1990-06-01,26.6,21.9,32.4,28.3,33.8,6.3,25.7,76.1,112.6,46.0,80.7,9.0,1
1990-07-01,26.0,22.6,31.4,27.5,33.5,5.9,25.1,44.5,124.0,53.0,82.7,12.0,1
1990-08-01,26.2,21.1,31.4,28.0,33.9,5.8,25.6,38.3,146.6,46.0,82.3,13.0,1
1990-09-01,25.6,21.2,31.3,27.2,33.3,5.1,25.0,44.5,204.5,39.0,83.2,17.0,2
1990-10-01,25.8,23.7,31.8,27.5,33.3,5.9,25.2,20.2,56.4,50.0,83.5,12.0,1
