Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days
1982-01-01,0.0,21.9,29.8,25.9,31.9,5.6,0.0,36.5,107.1,49.0,81.2,10.0
1982-02-01,0.0,22.6,32.3,27.1,34.3,7.6,0.0,9.4,27.8,49.0,79.5,5.0
1982-03-01,0.0,22.3,31.7,27.2,34.3,5.1,0.0,61.7,160.8,51.0,82.3,11.0
1982-04-01,0.0,22.2,31.4,27.0,33.2,4.7,0.0,45.1,157.0,54.0,85.9,14.0
1982-05-01,0.0,23.7,31.7,28.0,32.9,5.8,0.0,33.0,102.2,57.0,83.2,10.0
1982-06-01,0.0,23.1,31.9,28.4,33.3,7.3,0.0,20.6,59.5,53.0,80.3,8.0
1982-07-01,0.0,22.1,31.6,28.2,33.0,7.6,0.0,17.2,76.3,38.0,77.6,8.0
1982-08-01,0.0,21.9,31.1,27.7,33.2,5.4,0.0,57.7,169.5,52.0,80.4,11.0
1982-09-01,0.0,23.5,31.4,27.9,33.2,5.2,0.0,18.0,54.1,49.0,80.6,9.0
1982-10-01,0.0,22.6,32.1,27.4,33.8,5.6,0.0,10.0,39.3,49.0,81.5,10.0
1982-11-01,0.0,23.1,32.4,27.3,34.3,5.8,0.0,39.6,134.0,47.0,83.4,13.0
1982-12-01,0.0,22.8,29.9,26.2,33.0,3.3,0.0,109.0,494.1,56.0,87.7,21.0
1983-01-01,0.0,23.0,30.3,26.5,32.1,4.3,0.0,43.2,246.0,53.0,85.6,18.0
1983-02-01,0.0,23.1,33.1,28.1,34.6,9.3,0.0,5.1,5.6,41.0,78.0,2.0
1983-03-01,0.0,24.3,34.4,28.9,35.8,8.9,0.0,18.3,18.6,40.0,76.0,2.0
1983-04-01,0.0,23.5,34.3,29.4,35.8,6.6,0.0,21.3,33.6,39.0,77.2,4.0
1983-05-01,0.0,23.5,32.5,28.3,34.0,5.9,0.0,32.3,160.8,58.0,83.2,11.0
1983-06-01,0.0,21.3,31.9,28.3,33.6,5.9,0.0,27.7,94.0,51.0,82.4,11.0
1983-07-01,0.0,21.4,31.0,27.6,33.0,5.4,0.0,55.5,190.0,54.0,83.7,18.0
1983-08-01,0.0,22.1,31.5,28.1,32.7,6.3,0.0,181.8,262.2,44.0,81.2,10.0
1983-09-01,0.0,22.4,31.1,27.2,32.8,3.8,0.0,50.3,170.8,55.0,84.4,18.0
1983-10-01,0.0,22.4,31.5,27.6,33.7,5.2,0.0,40.0,212.7,47.0,82.5,17.0
1983-11-01,0.0,21.3,30.5,26.6,32.6,3.2,0.0,54.8,228.8,49.0,85.2,18.0
1983-12-01,0.0,21.9,28.9,25.4,31.3,2.7,0.0,164.4,370.6,57.0,88.0,16.0
1984-01-01,0.0,21.2,29.5,25.5,31.7,4.1,0.0,62.3,251.2,55.0,85.8,18.0
1984-02-01,0.0,21.1,30.0,25.8,31.5,4.1,0.0,154.4,470.4,58.0,86.0,19.0
1984-03-01,0.0,22.1,30.8,26.5,32.8,5.3,0.0,119.4,361.3,56.0,85.4,19.0
1984-04-01,0.0,22.7,31.3,27.3,32.7,6.2,0.0,38.7,153.1,55.0,83.8,17.0
1984-05-01,0.0,21.9,31.3,27.3,32.9,6.4,0.0,46.0,186.5,54.0,84.1,12.0
1984-06-01,0.0,21.4,31.1,27.5,32.7,5.4,0.0,121.1,255.0,52.0,83.1,14.0
1984-07-01,0.0,22.5,30.7,27.2,33.0,5.7,0.0,49.2,127.2,55.0,83.7,12.0
1984-08-01,0.0,22.4,31.2,27.4,32.8,6.0,0.0,22.5,102.7,60.0,84.1,13.0
1984-09-01,0.0,21.0,30.9,26.8,32.4,4.9,0.0,46.5,186.7,49.0,83.9,17.0
1984-10-01,0.0,21.2,31.6,27.4,33.4,5.3,0.0,47.2,187.5,53.0,82.5,11.0
1984-11-01,0.0,22.8,31.0,26.5,32.7,4.3,0.0,35.4,127.7,58.0,86.3,17.0
1984-12-01,0.0,22.0,30.0,26.0,32.2,3.3,0.0,58.4,277.4,58.0,86.7,22.0
1985-01-01,0.0,22.2,31.2,26.6,33.0,8.7,0.0,35.5,111.1,49.0,81.5,7.0
1985-02-01,0.0,22.2,32.1,27.0,33.7,6.5,0.0,18.7,79.3,51.0,84.0,11.0
1985-03-01,0.0,23.1,31.8,27.1,33.3,5.6,0.0,23.8,88.0,56.0,83.9,13.0
1985-04-01,0.0,22.4,32.2,27.5,34.2,5.5,0.0,29.3,110.5,55.0,83.8,14.0
1985-05-01,0.0,23.5,31.8,28.0,33.6,5.7,0.0,36.2,70.1,55.0,83.4,12.0
1985-06-01,0.0,23.4,32.1,28.2,35.0,5.8,0.0,9.9,37.0,43.0,79.4,14.0
1985-07-01,0.0,21.0,30.8,27.0,33.3,5.3,0.0,32.2,131.8,50.0,83.1,17.0
1985-08-01,0.0,21.3,31.5,27.7,33.0,6.2,0.0,21.4,56.9,53.0,80.4,11.0
