iter	Passed	Remaining
412	2477	3521
413	2480	3510
414	2482	3499
415	2485	3488
416	2488	3479
417	2491	3469
418	2495	3460
419	2498	3450
420	2502	3441
421	2505	3431
422	2508	3422
423	2511	3411
424	2514	3401
425	2517	3391
426	2520	3381
427	2522	3371
428	2526	3362
429	2529	3352
430	2532	3343
431	2535	3333
432	2538	3323
433	2540	3313
434	2543	3304
435	2547	3294
436	2550	3285
437	2552	3275
438	2556	3267
439	2559	3257
440	2562	3247
441	2565	3238
442	2568	3228
443	2571	3219
444	2574	3210
445	2576	3200
446	2579	3191
447	2582	3182
448	2586	3173
449	2589	3164
450	2592	3155
451	2595	3146
452	2598	3137
453	2601	3128
454	2603	3118
455	2606	3109
456	2609	3100
457	2612	3091
458	2616	3083
459	2619	3074
460	2622	3065
461	2625	3056
462	2628	3048
463	2631	3039
464	2633	3030
465	2636	3021
466	2639	3012
467	2641	3003
468	2644	2994
469	2648	2986
470	2651	2977
471	2654	2969
472	2656	2960
473	2659	2951
474	2662	2942
475	2664	2933
476	2667	2924
477	2669	2915
478	2673	2907
479	2676	2899
480	2679	2890
481	2681	2881
482	2684	2873
483	2686	2864
484	2688	2855
485	2691	2846
486	2695	2839
487	2698	2830
488	2700	2821
489	2702	2813
490	2706	2805
491	2708	2796
492	2711	2788
493	2713	2779
494	2716	2770
495	2718	2762
496	2720	2753
497	2723	2745
498	2725	2736
499	2727	2727
500	2730	2719
501	2732	2711
502	2736	2703
503	2738	2695
504	2741	2686
505	2743	2678
506	2745	2669
507	2747	2661
508	2750	2652
509	2752	2644
510	2754	2635
511	2756	2627
512	2758	2618
513	2760	2610
514	2762	2601
515	2766	2594
516	2768	2586
517	2770	2577
518	2772	2569
519	2774	2561
520	2776	2553
521	2778	2544
522	2781	2536
523	2783	2528
524	2785	2520
525	2787	2511
526	2789	2503
527	2791	2495
528	2794	2488
529	2796	2480
530	2798	2472
531	2801	2464
532	2803	2456
533	2805	2448
534	2807	2439
535	2809	2432
536	2812	2424
537	2814	2416
538	2816	2408
539	2818	2400
540	2820	2393
541	2823	2385
542	2825	2377
543	2827	2370
544	2830	2362
545	2832	2354
546	2834	2347
547	2836	2339
548	2838	2331
549	2840	2324
550	2842	2316
551	2844	2308
552	2846	2300
553	2848	2293
554	2851	2286
555	2854	2279
556	2856	2271
557	2858	2264
558	2860	2256
559	2862	2249
560	2864	2241
561	2867	2234
562	2869	2227
563	2871	2219
564	2873	2212
565	2875	2205
566	2877	2197
567	2880	2190
568	2882	2183
569	2885	2176
570	2887	2169
571	2889	2162
572	2891	2154
573	2893	2147
574	2896	2140
575	2898	2133
576	2901	2126
577	2903	2119
578	2905	2112
579	2907	2105
580	2909	2098
581	2912	2091
582	2915	2085
583	2917	2078
584	2919	2071
585	2921	2064
586	2923	2057
587	2926	2050
588	2928	2043
589	2930	2036
590	2932	2029
591	2934	2022
592	2936	2015
593	2938	2008
594	2941	2002
595	2944	1995
596	2946	1989
597	2948	1982
598	2950	1975
599	2953	1968
600	2955	1961
601	2957	1955
602	2959	1948
603	2962	1941
604	2964	1935
605	2966	1928
606	2968	1922
607	2970	1915
608	2973	1909
609	2975	1902
610	2977	1895
611	2979	1889
612	2981	1882
613	2984	1876
614	2986	1869
615	2989	1863
616	2991	1856
617	2993	1850
618	2995	1843
619	2997	1837
620	2999	1830
621	3002	1824
622	3004	1818
623	3006	1811
624	3008	1805
625	3011	1798
626	3013	1792
627	3015	1786
628	3017	1779
629	3019	1773
630	3021	1766
631	3023	1760
632	3025	1754
633	3028	1748
634	3030	1741
635	3032	1735
636	3034	1729
637	3036	1723
638	3038	1716
639	3040	1710
640	3043	1704
641	3045	1698
642	3048	1692
643	3050	1686
644	3052	1680
645	3055	1674
646	3057	1668
647	3060	1662
648	3063	1656
649	3065	1650
650	3067	1644
651	3069	1638
652	3072	1632
653	3074	1626
654	3076	1620
655	3078	1614
656	3081	1608
657	3083	1602
658	3085	1596
659	3088	1590
660	3091	1585
661	3093	1579
662	3095	1573
663	3098	1567
664	3100	1561
665	3102	1556
666	3104	1550
667	3106	1544
668	3109	1538
669	3111	1532
670	3113	1526
671	3115	1520
672	3117	1514
673	3120	1509
674	3122	1503
675	3124	1497
676	3126	1491
677	3129	1486
678	3131	1480
679	3133	1474
680	3135	1468
681	3138	1463
682	3140	1457
683	3142	1451
684	3145	1446
685	3147	1440
686	3149	1434
687	3152	1429
688	3154	1423
689	3156	1418
690	3158	1412
691	3161	1407
692	3163	1401
693	3165	1395
694	3168	1390
695	3170	1384
696	3172	1379
697	3174	1373
698	3176	1368
699	3179	1362
700	3181	1357
701	3184	1351
702	3186	1346
703	3188	1340
704	3191	1335
705	3193	1330
706	3196	1324
707	3198	1319
708	3200	1313
709	3203	1308
710	3205	1302
711	3207	1297
712	3209	1291
713	3212	1286
714	3214	1281
715	3216	1276
716	3219	1270
717	3221	1265
718	3223	1259
719	3225	1254
720	3227	1249
721	3229	1243
722	3232	1238
723	3234	1232
724	3236	1227
725	3238	1222
726	3241	1217
