iter	Passed	Remaining
423	1791	2433
424	1794	2427
425	1797	2421
426	1799	2415
427	1802	2408
428	1804	2401
429	1807	2395
430	1809	2389
431	1811	2381
432	1814	2376
433	1818	2371
434	1820	2364
435	1822	2357
436	1825	2351
437	1827	2344
438	1829	2337
439	1831	2331
440	1834	2324
441	1836	2318
442	1839	2312
443	1841	2306
444	1843	2299
445	1846	2293
446	1848	2287
447	1851	2280
448	1853	2274
449	1856	2268
450	1859	2263
451	1861	2256
452	1864	2251
453	1866	2245
454	1868	2238
455	1870	2231
456	1872	2225
457	1874	2218
458	1876	2212
459	1878	2205
460	1880	2198
461	1882	2192
462	1884	2185
463	1886	2178
464	1888	2172
465	1890	2166
466	1892	2159
467	1895	2154
468	1897	2147
469	1899	2141
470	1901	2135
471	1903	2129
472	1905	2123
473	1908	2118
474	1911	2112
475	1914	2107
476	1916	2101
477	1919	2095
478	1922	2090
479	1924	2085
480	1927	2079
481	1930	2074
482	1932	2069
483	1935	2063
484	1938	2058
485	1941	2053
486	1943	2047
487	1945	2041
488	1947	2035
489	1950	2029
490	1952	2024
491	1954	2017
492	1956	2012
493	1958	2006
494	1961	2000
495	1962	1994
496	1964	1988
497	1967	1982
498	1969	1977
499	1971	1971
500	1973	1965
501	1975	1959
502	1977	1953
503	1979	1948
504	1981	1942
505	1983	1936
506	1985	1931
507	1988	1925
508	1990	1919
509	1991	1913
510	1993	1908
511	1995	1902
512	1998	1896
513	2000	1891
514	2002	1885
515	2004	1879
516	2005	1874
517	2007	1868
518	2009	1862
519	2011	1856
520	2013	1851
521	2015	1845
522	2017	1840
523	2019	1834
524	2021	1829
525	2024	1824
526	2027	1819
527	2030	1814
528	2032	1809
529	2034	1804
530	2036	1798
531	2039	1793
532	2041	1788
533	2043	1783
534	2045	1777
535	2047	1772
536	2049	1766
537	2051	1761
538	2052	1755
539	2054	1750
540	2056	1744
541	2058	1739
542	2060	1734
543	2062	1729
544	2065	1724
545	2067	1718
546	2069	1713
547	2071	1708
548	2072	1702
549	2074	1697
550	2076	1692
551	2078	1687
552	2080	1682
553	2082	1676
554	2086	1672
555	2088	1667
556	2090	1662
557	2092	1657
558	2093	1651
559	2095	1646
560	2097	1641
561	2099	1636
562	2101	1631
563	2103	1625
564	2104	1620
565	2107	1616
566	2109	1611
567	2111	1606
568	2113	1601
569	2115	1596
570	2117	1590
571	2119	1585
572	2121	1580
573	2122	1575
574	2124	1570
575	2126	1565
576	2128	1560
577	2130	1555
578	2132	1550
579	2134	1545
580	2136	1540
581	2138	1535
582	2140	1530
583	2141	1525
584	2143	1520
585	2145	1516
586	2147	1511
587	2149	1506
588	2151	1501
589	2153	1496
590	2154	1491
591	2156	1486
592	2158	1481
593	2160	1476
594	2162	1472
595	2164	1467
596	2166	1462
597	2168	1458
598	2170	1453
599	2172	1448
600	2174	1443
601	2176	1438
602	2177	1433
603	2179	1428
604	2181	1424
605	2182	1419
606	2184	1414
607	2186	1409
608	2187	1404
609	2189	1399
610	2191	1395
611	2192	1390
612	2194	1385
613	2195	1380
614	2197	1375
615	2199	1371
616	2201	1366
617	2203	1362
618	2205	1357
619	2206	1352
620	2208	1347
621	2210	1343
622	2212	1338
623	2213	1333
624	2215	1329
625	2217	1324
626	2218	1319
627	2220	1315
628	2221	1310
629	2223	1305
630	2225	1301
631	2226	1296
632	2228	1291
633	2229	1287
634	2231	1282
635	2232	1277
636	2234	1273
637	2235	1268
638	2237	1264
639	2239	1259
640	2240	1254
641	2242	1250
642	2244	1246
643	2246	1241
644	2247	1237
645	2249	1232
646	2251	1228
647	2252	1223
648	2254	1219
649	2256	1214
650	2258	1210
651	2260	1206
652	2261	1201
653	2263	1197
654	2264	1192
655	2266	1188
656	2267	1184
657	2269	1179
658	2271	1175
659	2273	1171
660	2275	1166
661	2276	1162
662	2278	1158
663	2279	1153
664	2281	1149
665	2283	1144
666	2284	1140
667	2286	1136
668	2288	1132
669	2289	1127
670	2291	1123
671	2292	1119
672	2294	1114
673	2295	1110
674	2297	1106
675	2298	1101
676	2300	1097
677	2301	1092
678	2303	1088
679	2304	1084
680	2306	1080
681	2307	1076
682	2309	1071
683	2310	1067
684	2312	1063
685	2314	1059
686	2315	1054
687	2317	1050
688	2318	1046
689	2320	1042
690	2321	1038
691	2323	1033
692	2324	1029
693	2326	1025
694	2327	1021
695	2329	1017
696	2330	1013
697	2332	1009
698	2333	1004
699	2335	1000
700	2336	996
701	2338	992
702	2339	988
703	2340	984
704	2342	980
705	2343	975
706	2344	971
707	2346	967
708	2348	963
709	2349	959
710	2350	955
711	2352	951
712	2353	947
713	2355	943
714	2356	939
715	2358	935
716	2359	931
717	2361	927
718	2362	923
719	2364	919
720	2365	915
721	2367	911
722	2368	907
723	2370	903
724	2371	899
725	2373	895
726	2375	891
727	2376	887
728	2378	884
729	2379	880
730	2380	876
731	2382	872
732	2383	868
733	2385	864
734	2386	860
735	2388	856
736	2389	852
737	2390	848
738	2392	844
739	2393	841
740	2395	837
741	2396	833
742	2398	829
743	2399	825
744	2400	821
745	2402	818
746	2403	814
747	2405	810
748	2406	806
749	2408	802
750	2410	799
751	2411	795
752	2413	791
753	2414	787
754	2416	784
755	2417	780
756	2419	776
757	2421	772
758	2422	769
759	2424	765
760	2425	761
761	2427	758
762	2428	754
763	2430	750
764	2431	747
765	2433	743
766	2434	739
767	2436	736
768	2437	732
769	2439	728
770	2440	724
771	2441	721
772	2443	717
773	2444	713
774	2446	710
775	2447	706
776	2448	702
777	2449	699
778	2451	695
779	2452	691
780	2454	688
781	2455	684
782	2456	680
783	2458	677
784	2459	673
785	2460	669
786	2461	666
787	2463	662
788	2464	659
789	2466	655
790	2467	651
791	2468	648
792	2470	644
793	2471	641
794	2472	637
795	2473	633
796	2475	630
797	2476	626
798	2477	623
799	2478	619
800	2480	616
801	2481	612
802	2482	609
803	2484	605
804	2485	602
805	2486	598
806	2488	595
807	2489	591
808	2490	588
809	2491	584
810	2493	581
811	2494	577
812	2496	574
813	2497	570
814	2498	567
815	2499	563
816	2501	560
817	2502	556
818	2503	553
819	2504	549
820	2506	546
821	2507	542
822	2508	539
823	2510	536
824	2511	532
825	2513	529
826	2514	526
827	2516	522
828	2517	519
829	2518	515
830	2520	512
831	2521	509
832	2522	505
833	2523	502
834	2525	499
835	2526	495
836	2528	492
837	2529	489
838	2530	485
839	2532	482
840	2533	478
841	2534	475
842	2535	472
843	2537	468
844	2538	465
845	2539	462
846	2540	458
847	2541	455
848	2542	452
849	2544	449
850	2545	445
851	2546	442
852	2548	439
853	2549	435
854	2550	432
855	2551	429
856	2552	425
857	2554	422
858	2555	419
859	2556	416
860	2557	412
861	2558	409
862	2559	406
863	2560	403
864	2562	399
865	2563	396
866	2564	393
867	2565	390
868	2566	386
869	2568	383
870	2569	380
871	2570	377
872	2571	374
873	2572	370
874	2574	367
875	2575	364
876	2576	361
877	2577	358
878	2578	354
879	2579	351
880	2580	348
881	2582	345
