Month,Outage Capacity (MW),Remaining Capacity (MW)
1/2/2022,2390,10083.7
1/3/2022,2834,9647.9
1/4/2022,2808,9721
1/5/2022,2793,9757.6
1/6/2022,2344,10306.6
1/7/2022,2961,9700.6
1/8/2022,2831,9842.4
1/9/2022,2513,10174.1
1/10/2022,2229,10457.4
1/11/2022,2704,9996.3
1/12/2022,3094,9777.6
