1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
CHARLSON,INTERLAKE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,48.071,-102.91,OIL,2012,PRIMARY RECOVERY,SECONDARY DECLINE,42,80,5456,ONSHORE,-2475,284,5055,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,11995,9520,1.5,220,SILURIAN,11:LOW-ENERGY CARBONATE MUD,LABYRINTH,TIGHT CARBONATELATERAL DIAGENETIC CHANGE,200,,,CARBONATES,BOUNDSTONE/BRECCIA,ALGAE/BRECCIA/INTRACLAST,TYPE IV,FENESTRAL,12,1,51,,0,0,1804,,,4056,185000,,,22,22,,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ROD PUMP,,RE-COMPLETION/SALT REMOVAL/STEP-OUT DEVELOPMENT DRILLING,
CHARLSON,MADISON (MISSION CANYON),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,48.071,-102.91,OIL,2012,SECONDARY RECOVERY,SECONDARY DECLINE,98,80,3462,ONSHORE,-2475,236,4110,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,8814,6339,1.5,122,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE,130,,16.76,CARBONATES,WACKESTONE/PACKSTONE,BRACHIOPOD/CRINOID/PELOID,TYPE II,INTERPARTICLE,8.6,5,41.6,2.39,0,2.28,949,117,2.06,3211,297800,38,,,,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,,,SELECTIVE PERFORATION/STEP-OUT DEVELOPMENT DRILLING,6400
COLDWATER,DUNDEE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,MICHIGAN,43.7578,-85.0455,OIL,1986,ABANDONED,MATURE,77,40,6060,ONSHORE,-1000,120,1453,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,3690,2690,2,60,DEVONIAN,11:LOW-ENERGY CARBONATE MUD,TANK LIKE,STRUCTURAL SADDLENONE,100,0.6,7.62,CARBONATES,,,,FRACTURE/VUGGY,3.4,,48.6,0.65,0,7.5,512,,1.31,1190,251229,20,43,51.9,51.9,,,,STIMULATION/ARTIFICIAL LIFT,,ACIDIZATION,,ROD PUMP,,,2650
COTTONWOOD CREEK,PHOSPHORIA (ERVAY),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,BIG HORN,44.039,-107.748,OIL,2006,SECONDARY RECOVERY,MATURE,,120,14858,ONSHORE,-4500,110,3331,GAS DRIVE,2111:LATERAL FACIES CHANGE,4700,200,7,6500,PERMIAN,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE/LABYRINTH,SHALE/TIGHT CARBONATENONE,65,0.32,6.4,CARBONATES,BOUNDSTONE,ALGAE,TYPE II,FENESTRAL/VUGGY,8,0.5,27,2.75,31,0,380,,1.14,1470,,20,229.8,,30.2,,CONTINUOUS WATER INJECTION/GAS RECYCLING,,STIMULATION/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/ACID FRACTURING,CHANGING WATER INJECTION DIRECTION,,,HIGH WATER-CUT WELL SHUT-IN,
CRYSTAL (USA),DUNDEE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,MICHIGAN,43.2827,-84.8716,OIL,2012,PRIMARY RECOVERY,MATURE,193,10,,ONSHORE,-820,143.4531794,1918.200699,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,3187,2367,0.5,43,DEVONIAN,12:HIGH-ENERGY CARBONATE SAND,TANK LIKE,STRUCTURAL SADDLENONE,100,1,8.23,CARBONATES,PACKSTONE/GRAINSTONE,BRYOZOAN/CRINOID,TYPE II,FRACTURE,10,3,44,,0,0,,,,,150000,20.3,,20.75,20.75,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,,,HIGH WATER-CUT WELL SHUT-IN/SIDETRACKING/WATER CONING CONTROL/WATER PLUGGING,
DALEEL,UPPER SHUAIBA (BLOCK B),1P ,OMAN,MIDDLE EAST,NORTH OMAN FORELAND,22.7205,55.5688,OIL,2010,SECONDARY RECOVERY,PRIMARY REJUVENATING,32,14.83,,ONSHORE,-328.08,166.814695,2501.9,AQUIFER DRIVE,1212:HORST BLOCK,5085.3,,4,246.06,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATELATERAL DIAGENETIC CHANGE,131.23,0.63,13,CARBONATES,WACKESTONE/PACKSTONE,FORAMINIFERA/PELOID,,INTERPARTICLE/INTERCRYSTALLINE,30,18.24,36.95,0.8,0,0,,,1.24,1685.34,,,,11,35,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION,SELECTIVE INJECTION,ROD PUMP/ESP/PCP,,HIGH GOR WELL SHUT-IN/SIDETRACKING,
DAN,CHALK GROUP,1P ,DENMARK,EUROPE,NORTH SEA CENTRAL,55.4696,5.1338,OIL,2012,SECONDARY RECOVERY,DECLINE,62,8.3,135526.4,OFFSHORE,130,163,3800,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,5570,5700,4,953,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULT/TIGHT CARBONATENONE,500,,48.77,CARBONATES,WACKESTONE,COCCOLITH,TYPE III,MICROPOROSITY,28,1.75,30.4,0.58,0,0,640,,1.3,3820,70000,30,3233,6,27.5,48,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/EXTENDED REACH WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/ACID FRACTURING,MODIFICATION IN INJECTION PATTERN,GAS LIFT,,SCALE REMOVAL,6200
DARQUAIN,FAHLIYAN,1P ,IRAN,MIDDLE EAST,MESOPOTAMIAN,30.7341,48.4337,OIL,2010,DEVELOPING,DEVELOPING,23,0,160000,ONSHORE,-13.12,284,5367,GAS DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,13300,13287,4,920,CRETACEOUS,13:ORGANIC BUILDUP,LAYER-CAKE,TIGHT CARBONATENONE,1600,0.56,,CARBONATES,GRAINSTONE/BOUNDSTONE,ALGAE,,MOLDIC/VUGGY,15,10,35,0.34,0,0,,,,,,,3280,,35,,GAS INJECTION,,,,,,,,,
DEFA,WAHA-DEFA,1P ,LIBYA,AFRICA,SIRT,28.0781,19.915,OIL,1982,SECONDARY RECOVERY,,164,0,212000,ONSHORE,-635,168.0416576,2490,AQUIFER DRIVE,1161:FAULT-BLOCK COMPACTION ANTICLINE,5185,4550,,587,PALEOGENE/CRETACEOUS,13:ORGANIC BUILDUP,LAYER-CAKE, LATERAL FACIES CHANGE,860,,64.01,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/CORAL/RUDIST,,MOLDIC/VUGGY,20,20,34,3.2,0,0,280,,,1276,110000,10,5217,11,34.5,,CONTINUOUS WATER INJECTION,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ESP,,RE-COMPLETION,
DICKINSON,LODGEPOLE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,46.8987,-102.8289,OIL,2011,SECONDARY RECOVERY,DECLINE,4,320,3515,ONSHORE,-2515,224,4536,GAS DRIVE,2121:ORGANIC BUILDUP,9722,7207,35,167,CARBONIFEROUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,TIGHT CARBONATENON-FRACTURED ZONE,,,,CARBONATES,WACKESTONE/PACKSTONE,BRYOZOAN/CRINOID,TYPE II,VUGGY,5.4,1,43.9,0.29,0,0,468,,1.36,1465,,10.6,19.4,27.7,40.5,,CONTINUOUS WATER INJECTION,,OTHER RESERVOIR MANAGEMENT,,,,,,RE-COMPLETION/SIDETRACKING/WATER PLUGGING,
DICKMAN,WARSAW-SALEM LIMESTONES,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,38.5748,-100.0036,OIL,2012,SECONDARY RECOVERY,MATURE,,46.63,175,ONSHORE,-2345.8,121,2190,,222:BURIED EROSIONAL RELIEF,4276,1930,3,51,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTSHALE-FILLED CHANNEL,100,,2.13,CARBONATES,,,,,21,,37,,0,0,,,,,45000,,,,,,CONTINUOUS WATER INJECTION,,,,,,,,,2000
DUKHAN,ARAB C,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001,SECONDARY RECOVERY,SECONDARY DECLINE,,250,335000,ONSHORE,-66,194,2915,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,5297,5231,9,1289,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,84,0.19,4.57,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,18,30,37,0.6,0,0,735,,1.4,,220000,20,4600,,38.2,,CONTINUOUS WATER INJECTION/DUMP FLOOD,,DRILLING/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,,,5600
DUKHAN,ARAB D,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001,SECONDARY RECOVERY,SECONDARY DECLINE,,250,335000,ONSHORE,-66,207,3263,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,5439,5373,9,1327,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,231,0.52,36.58,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,22,70,42,0.4,0,1.05,1070,,1.67,3160,,20,15666.67,,42.7,,CONTINUOUS WATER INJECTION/DUMP FLOOD,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/SCALE INHIBITOR TREATMENT,,GAS LIFT,,GAS CONING CONTROL/SIDETRACKING/WATER CONING CONTROL,6251.5
