5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,ASIA-PACIFIC,BOHAI,304.0,14.0,ONSHORE,158.0,1679.0,GAS DRIVE,NEOGENE,200.0,0.3,34.0,18.0,60.0,99.0,429.0,42.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,22.0,51.0,ONSHORE,161.0,2700.0,GAS DRIVE,PALEOGENE,960.0,0.6,10.0,30.0,5.0,450.0,13436.0,6.2
1P ,LATIN AMERICA,NEUQUEN,22.0,26.0,ONSHORE,149.0,782.0,GAS DRIVE,CRETACEOUS,200.0,0.35,18.0,38.0,1.2,1432.0,500.0,44.0
1P ,LATIN AMERICA,NEUQUEN,22.0,26.0,ONSHORE,108.0,920.0,GAS DRIVE,CRETACEOUS,98.0,0.65,17.0,38.0,1.0,500.0,500.0,44.0
1P ,AFRICA,MAURITANIAN SALT,9.0,0.0,OFFSHORE,170.0,2350.839808222133,AQUIFER DRIVE,NEOGENE,820.21,0.15,27.0,33.0,1.5,480.0,1000.0,44.0
1P ,ASIA-PACIFIC,SUNDA,120.0,0.0,OFFSHORE,208.0,1503.0,AQUIFER DRIVE,PALEOGENE,200.0,0.6,26.0,34.0,5.47,110.0,610.5,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,468.0,40.0,ONSHORE,220.0,5351.0,GAS DRIVE,CRETACEOUS,800.0,0.25,13.3,43.7,0.7,170.0,537.0,32.8
1P ,EUROPE,FAEROE-SHETLAND,15.0,0.0,OFFSHORE,157.0,2776.0,GAS DRIVE,CARBONIFEROUS/DEVONIAN,3300.0,0.47,13.5,24.0,6.0,250.0,1500.0,16.6
1P ,EUROPE,NORTH SEA CENTRAL,62.0,70.0,OFFSHORE,170.0,3785.0,AQUIFER DRIVE,JURASSIC,200.0,0.9,21.5,28.5,4.75,120.0,1453.0,42.1
1P ,EUROPE,NORTH SEA CENTRAL,26.0,200.0,OFFSHORE,297.0,6458.0,GAS DRIVE,JURASSIC,650.0,0.6,20.0,37.5,0.57,340.0,380.0,38.0
1P ,NORTH AMERICA,SAN JOAQUIN,6000.0,6.0,ONSHORE,100.0,368.2196522821444,GAS DRIVE,NEOGENE,500.0,0.6,34.0,17.0,180.0,500.0,1000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,200.0,0.0,OFFSHORE,161.0,4393.0,AQUIFER DRIVE,NEOGENE,2275.0,0.15,31.0,35.0,0.7,1045.0,454.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,5.0,ONSHORE,60.0,440.0,COMPACTION,CRETACEOUS,200.0,0.7,35.0,11.0,50000.0,50.0,59000.0,20.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,0.0,ONSHORE,50.0,400.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.3,34.0,12.0,150000.0,55.0,109000.0,25.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,1100.0,20.0,ONSHORE,170.0,2175.0,AQUIFER DRIVE,PALEOGENE,575.0,0.21,32.0,38.0,0.33,535.0,1417.0,57.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,0.0,OFFSHORE,225.0,5165.0,AQUIFER DRIVE,JURASSIC,300.0,0.75,20.0,35.0,0.9,480.0,1625.0,41.2
1P ,LATIN AMERICA,MARANON,22.0,135.0,ONSHORE,223.48264581595677,4368.0,AQUIFER DRIVE,CRETACEOUS,720.0,0.7,20.0,25.0,2.81,85.0,425.0,32.0
1P ,NORTH AMERICA,WESTERN CANADA,400.0,40.0,ONSHORE,95.0,1585.0,GAS DRIVE,CRETACEOUS,150.0,0.6,22.0,25.0,5.0,475.0,347.0,37.0
1P ,NORTH AMERICA,WESTERN CANADA,25.0,40.0,ONSHORE,100.0,1596.0,GAS DRIVE,CRETACEOUS,200.0,0.6,24.0,28.0,5.8,263.0,27.8,36.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,0.0,ONSHORE,97.0,1586.0,GAS DRIVE,CRETACEOUS,200.0,0.6,25.0,25.0,5.0,253.0,84.0,65.0
1P ,NORTH AMERICA,WESTERN CANADA,14.0,40.0,ONSHORE,95.0,1584.0,GAS DRIVE,CRETACEOUS,200.0,0.6,26.0,25.0,6.0,337.0,14.4,67.0
1P ,NORTH AMERICA,WESTERN CANADA,80.0,80.06,ONSHORE,168.8,1498.09,AQUIFER DRIVE,CRETACEOUS,33.01,0.95,10.5,41.06,2.35,450.0,112.0,20.9
1P ,LATIN AMERICA,LLANOS,55.0,0.0,ONSHORE,262.0,6050.0,GAS DRIVE,PALEOGENE,223.0,0.61,7.7,36.4,0.28,4500.0,310.0,24.0
1P ,LATIN AMERICA,LLANOS,55.0,0.0,ONSHORE,262.0,6050.0,GAS DRIVE,CRETACEOUS,437.0,0.71,10.9,36.4,0.28,4500.0,392.0,24.0
1P ,LATIN AMERICA,LLANOS,55.0,500.0,ONSHORE,261.0,5950.0,GAS DRIVE,PALEOGENE,400.0,0.57,8.5,36.4,0.21,4500.0,2064.0,42.0
1P ,NORTH AMERICA,WESTERN CANADA,1475.0,40.0,ONSHORE,82.0,750.0,GAS DRIVE,CRETACEOUS,47.0,0.4,13.0,38.0,9.1,890.0,1000.0,29.0
1P ,NORTH AMERICA,SAN JOAQUIN,725.0,0.0,ONSHORE,130.0,1100.0,GAS DRIVE,NEOGENE,200.0,0.6,25.0,28.0,0.7,340.0,1000.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,5054.0,0.0,ONSHORE,130.0,1100.0,GAS DRIVE,NEOGENE,200.0,0.6,40.0,13.0,1800.0,340.0,1000.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,119.0,0.6,ONSHORE,100.0,450.0,GAS DRIVE,NEOGENE,575.0,0.6,58.0,13.5,1000.0,500.0,512.0,8.0
1P ,NORTH AMERICA,SAN JOAQUIN,1498.0,1.0,ONSHORE,103.0,375.0,AQUIFER DRIVE,NEOGENE,550.0,0.6,35.0,13.0,1800.0,1.0,1000.0,44.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,40.0,ONSHORE,180.0,2500.0,AQUIFER DRIVE,NEOGENE,2500.0,0.45,30.0,19.0,10.0,200.0,1700.0,44.0
1P ,AFRICA,LOWER CONGO,22.0,556.0,OFFSHORE,124.0,3263.0,GAS DRIVE,NEOGENE,200.0,0.6,30.0,22.0,5.5,400.0,1000.0,44.0
1P ,ASIA-PACIFIC,SONGLIAO,23328.0,4.0,ONSHORE,113.0,1568.0,AQUIFER DRIVE,CRETACEOUS,1640.0,0.34,25.0,33.0,8.5,258.0,30535.0,51.0
1P ,ASIA-PACIFIC,SONGLIAO,2641.0,16.0,ONSHORE,116.0,1595.0,GAS DRIVE,CRETACEOUS,1280.0,0.29,25.7,31.0,10.3,235.0,5943.0,48.2
1P ,ASIA-PACIFIC,SONGLIAO,13814.0,5.6,ONSHORE,113.0,1554.0,GAS DRIVE,CRETACEOUS,1558.0,0.3,25.0,33.0,8.7,221.0,18780.0,52.0
1P ,ASIA-PACIFIC,SONGLIAO,7647.0,10.0,ONSHORE,123.0,1632.0,AQUIFER DRIVE,CRETACEOUS,900.0,0.22,25.6,34.2,6.74,213.0,5837.0,58.4
1P ,ASIA-PACIFIC,SONGLIAO,3788.0,10.0,ONSHORE,123.0,1632.0,AQUIFER DRIVE,CRETACEOUS,980.0,0.22,25.6,34.2,6.74,213.0,3938.0,60.5
1P ,ASIA-PACIFIC,SONGLIAO,873.0,10.0,ONSHORE,120.0,1610.0,AQUIFER DRIVE,CRETACEOUS,600.0,0.6,25.6,34.2,6.74,213.0,1899.0,54.1
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,0.0,ONSHORE,135.0,1547.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,32.3,42.0,0.7,455.0,321.0,69.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,28.0,40.0,ONSHORE,135.0,1556.0,GAS DRIVE,CRETACEOUS,200.0,0.6,32.2,40.0,3.0,462.0,8.35,47.03
1P ,AFRICA,NIGER DELTA,17.0,0.0,OFFSHORE,225.0,3936.0,GAS DRIVE,NEOGENE,200.0,0.6,28.0,39.0,0.25,1077.0,1000.0,38.0
1P ,AFRICA,NIGER DELTA,14.0,0.0,OFFSHORE,225.0,3829.0,GAS DRIVE,NEOGENE,200.0,0.6,26.5,39.0,0.25,1030.0,378.0,47.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,6.0,300.0,OFFSHORE,98.0,6204.0,AQUIFER DRIVE,NEOGENE,75.0,0.6,31.0,35.0,5.23,485.0,35.3,36.5
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,50.0,0.0,OFFSHORE,138.0,4974.0,AQUIFER DRIVE,NEOGENE,10500.0,0.28,17.0,39.5,0.5,500.0,292.0,33.0
1P ,FORMER SOVIET UNION,CARPATHIAN,289.0,18.0,ONSHORE,167.0,4627.0,AQUIFER DRIVE,PALEOGENE,870.0,0.65,12.0,36.0,1.0,1060.0,823.0,34.0
1P ,NORTH AMERICA,PERMIAN,101.0,30.0,ONSHORE,120.0,3300.0,GAS DRIVE,DEVONIAN,210.0,0.4,14.0,40.0,0.4,1270.0,146.0,58.2
1P ,ASIA-PACIFIC,BOHAI,1277.0,17.0,ONSHORE,173.02580862074188,3115.0,GAS DRIVE,PALEOGENE,200.0,0.2,27.0,25.0,8.0,220.0,1754.0,35.0
1P ,EUROPE,IRISH SEA EAST,11.0,0.0,OFFSHORE,86.0,1125.0,AQUIFER DRIVE,TRIASSIC,650.0,0.9,16.0,44.0,0.7,170.0,202.0,50.0
1P ,EUROPE,MID-NORWAY SHELF,14.0,1111.97,OFFSHORE,154.4,2392.98,AQUIFER DRIVE,JURASSIC,200.0,0.6,30.0,40.0,0.74,331.26,1000.0,54.4
1P ,ASIA-PACIFIC,MALAY,118.0,120.0,OFFSHORE,205.0,1665.0,GAS DRIVE,NEOGENE,1800.0,0.6,30.0,39.0,0.85,400.0,1083.0,38.0
1P ,EUROPE,NORTH SEA NORTHERN,26.0,400.0,OFFSHORE,266.0,8267.0,AQUIFER DRIVE,JURASSIC,500.0,0.75,15.0,43.0,0.12,2800.0,846.0,29.0
1P ,EUROPE,NORTH SEA NORTHERN,41.0,80.0,OFFSHORE,210.0,6020.0,AQUIFER DRIVE,JURASSIC,450.0,0.6,23.0,35.0,1.73,220.0,827.0,47.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,22.0,11.63,ONSHORE,100.94,267.0,AQUIFER DRIVE,NEOGENE,500.0,0.6,34.0,20.0,150.0,15.0,1000.0,60.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,22.0,0.0,OFFSHORE,145.0,6815.0,AQUIFER DRIVE,NEOGENE,8200.0,0.25,18.0,33.0,0.7,500.0,385.0,36.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,22.0,40.0,OFFSHORE,108.0,2465.0,AQUIFER DRIVE,NEOGENE,400.0,0.85,28.0,32.0,0.7,2078.0,16.6,34.0
1P ,NORTH AMERICA,FOSSIL,30.0,80.0,ONSHORE,233.450947798426,460.0,GAS DRIVE,JURASSIC/TRIASSIC,900.0,0.6,14.1,105.0,0.18,2960.0,299.0,49.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,31000.0,4.2,ONSHORE,146.0,1635.0,AQUIFER DRIVE,CRETACEOUS,51.0,0.73,25.2,39.0,0.98,357.0,7000.0,78.4
1P ,LATIN AMERICA,CAMPECHE,22.0,160.0,OFFSHORE,240.0,8050.0,GAS DRIVE,JURASSIC,200.0,0.6,21.0,27.0,0.7,169.0,1240.0,15.0
1P ,AFRICA,GHADAMES,148.0,110.0,ONSHORE,180.0,3770.0,GAS DRIVE,TRIASSIC,353.0,0.5,17.0,42.0,0.29,1400.0,1425.0,59.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,77.0,200.0,ONSHORE,287.0,11500.0,GAS DRIVE,PALEOGENE/CRETACEOUS,2400.0,0.75,13.0,30.0,0.4,2900.0,8097.0,49.0
1P ,NORTH AMERICA,CHEROKEE,375.0,6.4,ONSHORE,70.0,200.0,GAS DRIVE,PERMIAN,40.0,0.37,28.0,37.0,4.0,500.0,108.0,34.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,163.0,350.0,ONSHORE,290.0,11258.0,GAS DRIVE,NEOGENE/PALEOGENE,1600.0,0.55,15.0,26.0,0.5,950.0,8600.0,48.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,ONSHORE,295.0,10450.0,GAS DRIVE,CRETACEOUS,1000.0,0.6,12.0,26.0,0.5,950.0,617.0,64.0
1P ,AFRICA,GULF OF SUEZ,22.0,30.0,OFFSHORE,174.0,2990.0,GAS DRIVE,NEOGENE,200.0,0.6,23.0,33.0,0.7,600.0,2700.0,56.0
1P ,LATIN AMERICA,NEUQUEN,22.0,15.57,ONSHORE,140.77232150008166,1493.45,AQUIFER DRIVE,JURASSIC,433.07,0.35,17.0,25.72,19.0,134.75,1000.0,41.0
1P ,LATIN AMERICA,GOLFO SAN JORGE,22.0,15.0,ONSHORE,214.0,2717.0,GAS DRIVE,CRETACEOUS,2900.26,0.5,15.0,21.0,18.0,500.0,1000.0,44.0
1P ,LATIN AMERICA,NEUQUEN,22.0,23.0,ONSHORE,134.0,925.0,GAS DRIVE,CRETACEOUS,200.0,0.35,18.0,36.0,1.1,690.0,280.0,51.8
1P ,LATIN AMERICA,NEUQUEN,22.0,23.0,ONSHORE,134.0,925.0,GAS DRIVE,CRETACEOUS,98.0,0.65,17.0,36.0,1.1,690.0,684.0,52.9
1P ,NORTH AMERICA,BIG HORN,19.0,40.0,ONSHORE,120.0,2234.0,GAS DRIVE,CARBONIFEROUS,250.0,0.6,17.0,30.0,0.7,310.0,510.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,2600.0,12.0,ONSHORE,130.0,1500.0,AQUIFER DRIVE,NEOGENE,3000.0,0.6,30.0,26.0,20.0,140.0,1600.0,37.6
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,10.0,ONSHORE,210.0,3155.0,GRAVITY DRAINAGE,NEOGENE,200.0,0.75,23.6,36.0,0.42,784.0,463.0,58.5
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,10.0,ONSHORE,185.0,3135.0,GAS DRIVE,NEOGENE,200.0,0.7,22.0,36.0,0.5,765.0,1073.0,51.7
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,20.0,ONSHORE,185.0,3135.0,GAS DRIVE,NEOGENE,700.0,0.65,20.0,36.0,0.55,746.0,610.0,48.0
1P ,AFRICA,LOWER CONGO,113.0,4.0,OFFSHORE,88.0,316.3036514457782,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,35.0,23.0,100.0,67.0,5046.0,7.5
1P ,EUROPE,LOWER SAXONY,22.0,9.0,ONSHORE,99.0,1250.0,GAS DRIVE,CRETACEOUS,100.0,0.6,33.0,25.0,175.0,84.0,220.0,38.6
1P ,NORTH AMERICA,NORTH SLOPE,122.0,40.0,OFFSHORE,218.0,4870.0,GAS DRIVE,CARBONIFEROUS,800.0,0.5,22.0,23.0,1.0,763.0,1267.0,54.0
1P ,ASIA-PACIFIC,CARNARVON,6.0,0.0,OFFSHORE,165.2,3057.11,AQUIFER DRIVE,CRETACEOUS/JURASSIC,200.0,0.8,24.0,22.3,2.2,320.03,225.36,40.0
1P ,ASIA-PACIFIC,SABAH,52.0,90.0,OFFSHORE,178.6622065318171,3568.5526816172514,AQUIFER DRIVE,NEOGENE,550.0,0.6,20.0,30.0,0.5,500.0,317.0,45.0
1P ,AFRICA,IVORY COAST,27.0,300.0,OFFSHORE,162.0,3200.0,AQUIFER DRIVE,CRETACEOUS,750.0,0.55,21.0,32.0,0.7,500.0,471.0,31.0
1P ,LATIN AMERICA,POTIGUAR,1015.0,5.0,ONSHORE,100.0,262.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,26.5,15.5,3500.0,500.0,723.0,60.0
1P ,AFRICA,GABON SOUTH,5.0,110.0,OFFSHORE,155.0,2900.0,AQUIFER DRIVE,CRETACEOUS,1650.0,0.6,28.0,36.0,3.6,150.0,156.0,37.2
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,209.0,0.0,OFFSHORE,130.0,2097.0,AQUIFER DRIVE,NEOGENE,3600.0,0.12,30.0,35.0,1.1,900.0,1309.0,45.53
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1378.0,89.0,ONSHORE,153.0,3350.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.48,24.0,33.6,1.4,438.0,8934.0,37.4
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,2436.0,60.0,ONSHORE,153.0,3350.0,AQUIFER DRIVE,CRETACEOUS/JURASSIC,200.0,0.48,25.3,28.3,4.81,281.0,21807.0,22.8
1P ,ASIA-PACIFIC,GIPPSLAND,22.0,340.0,OFFSHORE,230.0,3578.0,AQUIFER DRIVE,CRETACEOUS,148.0,0.9,20.0,46.7,0.7,1300.0,247.0,44.0
1P ,EUROPE,FAEROE-SHETLAND,22.0,0.0,OFFSHORE,137.0,3242.0,AQUIFER DRIVE,PALEOGENE,820.0,0.55,27.0,26.0,4.0,350.0,1138.0,34.6
1P ,NORTH AMERICA,PERMIAN,385.0,20.0,ONSHORE,83.0,1493.0,GAS DRIVE,PERMIAN,47.0,0.64,22.0,40.0,0.77,575.0,1000.0,31.5
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,18.0,160.0,ONSHORE,274.0,10800.0,GAS DRIVE,PALEOGENE,127.0,0.27,19.0,45.0,0.13,2934.0,1000.0,38.1
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,20.0,160.0,ONSHORE,267.0,10598.0,GAS DRIVE,PALEOGENE,40.0,0.63,20.0,44.0,0.13,2381.0,1000.0,45.3
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,2.5,ONSHORE,120.0,1410.0,GAS DRIVE,NEOGENE,3000.0,0.6,31.0,30.0,16.0,200.0,1000.0,33.0
1P ,ASIA-PACIFIC,GIPPSLAND,42.0,153.21,OFFSHORE,219.2,3433.04,AQUIFER DRIVE,PALEOGENE,260.83,0.69,20.0,43.0,0.67,42.11,1000.0,67.5
1P ,EUROPE,NORTH SEA CENTRAL,94.0,260.0,OFFSHORE,205.0,3210.0,AQUIFER DRIVE,PALEOGENE,556.0,0.65,27.0,37.0,0.72,350.0,4196.0,61.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,237.0,30.0,ONSHORE,163.0,2700.0,AQUIFER DRIVE,PALEOGENE,1000.0,0.4,30.7,29.2,1.14,385.0,935.0,67.0
1P ,EUROPE,NORTH SEA CENTRAL,28.0,80.0,OFFSHORE,285.0,5700.0,AQUIFER DRIVE,JURASSIC,200.0,0.94,23.0,40.0,0.42,614.0,822.0,69.0
1P ,ASIA-PACIFIC,NORTH JIANGSU,45.0,27.0,ONSHORE,150.8,3683.96,AQUIFER DRIVE,PALEOGENE,200.0,0.46,16.7,40.31,2.57,136.0,47.73,35.2
1P ,ASIA-PACIFIC,SONGLIAO,3496.0,2.5,ONSHORE,92.0,638.0,GAS DRIVE,CRETACEOUS,260.0,0.5,25.0,31.5,22.5,80.0,967.0,33.5
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,22.0,0.0,ONSHORE,183.0,5771.0,AQUIFER DRIVE,NEOGENE,1800.0,0.27,20.0,26.0,1.2,720.0,128.0,36.0
1P ,ASIA-PACIFIC,CAMBAY,305.0,106.26,ONSHORE,277.5,4473.11,GAS DRIVE,PALEOGENE,590.55,0.44,20.0,99.0,0.25,400.0,293.8,37.34
1P ,ASIA-PACIFIC,BOHAI,456.0,10.0,ONSHORE,153.0,2260.0,AQUIFER DRIVE,NEOGENE,2900.0,0.29,32.0,25.0,6.55,292.0,397.0,53.9
1P ,EUROPE,NORTH SEA CENTRAL,5.0,0.0,OFFSHORE,200.29711379747263,4582.6452312876045,AQUIFER DRIVE,PALEOGENE,200.0,0.6,20.0,43.0,0.7,500.0,200.0,23.0
1P ,EUROPE,NORTH SEA CENTRAL,8.0,0.0,OFFSHORE,171.70900823540336,3242.635565255619,AQUIFER DRIVE,PALEOGENE,600.0,0.8,28.0,38.0,0.7,500.0,208.0,53.0
1P ,EUROPE,NORTH SEA CENTRAL,1.0,0.0,OFFSHORE,169.0,2640.0,AQUIFER DRIVE,PALEOGENE,500.0,0.73,28.0,20.0,17.0,114.0,190.0,18.32
1P ,EUROPE,NORTH SEA CENTRAL,1.0,0.0,OFFSHORE,177.92381379237492,3533.9420143930074,AQUIFER DRIVE,PALEOGENE,420.0,0.7,29.0,35.0,0.8,500.0,40.0,57.5
1P ,EUROPE,NORTH SEA CENTRAL,11.0,0.0,OFFSHORE,187.95364850313103,3300.0,AQUIFER DRIVE,PALEOGENE,170.0,0.7,30.0,38.0,0.7,500.0,254.18,43.0
1P ,NORTH AMERICA,WESTERN CANADA,200.0,320.0,ONSHORE,142.0,3384.0,GAS DRIVE,CRETACEOUS,300.0,0.07,12.0,39.0,0.59,612.0,171.5,12.5
1P ,NORTH AMERICA,WESTERN CANADA,200.0,320.0,ONSHORE,142.0,3384.0,GAS DRIVE,CRETACEOUS,300.0,0.14,12.0,39.0,0.59,612.0,343.0,12.5
1P ,ASIA-PACIFIC,QAIDAM,213.0,30.0,ONSHORE,259.0,8575.0,GAS DRIVE,PALEOGENE,754.59,0.2,13.9,38.0,1.76,337.0,292.0,48.5
1P ,ASIA-PACIFIC,QAIDAM,201.0,30.0,ONSHORE,153.0,2787.0,GAS DRIVE,NEOGENE,3927.17,0.6,13.8,32.0,6.8,233.0,335.0,28.6
1P ,ASIA-PACIFIC,QAIDAM,22.0,0.0,ONSHORE,104.2322183960465,2981.0,GAS DRIVE,NEOGENE,200.0,0.6,14.5,36.8,1.61,211.0,55.0,20.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,22.0,0.0,OFFSHORE,150.0,8200.0,AQUIFER DRIVE,NEOGENE,350.0,0.68,32.0,28.0,0.75,1920.0,318.0,33.0
1P ,ASIA-PACIFIC,COOPER,22.0,80.0,ONSHORE,222.0,2650.0,AQUIFER DRIVE,JURASSIC,560.0,0.6,18.0,48.0,0.65,146.0,13.1,44.0
1P ,AFRICA,LOWER CONGO,18.0,312.0,OFFSHORE,150.0,3843.0,AQUIFER DRIVE,PALEOGENE,790.0,0.44,27.0,32.0,1.1,680.0,1550.0,47.0
1P ,NORTH AMERICA,CHEROKEE,22.0,10.0,ONSHORE,95.0,600.0,GAS DRIVE,CARBONIFEROUS,110.0,0.75,21.0,37.0,5.0,350.0,1570.0,25.5
1P ,ASIA-PACIFIC,PAPUAN FTB,5.0,86.0,ONSHORE,192.6547489442462,2190.0,GAS DRIVE,JURASSIC,180.0,0.6,16.0,45.0,0.7,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,PAPUAN FTB,8.0,139.0,ONSHORE,194.6730224320548,2360.0,GAS DRIVE,JURASSIC,170.0,0.6,19.0,45.0,0.7,500.0,1000.0,44.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,1400.0,40.0,ONSHORE,109.0,3380.0,AQUIFER DRIVE,NEOGENE,7500.0,0.27,23.0,33.0,1.3,850.0,3500.0,48.0
1P ,EUROPE,NORTH SEA NORTHERN,21.0,0.0,OFFSHORE,168.0,2553.0,AQUIFER DRIVE,PALEOGENE,180.0,0.97,33.0,19.0,11.0,81.0,1315.0,55.6
1P ,AFRICA,MELUT,22.0,0.0,ONSHORE,183.0,1900.0,AQUIFER DRIVE,PALEOGENE,1300.0,0.6,29.0,24.0,184.0,58.0,2900.0,20.7
1P ,MIDDLE EAST,THE GULF,879.0,200.0,ONSHORE,136.0,2100.0,AQUIFER DRIVE,CRETACEOUS,1350.0,0.8,24.0,32.0,1.2,700.0,190000.0,45.8
1P ,AFRICA,MUGLAD,22.0,22.0,ONSHORE,147.0,1550.0,AQUIFER DRIVE,CRETACEOUS,2700.0,0.6,28.0,17.0,497.0,14.0,503.0,19.0
1P ,MIDDLE EAST,MESOPOTAMIAN,436.0,0.0,ONSHORE,210.0,5186.0,AQUIFER DRIVE,CRETACEOUS,402.0,0.7,20.0,34.0,5.5,640.0,40000.0,54.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,7.0,0.0,OFFSHORE,174.0,7910.0,COMPACTION,NEOGENE,102.0,0.45,31.0,26.0,0.75,1323.0,1000.0,42.0
1P ,ASIA-PACIFIC,CARNARVON,2.0,0.0,OFFSHORE,265.0,3892.0,AQUIFER DRIVE,CRETACEOUS,115.0,0.4,15.0,55.0,0.3,460.0,1000.0,30.0
1P ,ASIA-PACIFIC,CARNARVON,8.0,250.0,OFFSHORE,265.0,3892.0,AQUIFER DRIVE,CRETACEOUS,427.0,0.9,17.0,55.0,0.3,670.0,250.0,71.2
1P ,EUROPE,NORTH SEA NORTHERN,20.0,0.0,OFFSHORE,139.0,2450.0,AQUIFER DRIVE,PALEOGENE,400.0,0.9,32.0,21.5,5.9,274.0,1000.0,46.0
1P ,LATIN AMERICA,BARINAS-APURE,119.0,22.0,ONSHORE,194.0,3130.0,AQUIFER DRIVE,PALEOGENE,450.0,0.6,27.0,29.0,5.3,9.0,1200.0,52.0
1P ,LATIN AMERICA,BARINAS-APURE,84.0,22.0,ONSHORE,185.0,3130.0,AQUIFER DRIVE,PALEOGENE,200.0,0.6,26.0,30.0,4.5,9.0,372.0,52.4
1P ,LATIN AMERICA,UPPER MAGDALENA,70.0,10.0,ONSHORE,105.0,300.0,AQUIFER DRIVE,CRETACEOUS,690.0,0.86,17.0,29.0,0.7,500.0,350.0,34.0
1P ,ASIA-PACIFIC,JIANGHAN,38.0,22.0,ONSHORE,218.0,4122.0,AQUIFER DRIVE,PALEOGENE,1968.5,0.06,16.8,31.9,3.2,222.0,38.7,51.4
1P ,ASIA-PACIFIC,JIANGHAN,114.0,25.0,ONSHORE,192.0,4614.0,GAS DRIVE,PALEOGENE,131.23,0.11,14.2,34.5,2.7,212.0,101.0,48.9
1P ,ASIA-PACIFIC,BOHAI,182.0,36.0,ONSHORE,208.0,3800.0,AQUIFER DRIVE,PALEOGENE,300.0,0.2,24.0,28.0,7.0,137.0,317.0,40.0
1P ,ASIA-PACIFIC,BOHAI,2240.0,9.0,ONSHORE,145.0,1813.0,AQUIFER DRIVE,NEOGENE,790.0,0.46,33.0,16.2,65.0,174.0,2612.0,36.3
1P ,EUROPE,NORTH SEA NORTHERN,162.0,90.0,OFFSHORE,162.0,4498.0,GAS DRIVE,JURASSIC,980.0,0.6,30.0,39.0,0.7,810.0,2595.0,66.2
1P ,EUROPE,NORTH SEA NORTHERN,22.0,90.0,OFFSHORE,169.0,4600.0,GAS DRIVE,JURASSIC,460.0,0.6,25.0,39.0,0.7,645.0,1000.0,60.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,90.0,OFFSHORE,176.0,4715.0,GAS DRIVE,JURASSIC/TRIASSIC,630.0,0.6,26.0,39.0,0.7,915.0,1000.0,60.0
