,Feature,Value
25,11_Basin name_BERKINE (GHADAMES),6.607556097394391e-05
115,72_Onshore or offshore_ONSHORE-OFFSHORE,6.191414179162784e-05
24,11_Basin name_BALTIC,6.184683239242153e-05
110,11_Basin name_WESSEX,5.700921868828711e-05
152,161_Reservoir architecture (main)_LAYER-CAKE/TANK LIKE,5.411616137513523e-05
100,11_Basin name_SUMATRA SOUTH,4.940950083610156e-05
22,11_Basin name_ASRI,4.5538439737321775e-05
28,11_Basin name_BROAD FOURTEENS,4.31345394994238e-05
19,11_Basin name_ALBERT,4.262009717454536e-05
127,149_Reservoir period_CRETACEOUS/TRIASSIC/PALEOZOIC,4.142393858948888e-05
108,11_Basin name_VIENNA,4.103261860780567e-05
61,11_Basin name_LOWER CONGO,3.895544460478956e-05
140,149_Reservoir period_TRIASSIC/CARBONIFEROUS,3.651508628454253e-05
26,11_Basin name_BIG HORN,3.280592575601734e-05
75,11_Basin name_NORTH JIANGSU,3.095674370524624e-05
119,82_Drive mechanism (main)_GRAVITY DRAINAGE,2.6369150651321426e-05
69,11_Basin name_MIDDLE MAGDALENA,2.459358935720202e-05
70,11_Basin name_MUGLAD,2.3239119000817578e-05
136,149_Reservoir period_PALEOGENE/CRETACEOUS,2.2967672899985727e-05
126,149_Reservoir period_CRETACEOUS/PALEOZOIC,2.1929133453115847e-05
79,11_Basin name_ORIENTE,2.0814307779066543e-05
52,11_Basin name_IRISH SEA EAST,2.047599394818949e-05
81,11_Basin name_PANNONIAN,1.9401011906453043e-05
148,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LABYRINTH,1.9168716675866385e-05
105,11_Basin name_TIMAN-PECHORA,1.902171916633212e-05
101,11_Basin name_SUNDA,1.8741955762758195e-05
89,11_Basin name_RAZZAK-ALAMEIN,1.7292793713240203e-05
57,11_Basin name_JUNGGAR,1.3938900890159734e-05
39,11_Basin name_DENVER,1.3676873628281373e-05
88,11_Basin name_PUTUMAYO,1.3155638814410031e-05
125,149_Reservoir period_CRETACEOUS/JURASSIC/TRIASSIC/PALEOZOIC,1.2089551795120635e-05
43,11_Basin name_ESPIRITO SANTO,8.938427901159756e-06
37,11_Basin name_COOPER,7.489065066455269e-06
35,11_Basin name_CHACO,4.718487661551322e-06
46,11_Basin name_GINDI,4.460102830821462e-06
106,11_Basin name_TURPAN,3.6512621787201587e-06
112,11_Basin name_ZAGROS,3.486783539203974e-06
103,11_Basin name_TARAKAN,3.080873638995504e-06
74,11_Basin name_NIGER DELTA,2.5720584997339594e-06
53,11_Basin name_IVORY COAST,2.571299214041382e-06
38,11_Basin name_CUYO,2.279007586216985e-06
80,11_Basin name_OUED MYA-GHADAMES,1.5425971017402833e-06
64,11_Basin name_MARANON,1.2945682483930215e-06
36,11_Basin name_CHEROKEE,1.2386807600128721e-06
90,11_Basin name_RECONCAVO,5.916902684902626e-07
82,11_Basin name_PARIS,4.869835691987974e-07
133,149_Reservoir period_NEOGENE/PALEOGENE/CRETACEOUS,1.2764462055741755e-08
