5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,ASIA-PACIFIC,JAVA NORTHWEST,78.0,200.0,42000.0,OFFSHORE,185.0,2846.0,1275.0,AQUIFER DRIVE,2750.0,NEOGENE,1197.0,0.22,26.0,37.0,1000.0,3.9,380.0,44.0
1P ,EUROPE,NORTH SEA CENTRAL,8.0,0.0,10893.0,OFFSHORE,209.33011830998183,6000.0,5270.0,AQUIFER DRIVE,8800.0,PERMIAN,60.0,0.6,22.0,37.0,35.0,0.75,300.0,52.3
1P ,FORMER SOVIET UNION,VOLGA-URAL,7445.0,25.0,326923.0,ONSHORE,73.0,4199.0,2045.0,AQUIFER DRIVE,3640.0,CARBONIFEROUS,180.0,0.6,22.0,28.0,9300.0,33.0,70.0,36.0
1P ,AFRICA,SIRT,32.0,62.0,100000.0,ONSHORE,284.0,6000.0,5540.0,AQUIFER DRIVE,11380.0,CAMBRIAN,200.0,0.6,12.0,38.0,1000.0,0.7,127.0,50.0
1P ,EUROPE,MID-NORWAY SHELF,14.0,0.0,143377.0,OFFSHORE,284.0,12762.0,5873.0,GAS DRIVE,12467.0,JURASSIC,1450.0,0.6,13.0,41.0,1124.0,2.0,2190.0,36.5
1P ,NORTH AMERICA,WESTERN CANADA,22.0,1.4,760000.0,ONSHORE,45.0,6000.0,70.0,AQUIFER DRIVE,-980.0,CRETACEOUS,220.0,0.4,35.0,8.0,932000.0,200000.0,500.0,44.0
1P ,ASIA-PACIFIC,KUTAI,152.0,30.0,131300.0,OFFSHORE,176.0,6200.0,3340.0,AQUIFER DRIVE,1000.0,NEOGENE,4350.0,0.6,27.0,40.0,2233.0,0.4,500.0,39.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,20.0,240.0,71723.0,OFFSHORE,209.0,19250.0,12874.0,AQUIFER DRIVE,15100.0,NEOGENE,200.0,0.75,30.0,36.5,317.9,0.5,2820.0,47.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,22.0,240.0,71723.0,OFFSHORE,209.0,19250.0,12874.0,AQUIFER DRIVE,18700.0,NEOGENE,200.0,0.75,30.0,36.0,188.6,0.5,1947.0,46.0
1P ,EUROPE,NORTH SEA CENTRAL,24.0,0.0,48051.0,OFFSHORE,215.0,7600.0,4067.0,AQUIFER DRIVE,7300.0,PERMIAN,980.0,0.85,19.0,38.0,795.0,1.07,190.0,19.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,600.0,61.0,5000.0,ONSHORE,140.0,6000.0,1220.0,GAS DRIVE,1100.0,NEOGENE/PALEOGENE,1100.0,0.45,30.0,9.0,87000.0,2500.0,45.0,20.0
1P ,EUROPE,CANTABRIAN,22.0,54.36,3981.45,ONSHORE,136.53283958657445,6000.0,1593.8237578043909,GAS DRIVE,-662.73,CRETACEOUS/JURASSIC,1804.46,0.6,18.0,37.0,104.98,0.7,1000.0,20.0
