5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,NORTH AMERICA,WESTERN CANADA,30.0,320.0,3004.0,ONSHORE,173.0,4335.0,4188.0,GAS DRIVE,4000.0,CRETACEOUS,300.0,0.02,11.0,42.0,69.0,0.25,1700.0,25.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,1480.0,4665.0,ONSHORE,192.0,4859.0,2597.0,GAS DRIVE,4100.0,CRETACEOUS,160.0,0.06,9.5,39.0,130.0,0.7,500.0,11.0
1P ,NORTH AMERICA,VENTURA,200.0,5.0,28500.0,OFFSHORE,125.0,3300.0,1500.0,AQUIFER DRIVE,2000.0,NEOGENE,2000.0,0.75,28.0,25.0,521.0,8.0,270.0,44.0
1P ,LATIN AMERICA,MIDDLE MAGDALENA,22.0,13.0,46000.0,ONSHORE,132.0,6000.0,1760.0,GAS DRIVE,1875.0,NEOGENE/PALEOGENE,2600.0,0.24,24.0,20.0,1300.0,32.0,220.0,24.0
1P ,NORTH AMERICA,SANTA MARIA,22.0,5.0,5000.0,ONSHORE,79.0,6000.0,1900.0,GAS DRIVE,-900.0,NEOGENE,1000.0,0.3,30.0,18.0,1000.0,0.7,500.0,44.0
1P ,EUROPE,AQUITAINE,14.0,0.0,4715.0,ONSHORE,234.0,10235.0,4583.0,AQUIFER DRIVE,9645.0,CRETACEOUS,197.0,0.67,12.0,37.6,61.3,1.2,170.0,54.6
1P ,EUROPE,AQUITAINE,27.0,60.0,8638.0,ONSHORE,201.0,8135.5,3541.0,AQUIFER DRIVE,7218.0,CRETACEOUS,656.0,0.1,18.0,34.4,171.1,2.0,60.0,33.0
1P ,EUROPE,AQUITAINE,50.0,60.0,13168.0,ONSHORE,201.0,8135.5,3541.0,AQUIFER DRIVE,7218.0,CRETACEOUS,853.0,0.23,16.0,36.0,233.0,1.6,110.0,38.6
1P ,AFRICA,RIO MUNI,10.0,350.0,5000.0,OFFSHORE,205.0,7644.0,3493.0,GAS DRIVE,6972.0,CRETACEOUS,770.0,0.6,26.0,31.0,1000.0,0.7,575.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,10.0,5000.0,ONSHORE,70.0,-279.0,421.0,GAS DRIVE,-279.0,CRETACEOUS,150.0,0.73,34.0,12.0,1303.0,3000.0,5.6,9.1
1P ,LATIN AMERICA,NEUQUEN,22.0,22.24,12837.5,ONSHORE,185.0,7283.46,3769.82,AQUIFER DRIVE,5577.43,JURASSIC,2290.03,0.44,12.5,45.38,1000.0,3.0,500.0,34.7
1P ,LATIN AMERICA,MARACAIBO,137.0,22.0,5000.0,ONSHORE-OFFSHORE,190.3780379976328,6000.0,4117.7086015752575,AQUIFER DRIVE,7000.0,NEOGENE,1800.0,0.6,24.0,30.0,1000.0,0.7,500.0,44.0
1P ,LATIN AMERICA,MARACAIBO,95.0,0.0,70400.0,ONSHORE-OFFSHORE,302.0,15150.0,7100.0,AQUIFER DRIVE,13500.0,PALEOGENE,3000.0,0.4,14.0,22.5,5200.0,0.7,1010.0,22.0
1P ,LATIN AMERICA,MARACAIBO,35.0,0.0,29600.0,OFFSHORE,309.0,15000.0,9550.0,AQUIFER DRIVE,13900.0,PALEOGENE,3000.0,0.4,15.0,37.0,2780.0,0.25,585.0,17.0
1P ,ASIA-PACIFIC,BROWSE,16.0,240.0,33175.0,OFFSHORE,158.0,4628.0,2078.0,AQUIFER DRIVE,4330.0,TRIASSIC,656.0,0.8,29.0,40.0,1000.0,0.7,349.0,50.0
1P ,ASIA-PACIFIC,NW BORNEO-SABAH,260.0,0.0,88000.0,OFFSHORE,129.0,2799.0,1102.0,GAS DRIVE,1640.0,NEOGENE,8858.0,0.5,25.0,22.0,2684.0,5.0,496.0,27.0
1P ,ASIA-PACIFIC,SONGLIAO,2981.0,7.0,28108.0,ONSHORE,138.0,2815.0,1221.0,GAS DRIVE,2050.0,CRETACEOUS,820.0,0.12,17.0,32.0,1199.0,10.4,123.0,21.0
1P ,LATIN AMERICA,NEUQUEN,299.0,30.0,12860.0,ONSHORE,187.0,5840.0,3058.0,GAS DRIVE,5510.0,JURASSIC,490.0,0.13,15.0,33.0,893.0,1.46,600.0,21.0
1P ,EUROPE,PARIS,321.0,40.0,2200.0,ONSHORE,85.0,1444.0,798.0,AQUIFER DRIVE,1295.93,CRETACEOUS,28.0,0.6,27.0,27.0,39.0,40.0,3.0,42.3
1P ,EUROPE,PARIS,321.0,40.0,2200.0,ONSHORE,85.0,1444.0,798.0,AQUIFER DRIVE,1394.36,CRETACEOUS,20.0,0.6,27.0,27.0,39.0,40.0,3.0,42.3
1P ,EUROPE,PARIS,94.0,80.0,16500.0,ONSHORE,212.0,7234.0,3350.0,GAS DRIVE,7044.0,TRIASSIC,217.0,0.38,13.0,37.0,235.0,1.54,96.0,34.0
2P ,FORMER SOVIET UNION,NORTH SAKHALIN,22.0,0.0,5000.0,OFFSHORE,180.08976582807196,6000.0,2900.0,AQUIFER DRIVE,6230.0,NEOGENE,130.0,0.4,23.0,23.5,1000.0,6.0,178.0,44.0
2P ,FORMER SOVIET UNION,NORTH SAKHALIN,9.0,440.0,250000.0,OFFSHORE,167.0,7562.0,3343.0,GAS DRIVE,7680.0,NEOGENE,620.0,0.4,22.0,38.0,1000.0,0.7,900.0,44.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,400.0,0.0,31000.0,ONSHORE,198.0,8200.0,4713.0,AQUIFER DRIVE,1804.0,NEOGENE,7500.0,0.35,19.0,35.0,492.0,2.0,2000.0,35.0
1P ,ASIA-PACIFIC,BOHAI,345.0,62.0,43957.0,OFFSHORE,130.0,4600.0,2020.0,AQUIFER DRIVE,3940.0,NEOGENE,945.0,0.25,33.8,26.0,1688.0,64.8,152.0,31.4
1P ,ASIA-PACIFIC,BOHAI,304.0,14.0,20960.0,ONSHORE,158.0,3802.5,1679.0,GAS DRIVE,3556.0,NEOGENE,200.0,0.3,34.0,18.0,429.0,60.0,99.0,42.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,22.0,51.0,71470.0,ONSHORE,161.0,6085.0,2700.0,GAS DRIVE,3720.0,PALEOGENE,960.0,0.6,10.0,30.0,13436.0,5.0,450.0,6.2
1P ,LATIN AMERICA,NEUQUEN,22.0,26.0,5000.0,ONSHORE,149.0,980.0,782.0,GAS DRIVE,690.0,CRETACEOUS,200.0,0.35,18.0,38.0,500.0,1.2,1432.0,44.0
1P ,LATIN AMERICA,NEUQUEN,22.0,26.0,5000.0,ONSHORE,108.0,770.0,920.0,GAS DRIVE,-360.0,CRETACEOUS,98.0,0.65,17.0,38.0,500.0,1.0,500.0,44.0
1P ,AFRICA,MAURITANIAN SALT,9.0,0.0,33300.0,OFFSHORE,170.0,6000.0,2350.839808222133,AQUIFER DRIVE,6561.68,NEOGENE,820.21,0.15,27.0,33.0,1000.0,1.5,480.0,44.0
1P ,ASIA-PACIFIC,SUNDA,120.0,0.0,72000.0,OFFSHORE,208.0,3400.0,1503.0,AQUIFER DRIVE,3000.0,PALEOGENE,200.0,0.6,26.0,34.0,610.5,5.47,110.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,468.0,40.0,22000.0,ONSHORE,220.0,11145.0,5351.0,GAS DRIVE,10275.0,CRETACEOUS,800.0,0.25,13.3,43.7,537.0,0.7,170.0,32.8
1P ,EUROPE,FAEROE-SHETLAND,15.0,0.0,50959.0,OFFSHORE,157.0,6000.0,2776.0,GAS DRIVE,5085.0,CARBONIFEROUS/DEVONIAN,3300.0,0.47,13.5,24.0,1500.0,6.0,250.0,16.6
1P ,EUROPE,NORTH SEA CENTRAL,62.0,70.0,100600.0,OFFSHORE,170.0,8300.52,3785.0,AQUIFER DRIVE,7500.0,JURASSIC,200.0,0.9,21.5,28.5,1453.0,4.75,120.0,42.1
1P ,EUROPE,NORTH SEA CENTRAL,26.0,200.0,51560.0,OFFSHORE,297.0,12300.0,6458.0,GAS DRIVE,12050.0,JURASSIC,650.0,0.6,20.0,37.5,380.0,0.57,340.0,38.0
1P ,NORTH AMERICA,SAN JOAQUIN,6000.0,6.0,53500.0,ONSHORE,100.0,6000.0,368.2196522821444,GAS DRIVE,-500.0,NEOGENE,500.0,0.6,34.0,17.0,1000.0,180.0,500.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,200.0,0.0,70236.0,OFFSHORE,161.0,8400.0,4393.0,AQUIFER DRIVE,7300.0,NEOGENE,2275.0,0.15,31.0,35.0,454.0,0.7,1045.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,5.0,237000.0,ONSHORE,60.0,6000.0,440.0,COMPACTION,-660.0,CRETACEOUS,200.0,0.7,35.0,11.0,59000.0,50000.0,50.0,20.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,0.0,52400.0,ONSHORE,50.0,6000.0,400.0,AQUIFER DRIVE,-980.0,CRETACEOUS,200.0,0.3,34.0,12.0,109000.0,150000.0,55.0,25.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,1100.0,20.0,96000.0,ONSHORE,170.0,6000.0,2175.0,AQUIFER DRIVE,4630.0,PALEOGENE,575.0,0.21,32.0,38.0,1417.0,0.33,535.0,57.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,0.0,155000.0,OFFSHORE,225.0,9500.0,5165.0,AQUIFER DRIVE,8200.0,JURASSIC,300.0,0.75,20.0,35.0,1625.0,0.9,480.0,41.2
1P ,LATIN AMERICA,MARANON,22.0,135.0,5000.0,ONSHORE,223.48264581595672,6000.0,4368.0,AQUIFER DRIVE,9295.0,CRETACEOUS,720.0,0.7,20.0,25.0,425.0,2.81,85.0,32.0
1P ,NORTH AMERICA,WESTERN CANADA,400.0,40.0,13112.0,ONSHORE,95.0,844.0,1585.0,GAS DRIVE,750.0,CRETACEOUS,150.0,0.6,22.0,25.0,347.0,5.0,475.0,37.0
1P ,NORTH AMERICA,WESTERN CANADA,25.0,40.0,1601.0,ONSHORE,100.0,1026.0,1596.0,GAS DRIVE,970.0,CRETACEOUS,200.0,0.6,24.0,28.0,27.8,5.8,263.0,36.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,0.0,6965.0,ONSHORE,97.0,886.0,1586.0,GAS DRIVE,2000.0,CRETACEOUS,200.0,0.6,25.0,25.0,84.0,5.0,253.0,65.0
1P ,NORTH AMERICA,WESTERN CANADA,14.0,40.0,2502.0,ONSHORE,95.0,844.0,1584.0,GAS DRIVE,797.0,CRETACEOUS,200.0,0.6,26.0,25.0,14.4,6.0,337.0,67.0
1P ,NORTH AMERICA,WESTERN CANADA,80.0,80.06,7762.83,ONSHORE,168.8,2554.79,1498.09,AQUIFER DRIVE,2454.0,CRETACEOUS,33.01,0.95,10.5,41.06,112.0,2.35,450.0,20.9
1P ,LATIN AMERICA,LLANOS,55.0,0.0,17403.0,ONSHORE,262.0,6000.0,6050.0,GAS DRIVE,12500.0,PALEOGENE,223.0,0.61,7.7,36.4,310.0,0.28,4500.0,24.0
1P ,LATIN AMERICA,LLANOS,55.0,0.0,33366.0,ONSHORE,262.0,6000.0,6050.0,GAS DRIVE,12500.0,CRETACEOUS,437.0,0.71,10.9,36.4,392.0,0.28,4500.0,24.0
1P ,LATIN AMERICA,LLANOS,55.0,500.0,265436.0,ONSHORE,261.0,6000.0,5950.0,GAS DRIVE,12100.0,PALEOGENE,400.0,0.57,8.5,36.4,2064.0,0.21,4500.0,42.0
1P ,NORTH AMERICA,WESTERN CANADA,1475.0,40.0,15000.0,ONSHORE,82.0,6000.0,750.0,GAS DRIVE,-1710.0,CRETACEOUS,47.0,0.4,13.0,38.0,1000.0,9.1,890.0,29.0
1P ,NORTH AMERICA,SAN JOAQUIN,725.0,0.0,23844.0,ONSHORE,130.0,2700.0,1100.0,GAS DRIVE,2700.0,NEOGENE,200.0,0.6,25.0,28.0,1000.0,0.7,340.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,5054.0,0.0,57472.0,ONSHORE,130.0,2700.0,1100.0,GAS DRIVE,0.0,NEOGENE,200.0,0.6,40.0,13.0,1000.0,1800.0,340.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,119.0,0.6,5522.0,ONSHORE,100.0,1590.0,450.0,GAS DRIVE,0.0,NEOGENE,575.0,0.6,58.0,13.5,512.0,1000.0,500.0,8.0
1P ,NORTH AMERICA,SAN JOAQUIN,1498.0,1.0,28821.0,ONSHORE,103.0,750.0,375.0,AQUIFER DRIVE,300.0,NEOGENE,550.0,0.6,35.0,13.0,1000.0,1800.0,1.0,44.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,40.0,43000.0,ONSHORE,180.0,6000.0,2500.0,AQUIFER DRIVE,3800.0,NEOGENE,2500.0,0.45,30.0,19.0,1700.0,10.0,200.0,44.0
1P ,AFRICA,LOWER CONGO,22.0,556.0,5000.0,OFFSHORE,124.0,6000.0,3263.0,GAS DRIVE,6560.0,NEOGENE,200.0,0.6,30.0,22.0,1000.0,5.5,400.0,44.0
1P ,ASIA-PACIFIC,SONGLIAO,23328.0,4.0,1050220.0,ONSHORE,113.0,3300.0,1568.0,AQUIFER DRIVE,2073.0,CRETACEOUS,1640.0,0.34,25.0,33.0,30535.0,8.5,258.0,51.0
1P ,ASIA-PACIFIC,SONGLIAO,2641.0,16.0,265600.0,ONSHORE,116.0,2880.0,1595.0,GAS DRIVE,2244.0,CRETACEOUS,1280.0,0.29,25.7,31.0,5943.0,10.3,235.0,48.2
1P ,ASIA-PACIFIC,SONGLIAO,13814.0,5.6,636700.0,ONSHORE,113.0,2770.0,1554.0,GAS DRIVE,2073.0,CRETACEOUS,1558.0,0.3,25.0,33.0,18780.0,8.7,221.0,52.0
1P ,ASIA-PACIFIC,SONGLIAO,7647.0,10.0,170428.0,ONSHORE,123.0,3198.5,1632.0,AQUIFER DRIVE,2230.97,CRETACEOUS,900.0,0.22,25.6,34.2,5837.0,6.74,213.0,58.4
1P ,ASIA-PACIFIC,SONGLIAO,3788.0,10.0,107428.0,ONSHORE,123.0,3198.5,1632.0,AQUIFER DRIVE,2230.97,CRETACEOUS,980.0,0.22,25.6,34.2,3938.0,6.74,213.0,60.5
1P ,ASIA-PACIFIC,SONGLIAO,873.0,10.0,68774.0,ONSHORE,120.0,3116.5,1610.0,AQUIFER DRIVE,2230.97,CRETACEOUS,600.0,0.6,25.6,34.2,1899.0,6.74,213.0,54.1
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,0.0,5000.0,ONSHORE,135.0,3400.0,1547.0,AQUIFER DRIVE,2923.0,CRETACEOUS,200.0,0.6,32.3,42.0,321.0,0.7,455.0,69.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,28.0,40.0,2005.0,ONSHORE,135.0,3400.0,1556.0,GAS DRIVE,3160.0,CRETACEOUS,200.0,0.6,32.2,40.0,8.35,3.0,462.0,47.03
1P ,AFRICA,NIGER DELTA,17.0,0.0,24700.0,OFFSHORE,225.0,6000.0,3936.0,GAS DRIVE,7998.0,NEOGENE,200.0,0.6,28.0,39.0,1000.0,0.25,1077.0,38.0
1P ,AFRICA,NIGER DELTA,14.0,0.0,37400.0,OFFSHORE,225.0,6000.0,3829.0,GAS DRIVE,8228.0,NEOGENE,200.0,0.6,26.5,39.0,378.0,0.25,1030.0,47.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,6.0,300.0,13978.0,OFFSHORE,98.0,10350.0,6204.0,AQUIFER DRIVE,9450.0,NEOGENE,75.0,0.6,31.0,35.0,35.3,5.23,485.0,36.5
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,50.0,0.0,42808.0,OFFSHORE,138.0,8600.0,4974.0,AQUIFER DRIVE,7546.0,NEOGENE,10500.0,0.28,17.0,39.5,292.0,0.5,500.0,33.0
1P ,FORMER SOVIET UNION,CARPATHIAN,289.0,18.0,38000.0,ONSHORE,167.0,7940.0,4627.0,AQUIFER DRIVE,3940.0,PALEOGENE,870.0,0.65,12.0,36.0,823.0,1.0,1060.0,34.0
1P ,NORTH AMERICA,PERMIAN,101.0,30.0,8721.0,ONSHORE,120.0,4600.0,3300.0,GAS DRIVE,4300.0,DEVONIAN,210.0,0.4,14.0,40.0,146.0,0.4,1270.0,58.2
1P ,ASIA-PACIFIC,BOHAI,1277.0,17.0,62500.0,ONSHORE,173.02580862074188,6000.0,3115.0,GAS DRIVE,5580.0,PALEOGENE,200.0,0.2,27.0,25.0,1754.0,8.0,220.0,35.0
1P ,EUROPE,IRISH SEA EAST,11.0,0.0,34559.0,OFFSHORE,86.0,2240.0,1125.0,AQUIFER DRIVE,2140.0,TRIASSIC,650.0,0.9,16.0,44.0,202.0,0.7,170.0,50.0
1P ,EUROPE,MID-NORWAY SHELF,14.0,1111.97,5000.0,OFFSHORE,154.4,5374.02,2392.98,AQUIFER DRIVE,5236.22,JURASSIC,200.0,0.6,30.0,40.0,1000.0,0.74,331.26,54.4
1P ,ASIA-PACIFIC,MALAY,118.0,120.0,76800.0,OFFSHORE,205.0,4174.5,1665.0,GAS DRIVE,3610.0,NEOGENE,1800.0,0.6,30.0,39.0,1083.0,0.85,400.0,38.0
1P ,EUROPE,NORTH SEA NORTHERN,26.0,400.0,53933.0,OFFSHORE,266.0,11975.0,8267.0,AQUIFER DRIVE,10826.77,JURASSIC,500.0,0.75,15.0,43.0,846.0,0.12,2800.0,29.0
1P ,EUROPE,NORTH SEA NORTHERN,41.0,80.0,115384.0,OFFSHORE,210.0,9000.0,6020.0,AQUIFER DRIVE,8500.0,JURASSIC,450.0,0.6,23.0,35.0,827.0,1.73,220.0,47.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,22.0,11.63,300000.0,ONSHORE,100.94,640.09,267.0,AQUIFER DRIVE,280.0,NEOGENE,500.0,0.6,34.0,20.0,1000.0,150.0,15.0,60.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,22.0,0.0,5000.0,OFFSHORE,145.0,10700.0,6815.0,AQUIFER DRIVE,10170.0,NEOGENE,8200.0,0.25,18.0,33.0,385.0,0.7,500.0,36.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,22.0,40.0,1245.0,OFFSHORE,108.0,4321.0,2465.0,AQUIFER DRIVE,3800.0,NEOGENE,400.0,0.85,28.0,32.0,16.6,0.7,2078.0,34.0
1P ,NORTH AMERICA,FOSSIL,30.0,80.0,10319.0,ONSHORE,233.450947798426,6000.0,460.0,GAS DRIVE,3325.0,JURASSIC/TRIASSIC,900.0,0.6,14.1,105.0,299.0,0.18,2960.0,49.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,31000.0,4.2,592580.0,ONSHORE,146.0,3240.0,1635.0,AQUIFER DRIVE,3100.0,CRETACEOUS,51.0,0.73,25.2,39.0,7000.0,0.98,357.0,78.4
1P ,LATIN AMERICA,CAMPECHE,22.0,160.0,71000.0,OFFSHORE,240.0,14600.0,8050.0,GAS DRIVE,12790.0,JURASSIC,200.0,0.6,21.0,27.0,1240.0,0.7,169.0,15.0
1P ,AFRICA,GHADAMES,148.0,110.0,87000.0,ONSHORE,180.0,6890.0,3770.0,GAS DRIVE,6890.0,TRIASSIC,353.0,0.5,17.0,42.0,1425.0,0.29,1400.0,59.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,77.0,200.0,295000.0,ONSHORE,287.0,14000.0,11500.0,GAS DRIVE,11600.0,PALEOGENE/CRETACEOUS,2400.0,0.75,13.0,30.0,8097.0,0.4,2900.0,49.0
1P ,NORTH AMERICA,CHEROKEE,375.0,6.4,116000.0,ONSHORE,70.0,6000.0,200.0,GAS DRIVE,-575.0,PERMIAN,40.0,0.37,28.0,37.0,108.0,4.0,500.0,34.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,163.0,350.0,453682.0,ONSHORE,290.0,13800.0,11258.0,GAS DRIVE,12400.0,NEOGENE/PALEOGENE,1600.0,0.55,15.0,26.0,8600.0,0.5,950.0,48.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,5000.0,ONSHORE,295.0,14850.0,10450.0,GAS DRIVE,12400.0,CRETACEOUS,1000.0,0.6,12.0,26.0,617.0,0.5,950.0,64.0
1P ,AFRICA,GULF OF SUEZ,22.0,30.0,260000.0,OFFSHORE,174.0,6100.0,2990.0,GAS DRIVE,5470.0,NEOGENE,200.0,0.6,23.0,33.0,2700.0,0.7,600.0,56.0
1P ,LATIN AMERICA,NEUQUEN,22.0,15.57,5860.85,ONSHORE,140.77232150008166,6000.0,1493.45,AQUIFER DRIVE,1574.8,JURASSIC,433.07,0.35,17.0,25.72,1000.0,19.0,134.75,41.0
1P ,LATIN AMERICA,GOLFO SAN JORGE,22.0,15.0,5000.0,ONSHORE,214.0,6162.0,2717.0,GAS DRIVE,3543.31,CRETACEOUS,2900.26,0.5,15.0,21.0,1000.0,18.0,500.0,44.0
1P ,LATIN AMERICA,NEUQUEN,22.0,23.0,5000.0,ONSHORE,134.0,1195.0,925.0,GAS DRIVE,820.0,CRETACEOUS,200.0,0.35,18.0,36.0,280.0,1.1,690.0,51.8
1P ,LATIN AMERICA,NEUQUEN,22.0,23.0,64000.0,ONSHORE,134.0,1195.0,925.0,GAS DRIVE,-164.0,CRETACEOUS,98.0,0.65,17.0,36.0,684.0,1.1,690.0,52.9
1P ,NORTH AMERICA,BIG HORN,19.0,40.0,50000.0,ONSHORE,120.0,400.0,2234.0,GAS DRIVE,-600.0,CARBONIFEROUS,250.0,0.6,17.0,30.0,510.0,0.7,310.0,44.0
1P ,NORTH AMERICA,SAN JOAQUIN,2600.0,12.0,49289.0,ONSHORE,130.0,3000.0,1500.0,AQUIFER DRIVE,700.0,NEOGENE,3000.0,0.6,30.0,26.0,1600.0,20.0,140.0,37.6
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,10.0,90254.0,ONSHORE,210.0,6000.0,3155.0,GRAVITY DRAINAGE,4125.0,NEOGENE,200.0,0.75,23.6,36.0,463.0,0.42,784.0,58.5
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,10.0,90254.0,ONSHORE,185.0,6000.0,3135.0,GAS DRIVE,3500.0,NEOGENE,200.0,0.7,22.0,36.0,1073.0,0.5,765.0,51.7
1P ,NORTH AMERICA,SAN JOAQUIN,903.0,20.0,90254.0,ONSHORE,185.0,6000.0,3135.0,GAS DRIVE,3500.0,NEOGENE,700.0,0.65,20.0,36.0,610.0,0.55,746.0,48.0
1P ,AFRICA,LOWER CONGO,113.0,4.0,51000.0,OFFSHORE,88.0,6000.0,316.3036514457782,AQUIFER DRIVE,610.0,CRETACEOUS,200.0,0.6,35.0,23.0,5046.0,100.0,67.0,7.5
1P ,EUROPE,LOWER SAXONY,22.0,9.0,4338.0,ONSHORE,99.0,2625.0,1250.0,GAS DRIVE,2300.0,CRETACEOUS,100.0,0.6,33.0,25.0,220.0,175.0,84.0,38.6
1P ,NORTH AMERICA,NORTH SLOPE,122.0,40.0,113990.0,OFFSHORE,218.0,10000.0,4870.0,GAS DRIVE,9492.0,CARBONIFEROUS,800.0,0.5,22.0,23.0,1267.0,1.0,763.0,54.0
1P ,ASIA-PACIFIC,CARNARVON,6.0,0.0,5000.0,OFFSHORE,165.2,6000.0,3057.11,AQUIFER DRIVE,5905.51,CRETACEOUS/JURASSIC,200.0,0.8,24.0,22.3,225.36,2.2,320.03,40.0
1P ,ASIA-PACIFIC,SABAH,52.0,90.0,23000.0,OFFSHORE,178.6622065318171,6000.0,3568.5526816172514,AQUIFER DRIVE,6148.0,NEOGENE,550.0,0.6,20.0,30.0,317.0,0.5,500.0,45.0
1P ,AFRICA,IVORY COAST,27.0,300.0,35500.0,OFFSHORE,162.0,6650.0,3200.0,AQUIFER DRIVE,5900.0,CRETACEOUS,750.0,0.55,21.0,32.0,471.0,0.7,500.0,31.0
1P ,LATIN AMERICA,POTIGUAR,1015.0,5.0,13867.0,ONSHORE,100.0,426.0,262.0,AQUIFER DRIVE,393.0,CRETACEOUS,200.0,0.6,26.5,15.5,723.0,3500.0,500.0,60.0
1P ,AFRICA,GABON SOUTH,5.0,110.0,19500.0,OFFSHORE,155.0,5900.0,2900.0,AQUIFER DRIVE,5940.0,CRETACEOUS,1650.0,0.6,28.0,36.0,156.0,3.6,150.0,37.2
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,209.0,0.0,156215.0,OFFSHORE,130.0,4963.0,2097.0,AQUIFER DRIVE,4175.0,NEOGENE,3600.0,0.12,30.0,35.0,1309.0,1.1,900.0,45.53
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1378.0,89.0,700000.0,ONSHORE,153.0,7193.0,3350.0,AQUIFER DRIVE,7220.0,CRETACEOUS,200.0,0.48,24.0,33.6,8934.0,1.4,438.0,37.4
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,2436.0,60.0,709956.0,ONSHORE,153.0,7193.0,3350.0,AQUIFER DRIVE,5820.0,CRETACEOUS/JURASSIC,200.0,0.48,25.3,28.3,21807.0,4.81,281.0,22.8
1P ,ASIA-PACIFIC,GIPPSLAND,22.0,340.0,29000.0,OFFSHORE,230.0,8314.0,3578.0,AQUIFER DRIVE,8005.0,CRETACEOUS,148.0,0.9,20.0,46.7,247.0,0.7,1300.0,44.0
1P ,EUROPE,FAEROE-SHETLAND,22.0,0.0,103000.0,OFFSHORE,137.0,6932.0,3242.0,AQUIFER DRIVE,6609.0,PALEOGENE,820.0,0.55,27.0,26.0,1138.0,4.0,350.0,34.6
1P ,NORTH AMERICA,PERMIAN,385.0,20.0,5000.0,ONSHORE,83.0,-320.0,1493.0,GAS DRIVE,-600.0,PERMIAN,47.0,0.64,22.0,40.0,1000.0,0.77,575.0,31.5
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,18.0,160.0,5000.0,ONSHORE,274.0,6000.0,10800.0,GAS DRIVE,13633.0,PALEOGENE,127.0,0.27,19.0,45.0,1000.0,0.13,2934.0,38.1
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,20.0,160.0,5000.0,ONSHORE,267.0,13300.0,10598.0,GAS DRIVE,13175.0,PALEOGENE,40.0,0.63,20.0,44.0,1000.0,0.13,2381.0,45.3
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,2.5,21000.0,ONSHORE,120.0,3000.0,1410.0,GAS DRIVE,50.0,NEOGENE,3000.0,0.6,31.0,30.0,1000.0,16.0,200.0,33.0
1P ,ASIA-PACIFIC,GIPPSLAND,42.0,153.21,5000.0,OFFSHORE,219.2,7937.99,3433.04,AQUIFER DRIVE,7414.7,PALEOGENE,260.83,0.69,20.0,43.0,1000.0,0.67,42.11,67.5
1P ,EUROPE,NORTH SEA CENTRAL,94.0,260.0,504500.0,OFFSHORE,205.0,7135.0,3210.0,AQUIFER DRIVE,6660.0,PALEOGENE,556.0,0.65,27.0,37.0,4196.0,0.72,350.0,61.0
