5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),255_Condensate yield (initial average) (BC/MMCFG),308_Recovery factor (ultimate gas) (%)
1P ,NORTH AMERICA,ANADARKO,20000.0,0.0,110000.0,ONSHORE,125.7686732964431,10007.0,435.0,GAS DRIVE,-1250.0,PERMIAN,250.0,0.3,16.0,39.0,243.0,0.2,40.0
1P ,MIDDLE EAST,PALMYRIDES FOLDBELT,9.0,0.0,3534.0,ONSHORE,213.8,10007.0,4455.0,AQUIFER DRIVE,7405.0,TRIASSIC,818.0,0.24,5.8,41.0,243.0,434.0,40.0
1P ,ASIA-PACIFIC,ORDOS,359.0,1000.0,92852.0,ONSHORE,219.0,10007.0,4582.0,GAS DRIVE,5467.0,ORDOVICIAN,147.64,0.3,5.6,0.0,2101.0,0.2,64.0
1P ,ASIA-PACIFIC,SARAWAK,7.0,0.0,3534.0,OFFSHORE,161.83915861819304,10007.0,2780.0063133582225,AQUIFER DRIVE,5106.0,NEOGENE,250.0,0.73,29.0,49.0,243.0,80.0,67.5
1P ,NORTH AMERICA,CANADIAN ROCKY MOUNTAINS FOLD AND THRUST BELT,16.0,640.0,11336.0,ONSHORE,195.0,5700.0,3975.0,GAS DRIVE,4832.0,CARBONIFEROUS,250.0,0.3,8.3,50.0,150.0,9.3,87.0
1P ,NORTH AMERICA,CANADIAN ROCKY MOUNTAINS FOLD AND THRUST BELT,29.0,800.0,32840.0,ONSHORE,180.0,6600.0,4230.0,GAS DRIVE,5900.0,CARBONIFEROUS,800.0,0.3,6.3,0.0,450.0,0.2,84.0
1P ,ASIA-PACIFIC,EAST SENGKANG,9.0,0.0,3534.0,ONSHORE,133.1402941452074,10007.0,1434.805047242601,GAS DRIVE,2215.0,NEOGENE,460.0,0.3,22.0,0.0,95.9,0.2,88.0
1P ,NORTH AMERICA,ANADARKO,9.0,320.0,312896.0,ONSHORE,95.0,10007.0,450.0,GAS DRIVE,-1300.0,PERMIAN,271.0,0.19,13.0,0.0,5001.0,0.2,93.0
1P ,FORMER SOVIET UNION,CASPIAN NORTH,200.0,0.0,375400.0,ONSHORE,162.0,13120.0,7627.0,GAS DRIVE,11570.0,PERMIAN/CARBONIFEROUS/DEVONIAN,6600.0,0.4,10.0,39.0,17768.0,140.0,33.0
1P ,NORTH AMERICA,WESTERN CANADA,87.0,360.0,118590.0,ONSHORE,239.0,7735.0,4722.0,AQUIFER DRIVE,7460.0,DEVONIAN,600.0,0.16,8.0,0.0,921.0,82.0,77.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,192.0,370.0,3534.0,ONSHORE,147.43434692624206,10007.0,2104.8098802585937,AQUIFER DRIVE,3313.65,CARBONIFEROUS,393.7,0.3,5.4,0.0,300.0,0.2,92.0
1P ,EUROPE,AQUITAINE,19.0,15.0,134149.0,ONSHORE,275.0,13123.0,9790.0,GAS DRIVE,10500.0,CRETACEOUS/JURASSIC,1345.0,0.3,2.0,47.0,1540.0,4.5,95.0
1P ,NORTH AMERICA,WESTERN CANADA,24.0,0.0,19800.0,ONSHORE,160.0,9930.0,3481.0,GAS DRIVE,3500.0,CARBONIFEROUS,250.0,0.3,8.0,0.0,180.0,0.2,74.0
1P ,NORTH AMERICA,WESTERN CANADA,44.0,0.0,10340.0,ONSHORE,223.0,6130.0,4387.0,GAS DRIVE,5800.0,DEVONIAN,275.0,0.3,5.0,0.0,97.7,0.2,86.0
1P ,ASIA-PACIFIC,SARAWAK,13.0,58.0,3534.0,OFFSHORE,142.0,3947.0,2190.0,GAS DRIVE,3500.0,NEOGENE,2200.0,0.3,28.0,0.0,1167.0,5.0,69.0
3P ,ASIA-PACIFIC,JAVA EAST,9.0,0.0,3534.0,OFFSHORE,135.66313600496815,10007.0,1553.0581602587683,GAS DRIVE,2884.0,NEOGENE,250.0,0.3,30.0,0.0,512.0,0.2,80.0
1P ,ASIA-PACIFIC,PALAWAN NORTHWEST,9.0,1000.0,3534.0,OFFSHORE,257.0,10932.0,4800.0,GAS DRIVE,8800.0,NEOGENE/PALEOGENE,250.0,0.3,12.0,29.4,243.0,33.0,40.0
1P ,EUROPE,PO,10.0,60.0,25306.0,ONSHORE,311.0,19127.0,15179.0,AQUIFER DRIVE,16335.0,JURASSIC/TRIASSIC,250.0,0.3,3.0,53.0,243.0,187.0,40.0
1P ,EUROPE,VIENNA,9.0,0.0,3534.0,ONSHORE,347.0,17716.5,8558.0,GAS DRIVE,15420.0,TRIASSIC,2953.0,0.3,3.8,30.0,243.0,0.2,40.0
1P ,MIDDLE EAST,RUB AL KHALI,9.0,0.0,3534.0,OFFSHORE,223.0,7950.0,4240.0,GAS DRIVE,7950.0,JURASSIC,180.0,0.3,15.0,36.0,334.0,0.2,73.0
1P ,EUROPE,AQUITAINE,43.0,100.0,48000.0,ONSHORE,300.0,13500.0,6960.0,AQUIFER DRIVE,13484.0,JURASSIC,1300.0,0.3,3.0,0.0,500.0,0.2,70.0
1P ,NORTH AMERICA,ANADARKO,19.0,0.0,18837.0,ONSHORE,256.0,20136.0,9072.0,GAS DRIVE,17700.0,SILURIAN,930.0,0.3,6.0,0.0,243.0,0.2,40.0
1P ,AFRICA,PELAGIAN,6.0,240.0,3534.0,OFFSHORE,320.0,10007.0,6000.0,GAS DRIVE,9416.0,CRETACEOUS,226.0,0.86,25.0,0.0,243.0,20.0,40.0
1P ,AFRICA,PELAGIAN,1.0,0.0,3534.0,OFFSHORE,320.0,10007.0,6000.0,GAS DRIVE,10905.0,CRETACEOUS,128.0,0.39,13.0,0.0,243.0,55.0,40.0
1P ,AFRICA,PELAGIAN,3.0,240.0,3534.0,OFFSHORE,320.0,10007.0,6000.0,GAS DRIVE,10170.0,CRETACEOUS,85.0,0.87,14.0,0.0,243.0,16.0,40.0
1P ,AFRICA,PELAGIAN,8.0,0.0,3534.0,OFFSHORE,320.0,10007.0,6000.0,GAS DRIVE,9924.0,CRETACEOUS,223.0,0.28,11.0,0.0,243.0,16.0,40.0
1P ,LATIN AMERICA,CHIAPAS-TABASCO,23.0,51.0,55109.0,ONSHORE,228.0,7917.0,4495.0,AQUIFER DRIVE,7380.0,CRETACEOUS,486.0,0.3,7.0,51.0,883.0,54.0,76.0
1P ,MIDDLE EAST,THE GULF,9.0,0.0,1615000.0,ONSHORE-OFFSHORE,230.0,9843.0,5310.0,GAS DRIVE,8085.0,TRIASSIC/PERMIAN,1300.0,0.3,15.0,0.0,239000.0,40.0,78.0
1P ,NORTH AMERICA,ANADARKO,12.0,300.0,3534.0,ONSHORE,154.0,10007.0,2989.0,GAS DRIVE,6750.0,DEVONIAN,250.0,0.3,16.0,58.0,243.0,3.0,40.0
1P ,ASIA-PACIFIC,SUMATRA NORTH,9.0,60.0,70014.0,OFFSHORE,267.0,4166.0,1963.0,AQUIFER DRIVE,3800.0,NEOGENE,260.0,0.89,23.0,0.0,450.0,1.0,75.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,9.0,0.0,3534.0,ONSHORE,102.0,5577.43,2915.0,GAS DRIVE,4035.43,PERMIAN/CARBONIFEROUS,1361.55,0.4,11.0,37.0,243.0,13.0,40.0
1P ,NORTH AMERICA,PERMIAN,38.0,640.0,67464.0,ONSHORE,186.0,10007.0,6750.0,GAS DRIVE,9000.0,ORDOVICIAN,1700.0,0.3,3.5,53.0,243.0,3.0,40.0
1P ,ASIA-PACIFIC,SICHUAN,9.0,62.0,3534.0,ONSHORE,273.0,16150.0,8500.0,GAS DRIVE,15350.0,PERMIAN,623.0,0.3,7.1,0.0,243.0,0.2,40.0
1P ,ASIA-PACIFIC,SICHUAN,40.0,62.0,129500.0,ONSHORE,228.0,13700.0,8000.0,GAS DRIVE,13910.0,TRIASSIC,1445.0,0.55,8.1,0.0,1637.0,0.2,70.0
1P ,NORTH AMERICA,WESTERN CANADA,12.0,0.0,9627.0,ONSHORE,230.44815065802783,10007.0,5995.91414294424,GAS DRIVE,7410.0,DEVONIAN,178.0,0.92,9.0,0.0,99.7,0.2,82.5
1P ,MIDDLE EAST,RUB AL KHALI,41.0,0.0,157033.0,ONSHORE,270.0,10610.0,7800.0,GAS DRIVE,10220.0,CRETACEOUS,233.0,0.3,9.9,49.7,243.0,116.0,80.0
1P ,FORMER SOVIET UNION,AMU DARYA,9.0,22.0,3534.0,ONSHORE,238.0,10007.0,5250.0,AQUIFER DRIVE,7300.0,JURASSIC,771.0,0.67,13.0,46.6,3467.0,1.6,95.0
1P ,ASIA-PACIFIC,SUMATRA NORTH,5.0,150.0,36778.0,ONSHORE,350.0,8700.0,4120.0,GAS DRIVE,8000.0,NEOGENE,1000.0,0.65,15.0,0.0,75.2,1.7,87.0
1P ,NORTH AMERICA,WESTERN CANADA,9.0,0.0,51000.0,ONSHORE,255.0,10007.0,7150.0,GAS DRIVE,8828.0,DEVONIAN,900.0,0.3,7.8,52.0,296.0,20.0,88.0
1P ,ASIA-PACIFIC,INDUS,82.0,640.0,150700.0,ONSHORE,189.0,3501.0,1965.0,GAS DRIVE,3264.0,PALEOGENE,980.0,0.3,11.0,0.0,2278.0,0.1,86.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,40.0,480.0,3534.0,ONSHORE,262.0,10007.0,7584.0,GAS DRIVE,11400.0,JURASSIC,350.0,0.2,10.0,52.0,29.0,0.5,77.1
1P ,EUROPE,NORTH SEA CENTRAL,6.0,100.0,32640.0,OFFSHORE,264.0,10170.0,7050.0,GAS DRIVE,9875.0,PALEOGENE/CRETACEOUS,640.0,0.86,20.0,47.0,249.0,170.0,50.0
1P ,EUROPE,NORTH SEA CENTRAL,9.0,140.0,41694.2,OFFSHORE,160.0,6500.0,4254.0,AQUIFER DRIVE,6345.0,PALEOGENE/CRETACEOUS,530.0,0.3,35.0,56.0,727.0,50.0,76.0
1P ,FORMER SOVIET UNION,AMU DARYA,9.0,0.0,10333.0,ONSHORE,165.0,4955.0,2494.0,GAS DRIVE,4855.64,JURASSIC,82.0,0.3,16.0,49.0,84.0,6.0,83.0
3P ,FORMER SOVIET UNION,CASPIAN NORTH,9.0,0.0,3534.0,ONSHORE,153.0,8120.0,4570.0,AQUIFER DRIVE,7545.0,CARBONIFEROUS,698.82,0.42,13.0,96.0,500.0,155.0,88.0
1P ,FORMER SOVIET UNION,SIBERIAN EASTERN,9.0,0.0,3534.0,ONSHORE,43.0,4019.0,2380.0,GAS DRIVE,4020.0,CAMBRIAN,230.0,0.45,8.0,28.0,243.0,0.2,40.0
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,982.0,40.0,329600.0,ONSHORE,122.0,9235.5,5336.0,GAS DRIVE,6188.0,PERMIAN/CARBONIFEROUS,2789.0,0.3,11.0,58.0,3715.0,83.0,90.0
1P ,NORTH AMERICA,WESTERN CANADA,9.0,640.0,90180.0,ONSHORE,156.0,4000.0,4790.0,GAS DRIVE,2850.0,CARBONIFEROUS/DEVONIAN,250.0,0.3,4.0,52.0,513.0,80.0,95.0
1P ,ASIA-PACIFIC,SICHUAN,74.0,250.0,18670.0,ONSHORE,244.0,7516.0,4283.0,AQUIFER DRIVE,7185.0,PROTEROZOIC,2133.0,0.14,1.76,0.0,241.0,0.2,36.0
1P ,NORTH AMERICA,FOSSIL,98.0,320.0,55600.0,ONSHORE,207.0,7200.0,6000.0,GAS DRIVE,4850.0,CARBONIFEROUS,750.0,0.35,7.0,43.0,875.0,23.0,55.6
1P ,NORTH AMERICA,ARKOMA,16.0,640.0,37507.0,ONSHORE,260.0,10007.0,7498.017100476434,GAS DRIVE,12170.0,ORDOVICIAN/CAMBRIAN,2250.0,0.3,1.1,0.0,83.0,0.2,70.0
1P ,ASIA-PACIFIC,SICHUAN,34.0,960.0,3534.0,ONSHORE,254.8339400744752,10007.0,8291.0,GAS DRIVE,10547.9,CARBONIFEROUS,124.67,0.3,6.0,0.0,87.35,0.2,40.0
1P ,ASIA-PACIFIC,SICHUAN,32.0,0.0,15903.0,ONSHORE,132.0,10007.0,3306.8,GAS DRIVE,2372.05,TRIASSIC,262.47,0.3,5.0,0.0,109.52,4.2,90.4
1P ,ASIA-PACIFIC,SICHUAN,10.0,0.0,4170.0,ONSHORE,235.45359197324973,10007.0,6230.534087612853,GAS DRIVE,8973.1,PERMIAN,590.0,0.3,0.8,0.0,28.0,4.2,40.0
1P ,ASIA-PACIFIC,SICHUAN,31.0,1890.0,14936.0,ONSHORE,237.0,13123.0,8663.0,GAS DRIVE,12140.0,CARBONIFEROUS,98.43,0.8,6.0,0.0,212.88,0.2,66.5
3P ,ASIA-PACIFIC,TARIM,5.0,0.0,3534.0,ONSHORE,284.0,14543.96,8845.0,AQUIFER DRIVE,14501.31,ORDOVICIAN/CAMBRIAN,91.86,0.3,3.3,93.0,65.0,91.0,40.0
