5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,LATIN AMERICA,TAMPICO-MISANTLA,32.0,0.0,68000.0,OFFSHORE,257.0,10990.0,8648.0,GAS DRIVE,10450.0,CRETACEOUS,290.0,0.13,11.0,22.0,433.0,0.4,500.0,16.2
1P ,LATIN AMERICA,TAMPICO-MISANTLA,29.0,160.0,24750.0,OFFSHORE,257.0,10990.0,8648.0,AQUIFER DRIVE,10945.0,JURASSIC,260.0,0.37,18.0,34.0,600.0,0.4,1400.0,25.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,32.0,45.0,68000.0,ONSHORE,64.0,2300.0,1494.0,GAS DRIVE,2260.0,CARBONIFEROUS,141.0,0.4,19.0,32.0,1310.0,25.0,71.0,19.0
1P ,MIDDLE EAST,RUB AL KHALI,300.0,250.0,410121.0,ONSHORE,250.0,7700.0,3930.0,AQUIFER DRIVE,7420.0,CRETACEOUS,274.0,0.91,30.0,41.0,15000.0,0.3,850.0,45.0
1P ,AFRICA,PELAGIAN,32.0,247.0,47331.0,OFFSHORE,291.0,9508.0,4187.0,GAS DRIVE,8957.0,PALEOGENE,60.0,0.4,17.2,29.6,944.0,0.56,511.0,37.0
1P ,EUROPE,NORTH SEA CENTRAL,32.0,425.0,48051.0,OFFSHORE,215.0,7600.0,4067.0,AQUIFER DRIVE,7300.0,PERMIAN,30.0,1.0,13.0,38.0,2300.0,1.07,190.0,30.0
1P ,MIDDLE EAST,THE GULF,21.0,63.0,68000.0,ONSHORE,196.0,4500.0,2310.0,AQUIFER DRIVE,4400.0,JURASSIC,60.0,0.4,26.0,36.0,243.0,0.44,752.0,19.0
1P ,MIDDLE EAST,THE GULF,431.0,35.0,30505.0,ONSHORE,140.0,1900.0,1236.0,AQUIFER DRIVE,1790.0,CRETACEOUS,110.0,1.0,25.0,34.0,2000.0,2.25,128.0,35.0
1P ,MIDDLE EAST,RUB AL KHALI,270.0,518.0,237433.0,ONSHORE,250.0,8300.0,4178.0,GAS DRIVE,8035.0,CRETACEOUS,144.0,0.88,25.0,40.6,2300.0,0.4,1200.0,44.0
2P ,LATIN AMERICA,CAMPOS,32.0,0.0,68000.0,OFFSHORE,136.73479,5000.0,1603.289775,AQUIFER DRIVE,2919.95,NEOGENE/PALEOGENE,820.0,0.4,20.0,12.3,2785.0,320.0,120.0,10.0
1P ,LATIN AMERICA,CAMPOS,6.0,148.0,9300.0,OFFSHORE,204.9699092,5000.0,4801.67307,AQUIFER DRIVE,8464.57,CRETACEOUS,492.0,0.4,12.0,32.0,116.0,0.4,500.0,30.2
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,60000.0,ONSHORE,130.0,3860.0,2130.0,GAS DRIVE,1750.0,NEOGENE/PALEOGENE,900.0,0.2,20.0,33.5,2300.0,9.95,575.0,15.0
1P ,EUROPE,SZCZECIN TROUGH,37.0,110.0,68000.0,ONSHORE,228.5283295,5000.0,8020.0,GAS DRIVE,9744.0,PERMIAN,164.0,0.4,19.0,42.0,570.0,0.4,500.0,15.0
1P ,MIDDLE EAST,TAURUS,260.0,37.0,13905.0,ONSHORE,160.0,1968.0,1800.0,GAS DRIVE,1378.0,CRETACEOUS,240.0,0.79,18.0,13.3,1850.0,592.0,18.0,10.0
