5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,MIDDLE EAST,ZAGROS,145.0,0.0,921000.0,ONSHORE,140.0,5000.0,3572.0,AQUIFER DRIVE,427.0,NEOGENE/PALEOGENE,1600.0,0.46,9.0,31.1,52900.0,1.35,500.0,30.6
1P ,LATIN AMERICA,CAMPOS,21.0,0.0,31330.0,OFFSHORE,215.0,5000.0,5260.0,AQUIFER DRIVE,10252.0,CRETACEOUS,426.5,0.7,19.0,30.5,275.0,0.4,466.0,45.4
1P ,MIDDLE EAST,TAURUS,83.0,45.0,6635.0,ONSHORE,158.0,5000.0,1350.0,AQUIFER DRIVE,1181.0,CRETACEOUS,330.0,0.4,15.5,26.0,170.0,6.75,87.0,41.0
1P ,EUROPE,CALTANISSETTA,105.0,62.0,28144.0,ONSHORE-OFFSHORE,199.0,10951.0,4978.0,AQUIFER DRIVE,10170.0,TRIASSIC,2273.0,0.4,3.5,7.3,1305.0,85.0,100.0,13.4
1P ,MIDDLE EAST,THE GULF,1996.0,0.0,5413333.0,ONSHORE,216.0,6100.0,3212.0,AQUIFER DRIVE,5150.0,JURASSIC,300.0,0.4,16.0,34.0,193000.0,1.0,520.0,59.6
1P ,MIDDLE EAST,THE GULF,32.0,0.0,642348.0,ONSHORE,213.0,6100.0,3212.0,AQUIFER DRIVE,5800.0,JURASSIC,300.0,0.5,25.0,34.0,20400.0,1.0,550.0,59.3
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,4200.0,40.0,92746.0,ONSHORE,220.0,5000.0,3800.0,GAS DRIVE,5218.0,CRETACEOUS,110.0,0.4,5.0,40.0,2300.0,0.26,1050.0,30.0
1P ,NORTH AMERICA,WILLISTON,103.0,40.0,68000.0,ONSHORE,135.0,2900.0,2080.0,AQUIFER DRIVE,11500.0,CARBONIFEROUS,100.0,0.4,17.3,27.0,2300.0,0.4,100.0,22.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,19.0,0.0,68000.0,ONSHORE-OFFSHORE,122.8151023,5000.0,4430.0,AQUIFER DRIVE,1150.0,CRETACEOUS,4430.0,0.4,18.0,37.0,5970.0,0.4,500.0,46.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,19.0,0.0,27395.0,OFFSHORE,213.2435998,5000.0,4430.0,AQUIFER DRIVE,9022.0,CRETACEOUS,60.0,0.4,18.0,37.0,405.0,0.4,500.0,14.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,65.0,0.0,34207.0,ONSHORE,159.796272,5000.0,2272.0,AQUIFER DRIVE,4265.0,CRETACEOUS,60.0,0.4,20.0,16.0,428.0,0.4,500.0,32.0
1P ,LATIN AMERICA,TAMPICO-MISANTLA,89.0,0.0,455000.0,ONSHORE,128.0,5000.0,1026.976018,AQUIFER DRIVE,1150.0,CRETACEOUS,60.0,0.4,20.0,21.0,1375.0,0.4,500.0,30.0
1P ,NORTH AMERICA,WESTERN CANADA,61.0,25.0,51109.0,ONSHORE,140.0,5000.0,2113.0,GAS DRIVE,3000.0,DEVONIAN,646.0,0.74,8.7,37.0,316.0,0.79,420.0,61.0
1P ,NORTH AMERICA,GREAT,6.0,160.0,6850.0,ONSHORE,239.0,-750.0,1735.0,AQUIFER DRIVE,-1210.0,DEVONIAN,60.0,0.4,20.0,25.7,2300.0,0.4,500.0,30.0
1P ,MIDDLE EAST,MESOPOTAMIAN,50.0,0.0,150000.0,ONSHORE,190.3534249,5000.0,4116.554913,AQUIFER DRIVE,6988.0,CRETACEOUS,469.0,0.7,16.0,27.5,48000.0,0.4,475.0,33.5
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,245.2652316,5000.0,6690.434865,AQUIFER DRIVE,11450.0,CRETACEOUS,1050.0,0.4,18.0,35.5,23500.0,0.4,500.0,30.0
3P ,NORTH AMERICA,WESTERN CANADA,32.0,0.0,68000.0,ONSHORE,52.0,5000.0,745.0,AQUIFER DRIVE,11500.0,DEVONIAN,330.0,0.4,20.0,7.0,406000.0,1600000.0,500.0,30.0
1P ,ASIA-PACIFIC,SUMATRA SOUTH,10.0,0.0,1300.0,ONSHORE,181.0,5000.0,1580.0,GAS DRIVE,2850.0,NEOGENE,250.0,0.4,26.0,46.3,120.7,0.59,375.0,8.2
1P ,MIDDLE EAST,ZAGROS,31.0,360.0,206334.0,ONSHORE,110.0,2051.0,2092.0,AQUIFER DRIVE,801.0,NEOGENE,884.0,0.76,8.0,38.0,8575.0,0.4,400.0,23.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,181.0250633,5000.0,3679.306817,AQUIFER DRIVE,6194.0,NEOGENE/PALEOGENE,1222.0,0.4,19.0,22.0,1160.0,0.4,500.0,24.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,207.0,5000.0,5104.0,AQUIFER DRIVE,9249.0,CRETACEOUS,1342.0,0.4,18.0,20.5,9670.0,0.4,546.0,24.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,209.527023,5000.0,5015.278572,AQUIFER DRIVE,8510.0,CRETACEOUS,419.0,0.4,16.5,26.0,3375.0,0.4,500.0,30.0
1P ,EUROPE,NORTH SEA CENTRAL,53.0,172.0,150738.0,OFFSHORE,176.0,5000.0,4200.0,GAS DRIVE,6500.0,PALEOGENE/CRETACEOUS,170.0,0.4,28.0,30.0,1615.0,8.24,500.0,39.0
1P ,NORTH AMERICA,WESTERN CANADA,90.0,80.0,12343.0,ONSHORE,191.0,5000.0,3433.0,GAS DRIVE,4750.0,CARBONIFEROUS,80.0,0.4,14.0,38.0,271.0,0.27,961.0,34.0
1P ,NORTH AMERICA,WESTERN CANADA,76.0,80.0,6223.0,ONSHORE,203.0,5360.0,3649.0,AQUIFER DRIVE,5050.0,CARBONIFEROUS,140.0,0.5,13.0,36.0,235.0,0.4,967.0,33.6
1P ,ASIA-PACIFIC,BOMBAY OFFSHORE,119.0,160.0,79146.0,OFFSHORE,154.8613472,5000.0,1991.0,AQUIFER DRIVE,4298.0,PALEOGENE,230.0,0.4,12.0,38.0,2135.0,0.4,500.0,28.9
1P ,EUROPE,NORTH SEA CENTRAL,17.0,68.0,26300.0,OFFSHORE,212.0,8660.0,6840.0,GAS DRIVE,8448.0,CRETACEOUS,720.0,0.95,33.0,34.0,157.0,0.4,875.0,42.0
1P ,NORTH AMERICA,WILLISTON,14.0,160.0,1361.0,ONSHORE,220.0,5998.0,4000.0,GAS DRIVE,5891.0,ORDOVICIAN,60.0,0.4,16.0,32.0,45.7,1.42,205.0,14.17
1P ,MIDDLE EAST,RUB AL KHALI,100.0,15.0,120039.0,OFFSHORE,160.0,4650.0,2381.0,AQUIFER DRIVE,4480.0,CRETACEOUS,328.0,0.4,25.0,27.0,4744.0,2.45,298.0,18.1
1P ,AFRICA,SIRT,32.0,45.0,548000.0,ONSHORE,237.0,9500.0,4532.0,GAS DRIVE,9050.0,PALEOGENE,60.0,0.53,20.0,45.0,1875.0,0.15,1336.0,40.0
1P ,AFRICA,SIRT,28.0,92.0,284794.0,ONSHORE,226.0,9000.0,4257.0,GAS DRIVE,8468.0,PALEOGENE,60.0,0.4,22.0,40.0,1760.0,0.46,595.0,77.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,622.0,2.7,31897.0,ONSHORE,54.0,2036.0,1176.0,GAS DRIVE,460.0,PERMIAN,60.0,0.4,19.0,30.0,300.0,3.0,80.0,32.9
1P ,AFRICA,GULF OF SUEZ,190.0,0.0,68000.0,ONSHORE,120.0,5000.0,250.0,AQUIFER DRIVE,360.0,NEOGENE,60.0,0.4,20.0,10.0,1200.0,1000.0,500.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,146.0,4700.0,3787.0,GAS DRIVE,4200.0,NEOGENE,158.0,0.65,20.0,43.5,2300.0,0.4,1490.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,146.0,4700.0,3772.0,GAS DRIVE,3450.0,NEOGENE,136.0,0.3,11.0,40.5,2300.0,0.4,1490.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,209.2316659,5000.0,5001.434305,AQUIFER DRIVE,7432.0,CRETACEOUS,1800.0,0.4,15.0,0.0,1430.0,0.4,500.0,65.0
1P ,NORTH AMERICA,PERMIAN,147.0,20.0,9719.0,ONSHORE,144.0,4015.0,2750.0,GAS DRIVE,3700.0,CARBONIFEROUS,60.0,0.4,9.0,43.0,2300.0,0.17,1750.0,49.0
1P ,MIDDLE EAST,RUB AL KHALI,32.0,0.0,10000.0,ONSHORE,230.4973768,5000.0,5998.221521,GAS DRIVE,10250.0,CRETACEOUS,159.0,0.78,15.0,37.2,500.0,0.89,1750.0,20.0
1P ,ASIA-PACIFIC,JAVA NORTHWEST,31.0,0.0,2482.0,ONSHORE,204.0,5000.0,1709.0,AQUIFER DRIVE,3480.0,NEOGENE,60.0,0.4,16.0,38.0,58.7,0.02,1287.0,20.7
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,116.0,112.0,98875.0,ONSHORE,285.0,15400.0,7850.0,AQUIFER DRIVE,14825.0,JURASSIC,350.0,0.29,14.0,51.0,830.0,0.18,1806.0,60.0
1P ,ASIA-PACIFIC,BOHAI,4.0,89.0,3860.0,ONSHORE,320.0,14993.0,6637.0,AQUIFER DRIVE,14990.0,ORDOVICIAN,660.0,0.23,2.8,40.7,39.9,0.55,710.0,16.8
1P ,MIDDLE EAST,TAURUS,132.0,22.0,68000.0,ONSHORE,91.0,5000.0,889.0,AQUIFER DRIVE,570.0,NEOGENE,180.0,0.38,26.0,20.0,2300.0,61.0,140.0,16.0
1P ,NORTH AMERICA,WESTERN CANADA,32.0,120.0,70000.0,ONSHORE,206.0,5200.0,3500.0,GAS DRIVE,5040.0,DEVONIAN,230.0,0.39,9.0,41.0,1086.0,0.37,730.0,46.0
1P ,ASIA-PACIFIC,SUMATRA SOUTH,32.0,126.0,32000.0,ONSHORE,179.0,5000.0,1190.0,GAS DRIVE,2581.0,NEOGENE,150.0,0.4,18.0,38.0,265.0,0.87,566.0,48.0
1P ,MIDDLE EAST,TAURUS,103.0,0.0,34500.0,ONSHORE,178.0,5000.0,2906.335249,AQUIFER DRIVE,3200.0,CRETACEOUS,585.0,0.26,12.0,20.0,1115.0,300.0,175.0,25.0
1P ,ASIA-PACIFIC,SALAWATI,57.0,7.0,15304.0,ONSHORE,185.0,3300.0,1434.0,AQUIFER DRIVE,3030.0,NEOGENE,561.0,0.26,21.0,37.0,87.7,1.79,16.0,65.0
1P ,NORTH AMERICA,WESTERN CANADA,32.0,80.0,68000.0,ONSHORE,235.0,7266.0,4648.0,GAS DRIVE,7050.0,DEVONIAN,257.0,0.22,7.4,43.0,309.0,0.4,1117.0,44.0
1P ,NORTH AMERICA,PERMIAN,1770.0,40.0,207991.0,ONSHORE,132.0,4500.0,3122.0,GAS DRIVE,3735.0,CARBONIFEROUS,60.0,0.34,8.0,41.0,2750.0,0.38,1010.0,58.1
1P ,NORTH AMERICA,PERMIAN,41.0,80.0,5200.0,ONSHORE,158.0,6650.0,3803.0,GAS DRIVE,6400.0,PERMIAN,120.0,0.4,9.0,39.0,39.0,0.22,1490.0,43.6
1P ,FORMER SOVIET UNION,CASPIAN NORTH,32.0,0.0,68000.0,ONSHORE,208.0,14304.0,11542.0,GAS DRIVE,13376.0,CARBONIFEROUS,570.0,0.4,12.0,41.0,438.0,0.7,1340.0,30.0
1P ,MIDDLE EAST,THE GULF,32.0,250.0,66000.0,OFFSHORE,185.0,7260.0,3606.0,GAS DRIVE,6900.0,CRETACEOUS,550.0,0.62,22.0,33.0,2300.0,0.91,600.0,30.0
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,26.0,0.0,30000.0,ONSHORE,151.0,8070.0,4351.0,AQUIFER DRIVE,7709.97,DEVONIAN,60.0,0.15,10.0,37.5,2300.0,1.23,748.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,200.0,2755000.0,ONSHORE,112.0,1500.0,1075.0,GAS DRIVE,-100.0,PALEOGENE,60.0,0.4,27.0,36.7,38500.0,5.0,213.0,41.8
1P ,FORMER SOVIET UNION,AMU DARYA,114.0,20.0,80000.0,ONSHORE,237.0,9180.0,8322.0,GAS DRIVE,8382.0,JURASSIC,1020.0,0.4,20.0,30.4,2300.0,1.4,940.0,55.0
1P ,FORMER SOVIET UNION,NORTH CASPIAN,32.0,0.0,68000.0,ONSHORE,221.0,14189.63,12075.0,GAS DRIVE,12795.28,PERMIAN/CARBONIFEROUS,60.0,0.42,6.0,47.61,747.86,0.4,2711.8,42.0
1P ,FORMER SOVIET UNION,CASPIAN NORTH,32.0,0.0,68000.0,ONSHORE,169.0,10170.0,5027.0,GAS DRIVE,9660.0,CARBONIFEROUS,1640.0,0.4,10.0,32.0,467.0,0.48,1180.0,17.0
1P ,EUROPE,NORTH SEA CENTRAL,7.0,96.0,8500.0,OFFSHORE,174.071865,5000.0,3640.0,GAS DRIVE,5825.0,PALEOGENE/CRETACEOUS,260.0,0.4,28.0,31.5,350.0,0.4,600.0,11.0
1P ,ASIA-PACIFIC,SUNDA,38.0,190.0,43720.0,OFFSHORE,211.0,4700.0,2026.0,GAS DRIVE,4450.0,NEOGENE,120.0,0.4,22.7,36.0,120.0,2.22,144.0,44.0
1P ,LATIN AMERICA,CAMPECHE,130.0,0.0,850000.0,OFFSHORE,230.0,5000.0,4551.0,AQUIFER DRIVE,7870.0,CRETACEOUS,1000.0,0.4,9.0,16.0,13900.0,0.4,391.0,43.0
1P ,LATIN AMERICA,CAMPECHE,32.0,0.0,389500.0,OFFSHORE,230.0,5000.0,4551.0,AQUIFER DRIVE,7870.0,CRETACEOUS,1000.0,0.4,9.0,22.1,4030.0,0.4,450.0,45.8
1P ,LATIN AMERICA,CAMPECHE,32.0,0.0,113000.0,OFFSHORE,232.0,5000.0,5000.280616,AQUIFER DRIVE,8860.0,CRETACEOUS,1000.0,0.4,9.0,13.6,4080.0,0.4,275.0,45.8
1P ,LATIN AMERICA,CAMPECHE,32.0,0.0,225000.0,OFFSHORE,232.0,5000.0,5190.639286,AQUIFER DRIVE,9190.0,CRETACEOUS,1000.0,0.4,9.0,12.4,4930.0,0.4,449.0,45.8
2C ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,110.0,-1015.0,630.0,AQUIFER DRIVE,-1082.0,PALEOGENE,1600.0,0.31,15.0,7.0,2300.0,20000.0,500.0,30.0
2C ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,139.3,1700.0,927.0,AQUIFER DRIVE,1500.0,CRETACEOUS,980.0,0.47,13.0,15.0,2600.0,1654.0,66.8,30.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,155.0,122.0,87178.0,ONSHORE,118.0,5492.0,2727.0,AQUIFER DRIVE,5492.0,CARBONIFEROUS,330.0,0.74,18.0,45.0,986.0,0.97,357.0,50.0
1P ,LATIN AMERICA,MARACAIBO,32.0,0.0,159000.0,ONSHORE,153.5814665,5000.0,4400.0,GAS DRIVE,3950.0,CRETACEOUS,1750.0,0.4,2.0,30.0,1501.0,0.4,660.0,44.0
1P ,EUROPE,AQUITAINE,111.0,0.0,5700.0,ONSHORE,140.0,1722.0,925.0,AQUIFER DRIVE,1640.0,CRETACEOUS,390.0,0.4,15.0,22.0,143.0,17.5,62.0,30.0
1P ,LATIN AMERICA,MARACAIBO,18.0,360.0,68000.0,OFFSHORE,300.0,13800.0,10800.0,AQUIFER DRIVE,12400.0,CRETACEOUS,1200.0,0.16,3.0,37.0,758.0,8.72,1200.0,20.4
1P ,EUROPE,WESTERN BLACK SEA,32.0,0.0,68000.0,OFFSHORE,182.1572655,5000.0,3732.376506,GAS DRIVE,6496.0,CRETACEOUS,60.0,0.4,16.0,38.0,2300.0,0.87,500.0,30.0
1P ,NORTH AMERICA,WESTERN CANADA,535.0,40.0,36000.0,ONSHORE,150.0,2980.0,1894.0,AQUIFER DRIVE,2800.0,DEVONIAN,820.0,0.4,8.0,39.0,455.0,0.78,553.0,69.0
1P ,NORTH AMERICA,WESTERN CANADA,351.0,40.0,68000.0,ONSHORE,150.0,5000.0,1514.0,GAS DRIVE,2500.0,DEVONIAN,60.0,0.4,3.1,38.0,207.0,0.78,580.0,44.0
1P ,MIDDLE EAST,MENDER-LEKHWAIR ARCH,300.0,6.0,79700.0,ONSHORE,155.3536091,5000.0,1987.0,AQUIFER DRIVE,3494.0,CRETACEOUS,260.0,0.4,28.0,38.0,1334.0,0.8,500.0,30.0
1P ,FORMER SOVIET UNION,DNIEPER-DONETS,85.0,40.0,83120.0,ONSHORE,118.0,5577.43,2741.0,AQUIFER DRIVE,5462.6,PERMIAN/CARBONIFEROUS,173.88,0.4,24.0,44.0,2300.0,3.0,490.0,30.0
1P ,NORTH AMERICA,INDIANA-OHIO PLATFORM,100000.0,15.0,68500.0,ONSHORE,72.0,340.0,400.0,AQUIFER DRIVE,450.0,ORDOVICIAN,180.0,0.1,5.0,38.0,2300.0,0.4,500.0,12.9
1P ,LATIN AMERICA,CAMPOS,25.0,0.0,35288.0,OFFSHORE,186.0,9350.0,4394.0,AQUIFER DRIVE,9380.0,CRETACEOUS,60.0,0.29,15.0,30.0,550.0,0.4,920.0,27.0
1P ,LATIN AMERICA,CAMPOS,32.0,0.0,9882.0,OFFSHORE,169.7030413,5000.0,3148.609919,AQUIFER DRIVE,5660.0,CRETACEOUS,60.0,0.4,20.0,20.0,168.0,0.4,168.0,18.0
1P ,NORTH AMERICA,PARADOX,33.0,160.0,11067.0,ONSHORE,144.0,5000.0,2788.0,GAS DRIVE,700.0,CARBONIFEROUS,410.0,0.55,5.5,129.0,91.2,0.4,1200.0,55.8
1P ,NORTH AMERICA,NORTH SLOPE,85.0,160.0,44381.0,ONSHORE,183.0,5000.0,4490.0,GAS DRIVE,8400.0,CARBONIFEROUS,700.0,0.18,10.0,27.0,2300.0,0.9,830.0,9.4
1P ,NORTH AMERICA,WILLISTON,151.0,160.0,15789.0,ONSHORE,220.0,7200.0,4750.0,GAS DRIVE,7168.0,CARBONIFEROUS,465.0,0.05,14.0,41.0,2300.0,0.2,1058.0,38.4
1P ,NORTH AMERICA,BIG HORN,30.0,20.0,3800.0,ONSHORE,142.0,1225.0,2375.0,AQUIFER DRIVE,1050.0,PERMIAN,100.0,0.65,15.0,36.0,2300.0,1.6,93.0,30.0
1P ,ASIA-PACIFIC,BOHAI,72.0,40.0,16700.0,ONSHORE,253.0,10909.0,4772.0,AQUIFER DRIVE,10500.0,PROTEROZOIC,781.0,0.88,3.2,37.0,235.0,2.9,28.0,19.4
1P ,ASIA-PACIFIC,PEARL RIVER MOUTH,42.0,70.0,44567.0,OFFSHORE,126.0,3954.0,1819.0,AQUIFER DRIVE,3845.0,NEOGENE,1562.0,0.4,21.3,20.0,1045.0,65.0,45.0,15.6
1P ,LATIN AMERICA,NEUQUEN,32.0,0.0,68000.0,ONSHORE,201.0,5905.0,5490.0,GAS DRIVE,6070.0,CRETACEOUS,2130.0,0.4,5.0,43.0,2300.0,0.94,500.0,30.0
1P ,NORTH AMERICA,PERMIAN,613.0,20.0,11060.0,ONSHORE,106.0,1710.0,1995.0,GAS DRIVE,1680.0,PERMIAN,400.0,0.4,10.5,32.0,432.0,3.27,117.0,30.3
1P ,EUROPE,NORTH SEA CENTRAL,7.0,240.0,36192.0,OFFSHORE,190.0,4182.5,3190.0,GAS DRIVE,4091.21,CRETACEOUS,574.0,0.8,22.0,41.0,439.0,0.4,877.0,31.0
1P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,200.7155363,5000.0,4602.257943,AQUIFER DRIVE,7808.0,CRETACEOUS,796.0,0.8,14.0,20.0,20400.0,0.4,80.0,32.0
1P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,104.2322184,5000.0,79.79742541,AQUIFER DRIVE,11500.0,CRETACEOUS,1110.0,0.4,16.5,34.0,8700.0,0.4,420.0,32.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,32.0,0.0,5000.0,ONSHORE,216.0,8923.88,4177.0,AQUIFER DRIVE,8694.23,DEVONIAN,60.0,0.4,10.0,37.0,2300.0,5.7,373.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,100000.0,ONSHORE,180.0,7447.0,3490.0,AQUIFER DRIVE,7054.0,NEOGENE/PALEOGENE,427.0,0.53,24.0,30.0,3300.0,1.18,450.0,39.4
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,225.0,10459.0,5660.0,GAS DRIVE,10170.0,CRETACEOUS,328.0,0.65,13.0,22.0,9034.0,0.4,340.0,8.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,235.0,11361.0,5750.0,GAS DRIVE,10633.0,CRETACEOUS,820.0,0.75,9.0,25.0,5582.0,0.4,340.0,8.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,244.0,12361.0,6220.0,GAS DRIVE,11811.0,CRETACEOUS,632.0,0.58,9.0,25.5,3201.0,0.4,340.0,8.0
1P ,LATIN AMERICA,MARACAIBO,32.0,0.0,79000.0,ONSHORE,166.6264049,5000.0,4345.0,GAS DRIVE,5030.0,CRETACEOUS,1750.0,0.4,2.0,29.0,2300.0,0.4,690.0,30.0
1P ,FORMER SOVIET UNION,SIBERIAN EASTERN,32.0,0.0,600.0,ONSHORE,92.0,7070.0,3983.0,AQUIFER DRIVE,5964.0,CAMBRIAN,221.0,0.4,4.0,42.0,2300.0,0.4,1580.0,30.0
1P ,MIDDLE EAST,ZAGROS,121.0,0.0,118000.0,ONSHORE,102.0,5000.0,850.0,GAS DRIVE,640.0,NEOGENE/PALEOGENE,1075.0,0.64,13.0,38.0,5300.0,3.5,231.0,26.0
1P ,EUROPE,VIENNA,32.0,0.0,14000.0,ONSHORE,217.0,9514.0,4300.0,AQUIFER DRIVE,8350.0,NEOGENE/CRETACEOUS/TRIASSIC,623.0,0.4,4.0,30.0,139.0,1.3,382.0,46.0
1P ,MIDDLE EAST,RUB AL KHALI,32.0,0.0,167283.0,OFFSHORE,206.0,7200.0,3630.0,AQUIFER DRIVE,6776.0,JURASSIC,80.0,0.69,25.0,38.0,2300.0,0.43,657.0,55.0
1P ,MIDDLE EAST,RUB AL KHALI,32.0,0.0,167283.0,OFFSHORE,206.0,7200.0,3623.0,AQUIFER DRIVE,6870.0,JURASSIC,280.0,0.79,20.0,38.0,2300.0,0.4,541.0,55.0
1P ,NORTH AMERICA,PERMIAN,32.0,5.0,37601.0,ONSHORE,86.0,5000.0,1300.0,GAS DRIVE,100.0,PERMIAN,60.0,0.4,10.0,32.0,2300.0,2.1,300.0,22.5
1P ,NORTH AMERICA,PERMIAN,720.0,10.0,20749.0,ONSHORE,100.0,1250.0,1850.0,GAS DRIVE,1100.0,PERMIAN,230.0,0.65,10.0,29.0,449.0,6.0,230.0,67.7
1P ,NORTH AMERICA,WILLISTON,72.0,195.0,5180.0,ONSHORE,230.0,6150.0,4120.0,AQUIFER DRIVE,11500.0,ORDOVICIAN,200.0,0.4,15.5,37.5,2300.0,0.48,525.0,46.2
1P ,NORTH AMERICA,WESTERN CANADA,85.0,80.0,1273.0,ONSHORE,160.0,4127.0,2330.0,GAS DRIVE,3840.0,CARBONIFEROUS,165.0,0.4,13.0,25.0,46.0,0.4,438.0,30.0
1P ,NORTH AMERICA,PERMIAN,32.0,40.0,3383.0,ONSHORE,171.118294,5000.0,3214.947031,GAS DRIVE,1335.0,PERMIAN,240.0,0.4,5.8,39.0,2300.0,0.88,500.0,30.0
1P ,NORTH AMERICA,WILLISTON,480.0,30.0,15270.0,ONSHORE,145.0,2500.0,2074.0,GAS DRIVE,2300.0,CARBONIFEROUS,64.0,0.49,20.0,29.0,515.0,3.4,190.9,41.6
1P ,MIDDLE EAST,THE GULF,110.0,240.0,95000.0,ONSHORE,200.0,9422.0,4750.0,AQUIFER DRIVE,8990.0,CRETACEOUS,400.0,0.4,20.0,34.0,5000.0,0.97,600.0,44.0
1P ,MIDDLE EAST,ZAGROS,32.0,600.0,22710.0,ONSHORE,133.0049221,5000.0,2450.0,AQUIFER DRIVE,1768.0,NEOGENE,250.0,0.79,14.0,42.0,911.0,2.48,532.0,40.0
1P ,EUROPE,PANNONIAN,32.0,0.0,68000.0,ONSHORE,255.0,7513.0,3350.0,AQUIFER DRIVE,6000.0,TRIASSIC,60.0,0.4,1.4,22.0,2300.0,50.0,25.0,30.0
1P ,EUROPE,PANNONIAN,32.0,0.0,68000.0,ONSHORE,237.0,6693.0,3002.0,AQUIFER DRIVE,5600.0,CRETACEOUS,1300.0,0.4,2.1,22.0,2300.0,19.0,25.0,30.0
1P ,EUROPE,PANNONIAN,324.0,0.0,22530.0,ONSHORE,255.0,7513.0,3350.0,AQUIFER DRIVE,5600.0,CRETACEOUS/TRIASSIC,60.0,0.4,1.7,22.0,275.0,50.0,25.0,55.0
1P ,EUROPE,PANNONIAN,105.0,0.0,18873.0,ONSHORE,237.0,6693.0,3002.0,AQUIFER DRIVE,5600.0,CRETACEOUS/TRIASSIC,60.0,0.4,1.0,16.9,102.5,19.0,25.0,54.5
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,182.7602862,5000.0,3760.641885,AQUIFER DRIVE,6371.0,CRETACEOUS,260.0,0.2,14.5,21.5,1480.0,0.4,500.0,25.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,223.4580327,5000.0,5668.266493,AQUIFER DRIVE,9678.0,CRETACEOUS,1150.0,0.4,12.5,42.0,13400.0,0.4,500.0,38.0
1P ,AFRICA,SIRT,187.0,560.0,568247.0,ONSHORE,170.0,5200.0,2457.0,AQUIFER DRIVE,5000.0,PALEOGENE,60.0,0.4,22.0,39.0,6470.0,4.0,500.0,38.6
1P ,MIDDLE EAST,FAHUD SALT,147.0,60.0,99729.0,ONSHORE,174.0,5000.0,1263.0,AQUIFER DRIVE,1732.0,CRETACEOUS,1325.0,0.33,19.0,30.0,3000.0,1.5,56.0,21.0
1P ,NORTH AMERICA,MICHIGAN,32.0,20.0,68000.0,ONSHORE,95.0,5000.0,2650.0,GAS DRIVE,4570.0,SILURIAN,340.0,0.4,12.5,42.5,3800.0,0.4,1040.0,49.0
1P ,NORTH AMERICA,MICHIGAN,3.0,82.5,68000.0,ONSHORE,104.2322184,5000.0,79.79742541,AQUIFER DRIVE,2000.0,SILURIAN,60.0,0.4,20.0,0.0,2300.0,0.4,500.0,30.0
1P ,ASIA-PACIFIC,PALAWAN NORTHWEST,5.0,30.0,40000.0,OFFSHORE,225.0,6758.0,2969.0,AQUIFER DRIVE,6729.0,NEOGENE,2035.0,0.4,3.0,27.0,57.6,1.9,10.4,35.0
