,Feature,Value
134,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LAYER-CAKE,5.302820990471291e-05
90,11_Basin name_THE GULF,4.945860793941962e-05
50,11_Basin name_LLANOS,4.8432993516785754e-05
92,11_Basin name_TURPAN,4.330720385827533e-05
66,11_Basin name_NW BORNEO-SABAH,3.4128677200611704e-05
32,11_Basin name_CASPIAN SOUTH,3.052395040714997e-05
36,11_Basin name_CUYO,2.6653370178182524e-05
58,11_Basin name_MIDDLE MAGDALENA,2.6427600062761324e-05
27,11_Basin name_CAMBAY,2.422508763605538e-05
93,11_Basin name_UPPER MAGDALENA,2.415810735218467e-05
59,11_Basin name_NANXIANG,2.3072242245884863e-05
98,11_Basin name_WILLISTON,2.2140754521195836e-05
19,11_Basin name_ALBERT,2.0832474907036934e-05
24,11_Basin name_BERKINE (GHADAMES),1.9840582972982086e-05
56,11_Basin name_MESOPOTAMIAN,1.8978208474862146e-05
26,11_Basin name_BROWSE,1.8904381018417545e-05
85,11_Basin name_SUMATRA CENTRAL,1.7928351020047178e-05
100,11_Basin name_ZAGROS,1.694559030456442e-05
131,153_Depositional system (main)_26GLACIOGENIC,1.6708736601855042e-05
67,11_Basin name_ORDOS,1.64744600777541e-05
113,149_Reservoir period_CRETACEOUS/JURASSIC/TRIASSIC/PALEOZOIC,9.994119824960153e-06
54,11_Basin name_MARANON,9.584505625176404e-06
87,11_Basin name_SURAT,9.091075827283536e-06
23,11_Basin name_BARITO,8.628110318870522e-06
49,11_Basin name_KUTAI,5.59951329558392e-06
77,11_Basin name_RECONCAVO,4.646871332297554e-06
108,149_Reservoir period_CAMBRIAN,2.663412508184492e-06
74,11_Basin name_PUTUMAYO,2.448794276084847e-06
62,11_Basin name_NIGER DELTA,2.035559403785637e-06
70,11_Basin name_PARIS,1.9967937133922627e-06
30,11_Basin name_CARPATHIAN,1.7074879575207543e-07
35,11_Basin name_CHEROKEE,0.0
