,Feature,Value
40,11_Basin name_DOUGLAS CREEK ARCH,7.310137030522697e-05
93,11_Basin name_SARAWAK,6.92467053016531e-05
61,11_Basin name_LOWER CONGO,6.78301112278924e-05
19,11_Basin name_ALBERT,6.541897031207425e-05
33,11_Basin name_CASPIAN SOUTH,6.470922489334103e-05
60,11_Basin name_LOS ANGELES,5.6286067562631795e-05
24,11_Basin name_BALTIC,5.597295061212275e-05
43,11_Basin name_ESPIRITO SANTO,4.883066492744764e-05
70,11_Basin name_MUGLAD,4.7705307592131e-05
110,11_Basin name_WESSEX,4.715863549234547e-05
100,11_Basin name_SUMATRA SOUTH,4.640245002106367e-05
22,11_Basin name_ASRI,4.528963055994523e-05
152,161_Reservoir architecture (main)_LAYER-CAKE/TANK LIKE,4.370568581312778e-05
26,11_Basin name_BIG HORN,4.292344462915594e-05
108,11_Basin name_VIENNA,4.211661464958043e-05
127,149_Reservoir period_CRETACEOUS/PALEOZOIC,4.140985073824483e-05
28,11_Basin name_BROAD FOURTEENS,4.1254379375298966e-05
69,11_Basin name_MIDDLE MAGDALENA,3.4506203516640875e-05
71,11_Basin name_NANXIANG,3.0130631332806147e-05
105,11_Basin name_TIMAN-PECHORA,2.7779683878428133e-05
83,11_Basin name_PERI-ADRIATIC,2.645909625957303e-05
53,11_Basin name_IVORY COAST,2.537843303225857e-05
148,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LABYRINTH,2.305073221137063e-05
88,11_Basin name_PUTUMAYO,2.232483131244345e-05
137,149_Reservoir period_PALEOGENE/CRETACEOUS,2.1145953769333695e-05
90,11_Basin name_RECONCAVO,2.043168615451624e-05
89,11_Basin name_RAZZAK-ALAMEIN,1.83176084307811e-05
101,11_Basin name_SUNDA,1.519604335305325e-05
57,11_Basin name_JUNGGAR,1.4036120749456172e-05
62,11_Basin name_MALAY,1.2755805704959638e-05
25,11_Basin name_BERKINE (GHADAMES),1.1472221509579516e-05
126,149_Reservoir period_CRETACEOUS/JURASSIC/TRIASSIC/PALEOZOIC,9.551093823318313e-06
128,149_Reservoir period_CRETACEOUS/TRIASSIC/PALEOZOIC,6.8642890802665645e-06
52,11_Basin name_IRISH SEA EAST,5.155004349785388e-06
38,11_Basin name_CUYO,4.443502673828341e-06
81,11_Basin name_PANNONIAN,4.174077701388883e-06
21,11_Basin name_AQUITAINE,3.456114396247267e-06
113,11_Basin name_ZAGROS,2.921563637286132e-06
103,11_Basin name_TARAKAN,1.7836697568635255e-06
134,149_Reservoir period_NEOGENE/PALEOGENE/CRETACEOUS,1.5660988752477419e-06
82,11_Basin name_PARIS,6.341501655898952e-07
80,11_Basin name_OUED MYA-GHADAMES,5.097379497054895e-07
36,11_Basin name_CHEROKEE,4.4812177740246543e-07
46,11_Basin name_GINDI,3.5535571484072106e-07
74,11_Basin name_NIGER DELTA,3.048905545396358e-07
37,11_Basin name_COOPER,0.0
