,Feature,Value
127,149_Reservoir period_CRETACEOUS/PALEOZOIC,0.0
111,11_Basin name_WESTERN CANADA,0.0
145,153_Depositional system (main)_25DEEP MARINE,0.0
121,149_Reservoir period_CAMBRIAN,0.0
128,149_Reservoir period_CRETACEOUS/TRIASSIC/PALEOZOIC,0.0
130,149_Reservoir period_JURASSIC,0.0
125,149_Reservoir period_CRETACEOUS/JURASSIC,0.0
131,149_Reservoir period_JURASSIC/TRIASSIC,0.0
132,149_Reservoir period_NEOGENE,0.0
133,149_Reservoir period_NEOGENE/PALEOGENE,0.0
134,149_Reservoir period_NEOGENE/PALEOGENE/CRETACEOUS,0.0
120,82_Drive mechanism (main)_GRAVITY DRAINAGE,0.0
140,149_Reservoir period_TRIASSIC,0.0
116,72_Onshore or offshore_ONSHORE-OFFSHORE,0.0
137,149_Reservoir period_PALEOGENE/CRETACEOUS,0.0
114,72_Onshore or offshore_OFFSHORE,0.0
113,11_Basin name_ZAGROS,0.0
112,11_Basin name_WILLISTON,0.0
139,149_Reservoir period_PERMIAN/CARBONIFEROUS,0.0
110,11_Basin name_WESSEX,0.0
126,149_Reservoir period_CRETACEOUS/JURASSIC/TRIASSIC/PALEOZOIC,0.0
77,11_Basin name_NORTH SEA NORTHERN,0.0
92,11_Basin name_SAN JOAQUIN,0.0
91,11_Basin name_SABAH,0.0
46,11_Basin name_GINDI,0.0
45,11_Basin name_GABON NORTH,0.0
43,11_Basin name_ESPIRITO SANTO,0.0
41,11_Basin name_EASTERN VENEZUELA,0.0
39,11_Basin name_DENVER,0.0
38,11_Basin name_CUYO,0.0
37,11_Basin name_COOPER,0.0
36,11_Basin name_CHEROKEE,0.0
35,11_Basin name_CHACO,0.0
34,11_Basin name_CENTRAL OMAN UPLIFT,0.0
33,11_Basin name_CASPIAN SOUTH,0.0
32,11_Basin name_CASPIAN MIDDLE,0.0
31,11_Basin name_CARNARVON,0.0
29,11_Basin name_CAMBAY,0.0
28,11_Basin name_BROAD FOURTEENS,0.0
27,11_Basin name_BOHAI,0.0
26,11_Basin name_BIG HORN,0.0
25,11_Basin name_BERKINE (GHADAMES),0.0
24,11_Basin name_BALTIC,0.0
22,11_Basin name_ASRI,0.0
21,11_Basin name_AQUITAINE,0.0
20,11_Basin name_AMADEUS,0.0
19,11_Basin name_ALBERT,0.0
18,11_Basin name_ABU GHARADIG,0.0
17,10_Region_NORTH AMERICA,0.0
16,10_Region_MIDDLE EAST,0.0
14,10_Region_FORMER SOVIET UNION,0.0
51,11_Basin name_GULF OF SUEZ,0.0
52,11_Basin name_IRISH SEA EAST,0.0
53,11_Basin name_IVORY COAST,0.0
74,11_Basin name_NIGER DELTA,0.0
90,11_Basin name_RECONCAVO,0.0
89,11_Basin name_RAZZAK-ALAMEIN,0.0
88,11_Basin name_PUTUMAYO,0.0
87,11_Basin name_POWDER RIVER,0.0
86,11_Basin name_PICEANCE,0.0
85,11_Basin name_PHITSANULOK,0.0
84,11_Basin name_PERMIAN,0.0
82,11_Basin name_PARIS,0.0
81,11_Basin name_PANNONIAN,0.0
80,11_Basin name_OUED MYA-GHADAMES,0.0
79,11_Basin name_ORIENTE,0.0
75,11_Basin name_NORTH JIANGSU,0.0
71,11_Basin name_NANXIANG,0.0
56,11_Basin name_JIUQUAN,0.0
70,11_Basin name_MUGLAD,0.0
69,11_Basin name_MIDDLE MAGDALENA,0.0
67,11_Basin name_MESOPOTAMIAN,0.0
66,11_Basin name_MELUT,0.0
65,11_Basin name_MEKONG (CUU LONG),0.0
64,11_Basin name_MARANON,0.0
62,11_Basin name_MALAY,0.0
61,11_Basin name_LOWER CONGO,0.0
60,11_Basin name_LOS ANGELES,0.0
59,11_Basin name_LLANOS,0.0
58,11_Basin name_KUTAI,0.0
57,11_Basin name_JUNGGAR,0.0
153,161_Reservoir architecture (main)_TANK LIKE,0.0
