,Feature,Value
62,11_Basin name_MALAY,0.008074179
63,11_Basin name_MARACAIBO,0.008074179
64,11_Basin name_MARANON,0.008074179
65,11_Basin name_MEKONG (CUU LONG),0.008074179
66,11_Basin name_MELUT,0.008074179
67,11_Basin name_MESOPOTAMIAN,0.008074179
68,11_Basin name_MID-NORWAY SHELF,0.008074179
69,11_Basin name_MIDDLE MAGDALENA,0.008074179
70,11_Basin name_MUGLAD,0.008074179
71,11_Basin name_NANXIANG,0.008074179
72,11_Basin name_NATUNA WEST,0.008074179
73,11_Basin name_NEUQUEN,0.008074179
74,11_Basin name_NIGER DELTA,0.008074179
59,11_Basin name_LLANOS,0.008074179
57,11_Basin name_JUNGGAR,0.008074179
40,11_Basin name_DOUGLAS CREEK ARCH,0.008074179
56,11_Basin name_JIUQUAN,0.008074179
41,11_Basin name_EASTERN VENEZUELA,0.008074179
42,11_Basin name_EROMANGA,0.008074179
43,11_Basin name_ESPIRITO SANTO,0.008074179
44,11_Basin name_FAEROE-SHETLAND,0.008074179
45,11_Basin name_GABON NORTH,0.008074179
46,11_Basin name_GINDI,0.008074179
47,11_Basin name_GIPPSLAND,0.008074179
48,11_Basin name_GREATER GREEN RIVER,0.008074179
49,11_Basin name_GULF OF MEXICO NORTHERN OFFSHORE,0.008074179
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.008074179
51,11_Basin name_GULF OF SUEZ,0.008074179
52,11_Basin name_IRISH SEA EAST,0.008074179
53,11_Basin name_IVORY COAST,0.008074179
54,11_Basin name_JEANNE D ARC,0.008074179
55,11_Basin name_JIANGHAN,0.008074179
153,161_Reservoir architecture (main)_TANK LIKE,0.008074179
