,Feature,Value
62,11_Basin name_MALAY,0.002517839
63,11_Basin name_MARACAIBO,0.002517839
64,11_Basin name_MARANON,0.002517839
65,11_Basin name_MEKONG (CUU LONG),0.002517839
66,11_Basin name_MELUT,0.002517839
67,11_Basin name_MESOPOTAMIAN,0.002517839
68,11_Basin name_MID-NORWAY SHELF,0.002517839
69,11_Basin name_MIDDLE MAGDALENA,0.002517839
70,11_Basin name_MUGLAD,0.002517839
71,11_Basin name_NANXIANG,0.002517839
72,11_Basin name_NATUNA WEST,0.002517839
73,11_Basin name_NEUQUEN,0.002517839
74,11_Basin name_NIGER DELTA,0.002517839
59,11_Basin name_LLANOS,0.002517839
57,11_Basin name_JUNGGAR,0.002517839
40,11_Basin name_DOUGLAS CREEK ARCH,0.002517839
56,11_Basin name_JIUQUAN,0.002517839
41,11_Basin name_EASTERN VENEZUELA,0.002517839
42,11_Basin name_EROMANGA,0.002517839
43,11_Basin name_ESPIRITO SANTO,0.002517839
44,11_Basin name_FAEROE-SHETLAND,0.002517839
45,11_Basin name_GABON NORTH,0.002517839
46,11_Basin name_GINDI,0.002517839
47,11_Basin name_GIPPSLAND,0.002517839
48,11_Basin name_GREATER GREEN RIVER,0.002517839
49,11_Basin name_GULF OF MEXICO NORTHERN OFFSHORE,0.002517839
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.002517839
51,11_Basin name_GULF OF SUEZ,0.002517839
52,11_Basin name_IRISH SEA EAST,0.002517839
53,11_Basin name_IVORY COAST,0.002517839
54,11_Basin name_JEANNE D ARC,0.002517839
55,11_Basin name_JIANGHAN,0.002517839
153,161_Reservoir architecture (main)_TANK LIKE,0.002517839
