1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
EAST BAGHDAD,HARTHA,3P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPMENT PENDING,DEVELOPING,,0.0,,ONSHORE,-197.0,184.5939615386692,3846.591708318679,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,6530.0,6332.0,0.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,,TIGHT CARBONATELATERAL FACIES CHANGE,955.0,,,CARBONATES,PACKSTONE/GRAINSTONE,FORAMINIFERA,,INTERPARTICLE,,,19.0,,0.0,0.0,247.0,,,,,,11580.0,,13.0,,,,,,,,,,,
EAST BAGHDAD,KHASIB,1P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPING,DEVELOPING,32.00,0.0,20000.0,ONSHORE,-197.0,104.2322183960465,79.7974254134433,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,,,0.5,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,,BLOCK-BOUNDING FAULT/TIGHT CARBONATELATERAL FACIES CHANGE,304.0,,,CARBONATES,WACKESTONE,PLANKTONIC FORAMINIFERA,TYPE IV,INTERPARTICLE,23.0,4.95,19.0,,0.0,0.0,310.0,,,,,,6450.0,,13.0,,,,,,,,,,,
EAST BAGHDAD,TANUMA,3P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPMENT PENDING,DEVELOPING,,0.0,,ONSHORE,-197.0,104.2322183960465,79.7974254134433,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,,,0.5,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,,BLOCK-BOUNDING FAULT/TIGHT CARBONATELATERAL FACIES CHANGE,300.0,,,CARBONATES,WACKESTONE,PLANKTONIC FORAMINIFERA,TYPE IV,INTERPARTICLE,22.0,6.4,19.0,,0.0,0.0,324.0,,,,,,5620.0,,13.0,,,,,,,,,,,
EKOFISK,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.5357,3.1985,OIL,2012.0,SECONDARY RECOVERY,SECONDARY DECLINE,243.00,0.0,299060.0,OFFSHORE,230.0,268.0,7135.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9250.0,9480.0,3.0,1200.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,820.0,0.71,179.83,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,32.0,1.5,36.0,1.0,0.0,0.1,1530.0,,1.72,5560.0,61000.0,6.0,8530.0,18.0,52.0,,CONTINUOUS WATER INJECTION/GAS RECYCLING,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACID FRACTURING,MODIFICATION IN INJECTION PATTERN,,,PROFILE MODIFICATION/SIDETRACKING/WATER PLUGGING,10400.0
EL BUNDUQ,ARAB D,1P ,QATAR-UNITED ARAB EMIRATES,MIDDLE EAST,RUB AL KHALI,25.0986,52.6142,OIL,1998.0,SECONDARY RECOVERY,SECONDARY DECLINE,23.00,0.0,44307.0,OFFSHORE,58.0,223.0,4412.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8162.0,8220.0,4.0,858.0,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE/TAR MATSEALING FAULT,340.0,0.82,85.35,CARBONATES,MUDSTONE,,,INTERCRYSTALLINE,14.0,16.0,39.0,0.2,0.0,37.0,1980.0,,2.04,4150.0,,,500.0,,54.0,,CONTINUOUS WATER INJECTION,,DRILLING/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,MODIFICATION IN INJECTION PATTERN,,,COILED TUBING TREATMENT/SIDETRACKING/WATER PLUGGING,8800.0
ELDFISK,HOD-TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.4291,3.2039,OIL,2012.0,SECONDARY RECOVERY,SECONDARY DECLINE,112.00,0.0,101246.0,OFFSHORE,230.0,268.0,6817.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8670.0,8900.0,15.0,650.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LABYRINTH,STRUCTURAL SADDLE/TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,480.0,0.8,121.92,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,30.0,1.5,37.0,0.11,0.0,0.0,1804.0,,1.91,6005.0,52000.0,15.0,3567.0,23.5,31.0,34.4,CONTINUOUS WATER INJECTION/GAS RECYCLING,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/HYDRAULIC FRACTURING (MULTI-STAGE),,GAS LIFT,,SIDETRACKING,9400.0
ELK BASIN,MADISON,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,BIG HORN,44.9789,-108.855,OIL,2012.0,SECONDARY RECOVERY,MATURE,123.00,30.0,23882.0,ONSHORE,-4600.0,135.0,2264.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,4350.0,-250.0,35.0,1700.0,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE,TIGHT CLASTICS/TIGHT CARBONATELATERAL DIAGENETIC CHANGE/NON-KARSTIC ZONE,780.0,,62.48,CARBONATES,PACKSTONE/GRAINSTONE,,TYPE II,INTERCRYSTALLINE,12.0,7.0,28.0,68.0,0.0,0.0,235.0,,1.12,1140.0,3150.0,21.0,526.0,,38.0,,CONTINUOUS WATER INJECTION,MISCIBLE,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION,INFILL WELL,ACIDIZATION,WATER INJECTION ON A ZONAL BASIS/MODIFICATION IN INJECTION PATTERN,,,,
ELKHORN RANCH,MISSION CANYON (MADISON),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,47.2376,-103.5028,OIL,2008.0,PRIMARY RECOVERY,SECONDARY MATURE,40.00,80.0,3624.0,ONSHORE,-2300.0,216.0,4490.0,AQUIFER DRIVE,255:HYDRODYNAMIC,9125.0,6825.0,1.3,125.0,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,105.0,,12.19,CARBONATES,MUDSTONE/WACKESTONE,BRACHIOPOD/CRINOID,TYPE IV,INTERCRYSTALLINE,16.0,25.0,46.0,0.23,0.0,0.0,450.0,,1.63,,100000.0,35.0,50.0,,44.0,,,,DRILLING/STIMULATION,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,,,,
ELM COULEE,MIDDLE BAKKEN,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,47.5024,-104.48,OIL,2012.0,PRIMARY RECOVERY,DECLINE,744.00,640.0,52000.0,ONSHORE,-2360.0,240.0,5000.0,GAS DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,5850.0,3488.0,0.5,2400.0,DEVONIAN,11:LOW-ENERGY CARBONATE MUD,,TIGHT CARBONATE,,,,CARBONATES,,BRACHIOPOD/CRINOID,,INTERCRYSTALLINE,9.0,0.04,42.0,0.36,0.0,0.0,500.0,,1.43,2100.0,,8.0,2700.0,10.0,10.0,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,HYDRAULIC FRACTURING (MULTI-STAGE),,,,INDIVIDUAL WELL GAS HUFF-N-PUFF/RE-COMPLETION/STEP-OUT DEVELOPMENT DRILLING,8138.0
EMMA,ELLENBURGER,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PERMIAN,32.127,-102.6353,OIL,2011.0,PRIMARY RECOVERY,MATURE,27.00,40.0,9953.0,ONSHORE,-3150.0,185.0,5337.0,AQUIFER DRIVE,1112:FORELAND ANTICLINE,12150.0,9000.0,10.0,450.0,ORDOVICIAN,11:LOW-ENERGY CARBONATE MUD,LABYRINTH,TIGHT CARBONATENON-KARSTIC ZONE,460.0,,,CARBONATES,GRAINSTONE,ALGAE,,BRECCIA,3.0,54.0,49.0,0.5,0.0,0.0,636.0,,1.4,,,20.0,230.0,20.4,20.4,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,,RE-COMPLETION/SELECTIVE PERFORATION,9000.0
