iter	RMSE
0	0.1360698822
1	0.134922868
2	0.1332951267
3	0.1315762592
4	0.1300554445
5	0.1285973217
6	0.1274020364
7	0.1260555733
8	0.1246066004
9	0.1235230085
10	0.1225617982
11	0.12103504
12	0.1197483196
13	0.1187060594
14	0.1176006996
15	0.1164593642
16	0.1153880853
17	0.1143214048
18	0.1132157244
19	0.1120944397
20	0.1109979537
21	0.1103857384
22	0.1094191275
23	0.1085273263
24	0.1074539073
25	0.1066037197
26	0.1054510395
27	0.1045503748
28	0.1036321954
29	0.1028795666
30	0.1020912514
31	0.1015448368
32	0.1006808003
33	0.09988054477
34	0.09898495426
35	0.09841295121
36	0.09773781984
37	0.09678282297
38	0.095912516
39	0.09502263593
40	0.09404501984
41	0.09345726132
42	0.09271500662
43	0.0919050495
44	0.09131450433
45	0.09063454692
46	0.09007946076
47	0.08955803761
48	0.08855186919
49	0.08775455948
50	0.0869970592
51	0.08636401271
52	0.08572579921
53	0.08546916285
54	0.08475292125
55	0.08397787837
56	0.0832603117
57	0.08248026578
58	0.08209796668
59	0.08157256297
60	0.08081730436
61	0.08027018838
62	0.07974496721
63	0.07937058691
64	0.07877870173
65	0.07841568403
66	0.07769579012
67	0.07706227834
68	0.07649054952
69	0.07595167116
70	0.0752230471
71	0.07465428834
72	0.07413838327
73	0.073773066
74	0.0734708219
75	0.07285730639
76	0.07223955557
77	0.07163391604
78	0.07107136977
79	0.07069634358
80	0.07029609306
81	0.06985805629
82	0.06948039695
83	0.06879115588
84	0.0679131721
85	0.06743460102
86	0.06714106748
87	0.06660460184
88	0.06601568429
89	0.06578877517
90	0.06521615541
91	0.06481104108
92	0.06425046914
93	0.06374538021
94	0.06325345399
95	0.06278508004
96	0.06223775338
97	0.0619381202
98	0.06157384892
99	0.06130319767
100	0.06102694338
101	0.06055916788
102	0.06018920231
103	0.05994530154
104	0.05952524495
105	0.0592748519
106	0.05869093665
107	0.05840319436
108	0.05794308566
109	0.05757048327
110	0.05724712961
111	0.05695572188
112	0.05655901673
113	0.05630209567
114	0.05605685971
115	0.0556940386
116	0.05534395226
117	0.05497732639
118	0.05463292827
119	0.05419940269
120	0.05380368486
121	0.05341962584
122	0.05298532954
123	0.05264698639
124	0.05229230994
125	0.05190228165
126	0.05152054755
127	0.0513699124
128	0.0510023639
129	0.05078200706
130	0.05063619088
131	0.05031258432
132	0.05001533677
133	0.04981207935
134	0.0495580553
135	0.04918269435
136	0.04901372497
137	0.04869650824
138	0.04851451362
139	0.0483099096
140	0.04801492384
141	0.04781647499
142	0.04755155725
143	0.04731416361
144	0.04713548473
145	0.04690592459
146	0.04656082573
147	0.04637844505
148	0.04619075202
149	0.04584159363
150	0.04564641333
151	0.04536889241
152	0.04506308498
153	0.04491369376
154	0.0447671959
155	0.04460989669
156	0.04428119789
157	0.0441465911
158	0.04393357869
159	0.04368285002
160	0.04349147928
161	0.04333289635
162	0.04320389147
163	0.04290665176
164	0.04251833031
165	0.0423048871
166	0.04211896954
167	0.04207150584
168	0.04192353496
169	0.04180090258
170	0.04158771784
171	0.04127817389
172	0.04103515882
173	0.040702739
174	0.04048293105
175	0.04024255807
176	0.04008414279
177	0.03987517685
178	0.03967654227
179	0.03951026043
180	0.03932119307
181	0.03913777423
182	0.0389473024
183	0.03868335928
