,Feature,Value
22,11_Basin name_ASRI,0.0
21,11_Basin name_AQUITAINE,0.0
20,11_Basin name_AMADEUS,0.0
19,11_Basin name_ALBERT,0.0
18,11_Basin name_ABU GHARADIG,0.0
17,10_Region_NORTH AMERICA,0.0
14,10_Region_FORMER SOVIET UNION,0.0
13,10_Region_EUROPE,0.0
46,11_Basin name_GINDI,0.0
51,11_Basin name_GULF OF SUEZ,0.0
91,11_Basin name_SABAH,0.0
71,11_Basin name_NANXIANG,0.0
90,11_Basin name_RECONCAVO,0.0
89,11_Basin name_RAZZAK-ALAMEIN,0.0
88,11_Basin name_PUTUMAYO,0.0
87,11_Basin name_POWDER RIVER,0.0
86,11_Basin name_PICEANCE,0.0
85,11_Basin name_PHITSANULOK,0.0
82,11_Basin name_PARIS,0.0
81,11_Basin name_PANNONIAN,0.0
80,11_Basin name_OUED MYA-GHADAMES,0.0
79,11_Basin name_ORIENTE,0.0
75,11_Basin name_NORTH JIANGSU,0.0
74,11_Basin name_NIGER DELTA,0.0
70,11_Basin name_MUGLAD,0.0
52,11_Basin name_IRISH SEA EAST,0.0
69,11_Basin name_MIDDLE MAGDALENA,0.0
67,11_Basin name_MESOPOTAMIAN,0.0
66,11_Basin name_MELUT,0.0
65,11_Basin name_MEKONG (CUU LONG),0.0
64,11_Basin name_MARANON,0.0
62,11_Basin name_MALAY,0.0
60,11_Basin name_LOS ANGELES,0.0
59,11_Basin name_LLANOS,0.0
58,11_Basin name_KUTAI,0.0
57,11_Basin name_JUNGGAR,0.0
56,11_Basin name_JIUQUAN,0.0
53,11_Basin name_IVORY COAST,0.0
153,161_Reservoir architecture (main)_TANK LIKE,0.0
