Year,Make,Price,Category
2021,Porsche,62000.0,Convertible
2021,Porsche,59900.0,Coupe
2021,Porsche,67500.0,SUV
2021,Porsche,97300.0,Convertible
2021,Porsche,99200.0,Coupe
2021,Porsche,52100.0,SUV
2021,Porsche,79900.0,Sedan
2021,Porsche,87200.0,Sedan
2021,Porsche,76500.0,SUV
2021,Ram,38575.0,Pickup
2021,Ram,35645.0,Pickup
2021,Ram,32385.0,Van
2021,Ram,25065.0,Van
2021,Ram,47875.0,Pickup
2021,Rivian,77500.0,SUV
2021,Subaru,22245.0,SUV
2021,Rivian,75000.0,Pickup
2021,Ram,31540.0,Van
2021,Subaru,32295.0,SUV
2021,Subaru,18795.0,Wagon
2021,Subaru,24795.0,SUV
2021,Subaru,22895.0,Sedan
2021,Subaru,26795.0,SUV
2021,Tesla,69420.0,Sedan
2021,Tesla,79990.0,SUV
2021,Toyota,36765.0,SUV
2021,Toyota,36125.0,Sedan
2021,Toyota,37100.0,Sedan
2021,Toyota,25045.0,Sedan
2021,Toyota,27270.0,Sedan
2021,Toyota,21595.0,SUV
2021,Toyota,20025.0,Sedan
2021,Toyota,20715.0,Hatchback
2021,Toyota,23600.0,Sedan
2021,Toyota,43090.0,Coupe
2021,Toyota,35085.0,SUV
2021,Toyota,38735.0,SUV
2021,Toyota,85665.0,SUV
2021,Toyota,24525.0,Hatchback
2021,Toyota,28220.0,Hatchback
2021,Toyota,26250.0,SUV
2021,Toyota,28500.0,SUV
2021,Toyota,38250.0,SUV
2021,Toyota,50400.0,SUV
2021,Toyota,34460.0,Van
2021,Toyota,26400.0,Pickup
2021,Toyota,27230.0,Pickup
2021,Toyota,38320.0,Pickup
2021,Toyota,34025.0,Pickup
2021,Toyota,32570.0,SUV
2021,Volkswagen,31545.0,SUV
2021,Volkswagen,30855.0,SUV
2021,Volkswagen,18995.0,Sedan
2021,Volkswagen,23195.0,Hatchback
2021,Volkswagen,23995.0,Sedan
2021,Volvo,60050.0,Sedan
2021,Volvo,51800.0,Wagon
2021,Volvo,40950.0,Wagon
2021,Volkswagen,25245.0,SUV
2021,Volvo,33700.0,SUV
2021,Volvo,41700.0,SUV
2021,Volvo,49000.0,SUV
