1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction (macro-scale),164_Fluid flow restriction (meso-scale),170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
BARQUE,LEMAN SANDSTONE,1P ,UNITED KINGDOM,EUROPE,NORTH SEA SOUTHERN,53.6204,1.5183,GAS,2010.0,PRIMARY RECOVERY,DECLINE,25.0,18.00,,237.0,2010.0,12336.0,,1997.0,36200.0,OFFSHORE,120.0,175.0,8200.0,3850.0,8200.0,,,GAS DRIVE,1211:TILTED FAULT-BLOCK,6880.0,7000.0,18.0,1600.0,PERMIAN,22:DESERT,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL FACIES CHANGE,750.0,570.0,0.76,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBLITHARENITE,TYPE II,PRIMARY INTERGRANULAR,11.0,0.5,0.06,0.0,0.59,,,0.0,94.6,1.7999999999999998,,1.3,,,,273528.0,49.0,503.0,228.0,,614.0,,,45.2,,24.9,,,,,,,,DRILLING/STIMULATION/SAND CONTROL,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,PRE-PACKED LINER/SLOTTED LINER,
BARRACOUTA,LATROBE (M1 UNIT),1P ,AUSTRALIA,ASIA-PACIFIC,GIPPSLAND,-38.2786,147.7094,OIL,2006.0,PRIMARY RECOVERY,DECLINE,,6.00,,80.0,2006.0,1258.0,,1975.0,7706.0,OFFSHORE,151.0,,,1693.0,3810.0,,,AQUIFER DRIVE,113:INVERSION ANTICLINE,4360.0,4511.0,5.5,59.0,PALEOGENE,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALE/COAL,NONE,98.0,83.3,0.85,14.94,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,27.0,5000.0,,0.0,,0.74,6756.75,0.37,,0.0,20.0,,,,-35.0,1400.0,8.0,,30.0,,,,,,,,,,,,,,,,,,,,,
BARRACOUTA,LATROBE (N1 UNIT),1P ,AUSTRALIA,ASIA-PACIFIC,GIPPSLAND,-38.2786,147.7094,GAS,1998.0,PRIMARY RECOVERY,DECLINE,,4.00,,80.0,1998.0,26172.0,,1983.0,46000.0,OFFSHORE,151.0,150.0,3657.0,1693.0,3810.0,2006.0,1031.0,GAS DRIVE,113:INVERSION ANTICLINE,3184.0,3335.0,5.5,443.0,PALEOGENE,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALE/COAL,NONE,330.0,280.5,0.85,85.35,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,25.0,1000.0,,0.0,0.66,,,0.14,,1.8900000000000001,,18.2,,,,,10.0,450.0,350.0,,,,,70.0,,51.85,,,,,,,,,,,,,,
BARRANCAS,BARRANCAS,1P ,ARGENTINA,LATIN AMERICA,CUYO,-33.1788,-68.7917,OIL,,SECONDARY RECOVERY,,,,128.0,0.0,,,,,,ONSHORE,-2952.76,204.8,4593.18,2683.2,4593.18,2003.0,1612.96,AQUIFER DRIVE,113:INVERSION ANTICLINE,6561.68,3608.92,4.0,,MESOZOIC/JURASSIC,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL SHALE-OUT/SEALING FAULT,246.06,114.83,0.47,,OTHERS,,LITHARENITE,,PRIMARY INTERGRANULAR,17.0,182.38,,31.14,,4.6,,0.0,,0.0,112.29,,1.17,526.05,,32000.0,46.0,493.12,81.77,,,,16.6,,,,,,,1967,CONTINUOUS WATER INJECTION,2005,THERMAL,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ROD PUMP,,H2S CONTROL/PROFILE MODIFICATION
BARRANCAS,LAS CABRAS,1P ,ARGENTINA,LATIN AMERICA,CUYO,-33.1788,-68.7917,OIL,,SECONDARY RECOVERY,,56.0,,,0.0,,,,,,ONSHORE,-2952.76,212.0,4760.5,4481.67,4760.5,,,AQUIFER DRIVE,113:INVERSION ANTICLINE,7185.04,4232.28,5.0,,TRIASSIC,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/VOLCANICS,LATERAL SHALE-OUT/SEALING FAULT,393.7,246.06,0.62,,SANDSTONE,,,,PRIMARY INTERGRANULAR,,,,27.49,,8.5,,0.0,,0.0,126.89,,1.27,652.67,,,54.0,424.79,47.17,,,,19.4,,,,,,,1977,CONTINUOUS WATER INJECTION,,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ROD PUMP,,H2S CONTROL/PROFILE MODIFICATION
BARROW ISLAND,WINDALIA SAND,1P ,AUSTRALIA,ASIA-PACIFIC,CARNARVON,-20.8183,115.3939,OIL,2008.0,SECONDARY RECOVERY,DECLINE,730.0,471.00,414.0,30.0,2008.0,5916.0,,1970.0,45000.0,ONSHORE,-100.0,150.0,2050.0,995.0,1837.0,,,GAS DRIVE,1211:TILTED FAULT-BLOCK,1940.0,1837.0,2.0,463.0,CRETACEOUS,24:COASTAL,LAYER-CAKE,SHALE,NONE,110.0,69.0,0.63,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,27.0,2.5,,37.7,0.82,1.76,1.42,0.05,,0.0,225.0,,1.15,995.0,30.0,40000.0,55.0,1250.0,343.0,36.0,,10.0,27.4,,24.56,,,,,1967,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL/SLIM-HOLE WELL,HYDRAULIC FRACTURING (SINGLE STAGE)/ABOVE FORMATION BREAKDOWN PRESSURE WATER INJECTION,MODIFICATION IN INJECTION PATTERN,ROD PUMP/GAS LIFT,,
BATI RAMAN,GARZAN,1P ,TURKEY,MIDDLE EAST,TAURUS,37.8042,41.1311,OIL,2007.0,SECONDARY RECOVERY,SECONDARY REJUVENATING,,260.00,193.0,37.0,2007.0,7646.0,,1992.0,13905.0,ONSHORE,-2920.0,160.0,1968.0,1800.0,1968.0,,,GAS DRIVE,1111:THRUST ANTICLINE,4298.0,1378.0,3.5,690.0,CRETACEOUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL FACIES CHANGE/NON-FRACTURED ZONE,240.0,189.6,0.79,54.86,CARBONATES,PACKSTONE,MOLLUSCS/RUDIST,TYPE IV,MOLDIC/VUGGY,18.0,58.0,350.0,13.3,,592.0,0.09,5.7,,0.0,18.0,,1.03,160.0,,100000.0,21.0,1850.0,185.0,88.0,,1.5,10.0,,5.24,,41.0,-0.04,,1971,CONTINUOUS WATER INJECTION/CO2 IMMISCIBLE INJECTION/WAG IMMISCIBLE INJECTION,1969,THERMAL,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION,,ROD PUMP/PCP,,
BAY MARCHAND,MIOCENE-PLEISTOCENE SANDS,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,29.1168,-90.1603,OIL,2012.0,SECONDARY RECOVERY,MATURE,,,118.0,18.6,2012.0,5218.0,,1966.0,,OFFSHORE,48.0,,,,,,,,1153:DIAPIRIC PIERCEMENT ANTICLINE,2934.0,2982.0,8.0,,NEOGENE,24:COASTAL,JIGSAW-PUZZLE/LABYRINTH,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE/LATERAL SHALE-OUT/RESERVOIR BODY BOUNDARY/SEALING FAULT,16000.0,,0.48,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,,,PRIMARY INTERGRANULAR,29.0,447.0,,0.0,0.61,1.5,,0.0,,0.0,450.0,,,,,,24.0,,,6.5,,,,,,,,,,1963-03,CONTINUOUS WATER INJECTION,,,DRILLING/WATER INJECTION OPTIMIZATION/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,MODIFICATION IN INJECTION PATTERN,,PRESSURE DRAWDOWN CONTROL,CORROSION INHIBITOR TREATMENT/DRILLING AND COMPLETION FLUID OPTIMIZATION/SCALE REMOVAL/SIDETRACKING
BAYOOT,BSW-3/5,1P ,YEMEN,MIDDLE EAST,SAYUN-MASILA,15.212,48.541,OIL,2009.0,PRIMARY RECOVERY,PEAK OR PLATEAU,2.0,2.00,,148.26,,,,2009.0,,ONSHORE,-3116.8,,,4033.0,6801.18,2010.0,600.0,GAS DRIVE,242:FRACTURING,9350.39,6233.6,5.0,,ARCHEAN,31:BASEMENT,LABYRINTH,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE/SEALING FAULT,,,,,OTHERS,,,TYPE I,FRACTURE,0.0,,3000.0,38.0,,0.4,,0.0,,0.0,,,,,,,10.0,38.7,6.5,5.55,,16.8,16.8,,2.45,,,,,,,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ESP,,SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING
BAYU-UNDAN,PLOVER-ELANG,1P ,AUSTRALIA-EAST TIMOR,ASIA-PACIFIC,BONAPARTE,-11.0014,126.6667,GAS-CONDENSATE,2011.0,SECONDARY RECOVERY,PEAK OR PLATEAU,27.0,10.00,10.0,0.0,2009.0,289370.0,,2009.0,289370.0,OFFSHORE,308.0,264.0,,4488.0,10200.0,,,AQUIFER DRIVE,1212:HORST BLOCK,9218.0,9526.0,3.0,574.0,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE/SEALING FAULT,763.0,,0.45,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,12.0,200.0,100.0,60.0,0.92,,,0.0,71.0,8.8,,62.0,,,,,25.0,2014.0,1167.0,,,,,50.0,,26.25,,,,2004,GAS RECYCLING,,,DRILLING/OTHER RESERVOIR MANAGEMENT,EXTENDED REACH WELL,,,,,SIDETRACKING
BEAVER LODGE,DUPEROW,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,48.2713,-102.9547,OIL,2009.0,SECONDARY RECOVERY,SECONDARY DECLINE,72.0,40.00,39.0,160.0,2009.0,1862.0,83.8,1979.0,6418.0,ONSHORE,-2317.0,251.0,8125.0,4800.0,8125.0,2002.0,4129.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,10125.0,7903.0,,,DEVONIAN,13:ORGANIC BUILDUP,,TIGHT CARBONATE/EVAPORITE,LATERAL FACIES CHANGE,151.0,,,13.11,CARBONATES,FLOATSTONE/RUDSTONE/BOUNDSTONE,CORAL/STROMATOPOROID,TYPE IV,INTERPARTICLE,13.0,3.6,5.0,40.5,,0.23,21.7,2.6,,2.6,1072.0,,1.68,3205.0,70.0,329000.0,17.0,230.0,75.0,4.2,,,32.6,,30.78,,41.0,0.03,1.88,1963,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,,,
BEAVER LODGE,MISSION CANYON (MADISON),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,48.2713,-102.9547,OIL,2009.0,SECONDARY RECOVERY,SECONDARY DECLINE,216.0,196.00,24.0,40.0,2009.0,673.0,96.26,1955.0,10868.0,ONSHORE,-2317.0,151.0,6100.0,3821.0,6100.0,2006.0,1800.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,8477.0,6160.0,0.7,188.0,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,TIGHT CARBONATE,LATERAL FACIES CHANGE,120.0,,,20.12,CARBONATES,WACKESTONE/PACKSTONE,BRACHIOPOD/CRINOID,TYPE II,INTERPARTICLE,6.0,2.1,,43.0,,0.23,9.1,0.24,74.0,4.3,1175.0,,1.4,3220.0,0.0,280000.0,42.0,175.2,57.0,0.98,,,32.5,,31.96,,39.0,0.01,0.29,1959,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,ESP/GAS LIFT,,
