1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction (macro-scale),164_Fluid flow restriction (meso-scale),170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
BU ATTIFEL,UPPER SARIR,1P ,LIBYA,AFRICA,SIRT,28.8453,22.1197,OIL,2004,SECONDARY RECOVERY,SECONDARY DECLINE,,,47,0,2011,63500,,1979,190000,ONSHORE,-500,293,13800,6898,13800,1997,5874,AQUIFER DRIVE,1212:HORST BLOCK,13250,12750,5,1476,CRETACEOUS,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,LATERAL SHALE-OUT,1000,500,0.5,152.4,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,12.5,90,,41,,0.21,428.57,36.8,62,3.5,2100,,2.3,5868,102,162000,17,3900,2300,470,,20,59,,46.92,,,,50,1974-05,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION/THERMAL FRACTURING,,,,HIGH GOR WELL SHUT-IN/RE-COMPLETION/WATER PLUGGING
BU HASA,SHUAIBA,1P ,UNITED ARAB EMIRATES,MIDDLE EAST,RUB AL KHALI,23.531,53.2953,OIL,1998,SECONDARY RECOVERY,SECONDARY PEAK OR PLATEAU,730,,201,250,1998,447052,,1973,700000,ONSHORE,-150,250,7700,3956,7700,,,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,7650,7500,1.5,720,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,NONE,RESERVOIR BODY BOUNDARY,430,365,0.85,111.25,CARBONATES,FLOATSTONE/RUDSTONE/BOUNDSTONE,RUDIST,,MOLDIC/VUGGY,20,10,,39.2,,0.28,357,0.95,69.2,5.8,790,,1.73,2525,15,181886,7.5,25000,11500,7106,,20,46,,17.58,,,,15.75,1971,CONTINUOUS WATER INJECTION/DUMP FLOOD/GAS INJECTION/WAG IMMISCIBLE INJECTION,1990,MISCIBLE,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,MODIFICATION IN INJECTION PATTERN/SELECTIVE INJECTION,GAS LIFT,,ADDITIONAL PERFORATION/RE-PERFORATION/SIDETRACKING
BUALUANG,T2-T5,2P ,THAILAND,ASIA-PACIFIC,WESTERN,10.3041,99.9646,OIL,2013,PRIMARY RECOVERY,DEVELOPING,37,28,17,0,,12500,58.8,2013,12500,OFFSHORE,196.85,116,,1600,,,,AQUIFER DRIVE,1211:TILTED FAULT-BLOCK,3392.39,3589.24,,118.11,NEOGENE,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT,LATERAL SHALE-OUT/RESERVOIR BODY BOUNDARY/SHALE-FILLED CHANNEL,2624.67,,,35,SANDSTONE,,,,,30,1800,,27,,8.5,,18,,0,4,,,,,,26,,,,,,24.97,,9.4,,,,2.2,2009,CONTINUOUS WATER INJECTION,,,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,,ESP,GRAVEL PACK/EXPANDABLE SAND SCREEN,FLOWING RATE CONTROL/RE-COMPLETION/SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING/WATER CONING CONTROL
BUDARE,MERECURE-OFICINA,1P ,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,8.8572,-64.7841,OIL,1999,SECONDARY RECOVERY,PRIMARY REJUVENATING,,,,40,1999,16500,40,1972,27100,ONSHORE,-600,,,1600,3900,,,AQUIFER DRIVE,121:NORMAL FAULT,4000,3400,2,580,NEOGENE/PALEOGENE,21:FLUVIAL,LABYRINTH,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE/SEALING FAULT,170,102,0.6,,SANDSTONE,MEDIUM-GRAINED SAND,,,PRIMARY INTERGRANULAR,18,350,,30,,,,0,,0,300,,,,,,,622,451,,,,73,,18.65,,,,,,GAS INJECTION,,,DRILLING/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,,,,,RE-COMPLETION
BUENA SUERTE-MONCLOVA,LA CASITA,1P ,MEXICO,LATIN AMERICA,SABINAS,27,-101,GAS,2003,PRIMARY RECOVERY,SECONDARY MATURE,43,26,,0,,,,,,ONSHORE,-1706,,,,,,,GAS DRIVE,1111:THRUST ANTICLINE,9800,8100,30,,JURASSIC,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL FACIES CHANGE/NON-FRACTURED ZONE,450,,,,SANDSTONE,MEDIUM-GRAINED SAND,ARKOSE,TYPE I,FRACTURE,5,,0.02,0,,,,0,,3.5,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENA SUERTE-MONCLOVA,LA VIRGEN-PADILLA,1P ,MEXICO,LATIN AMERICA,SABINAS,27,-101,GAS,2003,PRIMARY RECOVERY,SECONDARY MATURE,43,26,26,0,2003,500,,1979,20840,ONSHORE,-1706,,,4267,6560,,,GAS DRIVE,1111:THRUST ANTICLINE,6194,4488,30,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,1200,,,,CARBONATES,MUDSTONE,,TYPE I,FRACTURE,7,,0.02,0,,,,0,97.5,2.2,,,,,,,,82.2,43.7,,24,,,53,,48.28,,,,,,,,,,,,,,
BUL HANINE,ARAB D,1P ,QATAR,MIDDLE EAST,RUB AL KHALI,25.4333,52.7,OIL,2009,SECONDARY RECOVERY,DECLINE,,51,51,168,2009,54000,,1979,167014,OFFSHORE,115,212,7700,3817,7700,1973,3117,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,7270,7385,2,515,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE/TAR MAT,SEALING FAULT,240,140,0.6,42.67,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,23,200,,35,,0.5,400,2.2,,2.9,730,,1.51,1700,,230000,,3870,2380,623,,,59.3,67,36.19,,,,31.4,1973,DUMP FLOOD,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,MULTI-LATERAL WELL,ACIDIZATION,,GAS LIFT,,SIDETRACKING
BUL HANINE,UWAINAT,1P ,QATAR,MIDDLE EAST,RUB AL KHALI,25.4333,52.7,GAS-CONDENSATE,2001,PRIMARY RECOVERY,DECLINE,,8,,0,,,,,,OFFSHORE,115,227,8850,4375,8850,,,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8435,8550,2,415,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE,SEALING FAULT,180,,,,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,14,200,,37,,0.4,500,0,,0,,100,,4367,,260000,,410,,,,,15,,,,,,,,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,,FLOWING RATE CONTROL/GAS CONING CONTROL/WATER CONING CONTROL
BULLWINKLE,J SANDS,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,27.8832,-90.9015,OIL,2008,SECONDARY RECOVERY,MATURE,34,24,9,85,2008,3213,82.6,1992,52968,OFFSHORE,1353,162,12099,8550,12070,1999,6439,AQUIFER DRIVE,2232:ONLAP ONTO STRUCTURAL FLANK UNCONFORMITY,9447,10800,15,,NEOGENE,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/SEALING FAULT,330,,,34.14,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,SUBARKOSE,,PRIMARY INTERGRANULAR,32,1810,,29,0.65,0.86,2211,1.7,,0,1760,,1.54,7425,,,17,346,147.3,23,,,41,41,34.09,41.28,47,0.06,5.6,1991-11,CONTINUOUS WATER INJECTION,,,,,,,,,
BUNYU,TARAKAN-SANTUL-TABUL-BUNYU,1P ,INDONESIA,ASIA-PACIFIC,TARAKAN,3.4708,117.8625,OIL,2012,PRIMARY RECOVERY,SECONDARY REJUVENATING,212,,,0,,,,1959,,ONSHORE,-131.23,207.99,5085.3,1385.7,5085.3,,,AQUIFER DRIVE,113:INVERSION ANTICLINE,1115,984.25,6,,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALE,LATERAL SHALE-OUT/SEALING FAULT,8202.1,,0.08,120,SANDSTONE,,,,,25,1000,,33.24,,33,30.76,0.04,89.3,9.7,240,,,,84.47,,,,,15.19,,,33.33,,28.27,,,,0.69,1987-07,CONTINUOUS WATER INJECTION,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ESP/GAS LIFT,,RE-COMPLETION/SHUT-IN WELL REOPEN/STEP-OUT DEVELOPMENT DRILLING
BUTMAH,SHIRANISH,1P ,IRAQ,MIDDLE EAST,ZAGROS,36.2895,42.7,OIL,2001,SECONDARY RECOVERY,,,4,,140,2001,1100,,1960,7800,ONSHORE,-1600,130,1875,1420,1875,1964,560,GAS DRIVE,113:INVERSION ANTICLINE,3300,1765,22,725,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,NONE,NON-FRACTURED ZONE,300,,,,CARBONATES,WACKESTONE/PACKSTONE,PLANKTONIC FORAMINIFERA,TYPE I,FRACTURE,3,1.5,,29.8,,14.1,0.1,2.6,,0,140,,1.07,415,,,,,86.7,,,,,,,,,,,1957-08,CONTINUOUS WATER INJECTION/GAS INJECTION,,,STIMULATION/ARTIFICIAL LIFT,,ACIDIZATION,,ESP/GAS LIFT,,
BUZURGAN,ASMARI,3P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,32.069,47.4,OIL,2006,APPRAISAL,DEVELOPING,,,,0,2006,,,,,ONSHORE,-100,182,,5263,9420,,,,1112:FORELAND ANTICLINE,9140,9040,1.7,531,NEOGENE/PALEOGENE,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE,NON-FRACTURED ZONE,1250,,,,CARBONATES,WACKESTONE/PACKSTONE,BRYOZOAN/CORAL/ECHINOID,TYPE IV,INTERPARTICLE,18,11,,19,,104,0.1,4,,0,,,,,-34.6,315000,30,,480,,,,,,,,,,,,,,,,,,,,,
BUZURGAN,MISHRIF (SIRRI C-E),1P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,32.069,47.4,OIL,2006,DEVELOPING,DEVELOPING,,16,,425,2006,80000,,2000,90000,ONSHORE,-100,,,,,,,GAS DRIVE,1112:FORELAND ANTICLINE,12030,11926,1.7,541,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE,LATERAL FACIES CHANGE,1155,,,,CARBONATES,WACKESTONE/PACKSTONE,ALGAE/ECHINOID/RUDIST/PELOID,,INTERPARTICLE,,,,26,,,,3.8,,0,625,,,,,,,4950,1517,,,,31,,6.87,,,,,1980,CONTINUOUS WATER INJECTION,,,,,,,,,
BUZZARD,BUZZARD SANDSTONE,1P ,UNITED KINGDOM,EUROPE,NORTH SEA CENTRAL,57.8268,-0.9355,OIL,2008,DEVELOPING,DEVELOPING,,10,,450,2008,202020,,2008,202020,OFFSHORE,320,,,4628,8735,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,7480,7800,5,1394,JURASSIC,25:DEEP MARINE,LAYER-CAKE,SHALE,LATERAL SHALE-OUT/SEALING FAULT,486,262.44,0.54,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBARKOSE,,PRIMARY INTERGRANULAR,24,1900,,32.6,,,,8.44,,3.4,271,,,,,,,1200,550,,,,46,,8.5,,,,,,CONTINUOUS WATER INJECTION,,,DRILLING,INFILL WELL,,,,,
CABIN CREEK,INTERLAKE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,46.5782,-104.4303,OIL,2012,SECONDARY RECOVERY,MATURE,,105,103,80,2012,1812,,1959,11978,ONSHORE,-2911,200,,3800,6450,1985,2350,GAS DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,8250,,4.3,400,SILURIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE/EVAPORITE,,,,,15.24,CARBONATES,MUDSTONE/WACKESTONE,ALGAE/BRECCIA/INTRACLAST,TYPE II,INTERCRYSTALLINE,15,5,,33,,1.26,4,0,,10.3,350,,1.2,2530,5,80000,35,,,11.6,,9.8,23.3,,20.83,,,,1.07,1959-06,CONTINUOUS WATER INJECTION,,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ROD PUMP,,STEP-OUT DEVELOPMENT DRILLING
CABIN CREEK,RED RIVER,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,46.5782,-104.4303,OIL,2012,SECONDARY RECOVERY,MATURE,,105,103,80,2012,1812,,1959,11978,ONSHORE,-2911,204,,3800,6450,1985,2350,GAS DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,8761,5850,2.8,300,ORDOVICIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE/EVAPORITE,,,,,12.19,CARBONATES,WACKESTONE/PACKSTONE,ALGAE/BRECCIA/INTRACLAST/ONCOLITE/OOLITE/PELOID,TYPE II,INTERCRYSTALLINE,13,8,,33,,1.26,6,0,,0,300,,1.2,1222,5,150000,25,480,111.8,11.6,,9.8,23.3,,20.83,,,,1.07,1959-06,CONTINUOUS WATER INJECTION,,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ROD PUMP,,STEP-OUT DEVELOPMENT DRILLING
CACTUS,AGUA NUEVA-TAMAULIPAS,1P ,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,17.8667,-93.1667,OIL,2008,SECONDARY RECOVERY,MATURE,,57,15,70,2008,10000,,1978,122000,ONSHORE,-50,255,12434,6714,12434,1999,3390,AQUIFER DRIVE,112:TRANSPRESSIONAL ANTICLINE,11760,11810,10,3610,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE,LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,490,,,,CARBONATES,GRAINSTONE,RUDIST,TYPE IV,VUGGY,7,16,62,38,,4.6,,1.1,,4.86,2027,,2.32,4495,9,,15,2069,404,58,,,19.5,,16.72,,,,7.09,1978-10,CONTINUOUS WATER INJECTION,,,ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,,,GAS LIFT,,HIGH WATER-CUT WELL SHUT-IN
CAHOJ,LANSING-KANSAS CITY,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,39.9739,-101.1508,OIL,2012,DEPLETED,SECONDARY MATURE,186,117,7,30,2012,19,,1961,1737,ONSHORE,-3150,112,,,,,,GAS DRIVE,1162:BURIED-PALEORELIEF COMPACTION ANTICLINE,4025,875,0.1,,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,265,14,0.05,4.27,CARBONATES,PACKSTONE/GRAINSTONE,BRYOZOAN/CRINOID/PELOID,,MOLDIC/VUGGY,15,10,,34,,,,0,,0,0,,,,,65000,,25,8.2,0.1,,18,32.8,,32.4,,,,0.1,1970,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,ROD PUMP,,STEP-OUT DEVELOPMENT DRILLING
CAINAN,CAI-9 BLOCK SANGONGHE,1P ,CHINA,ASIA-PACIFIC,JUNGGAR,44.9695,88.3814,OIL,2004,ENHANCED OIL RECOVERY,DECLINE,,121,85,31.5,2004,4820,62.5,2001,10827,ONSHORE,-2263.78,172.4,5462.6,3162,5462.6,2004,2657,AQUIFER DRIVE,1112:FORELAND ANTICLINE,7624.67,5360.89,9,203,JURASSIC,21:FLUVIAL,LAYER-CAKE,SHALE,LATERAL SHALE-OUT,967.85,448.82,0.46,11.8,SANDSTONE,,QUARTZ ARENITE,,SECONDARY INTERGRANULAR,20,165,,39.8,,1.55,106.45,13.05,,0,393,,1.22,2248,62.6,10845,40,92.2,51.4,24,,,55.7,,30.04,,41,0.09,0.45,1997-08,CONTINUOUS WATER INJECTION,2002,CHEMICAL/OTHER,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ROD PUMP,,PROFILE MODIFICATION/WATER PLUGGING/WAX REMOVAL
CAINAN,CAI-9 BLOCK XISHANYAO,1P ,CHINA,ASIA-PACIFIC,JUNGGAR,44.9695,88.3814,OIL,2011,SECONDARY RECOVERY,DECLINE,285,220,55,32,2011,468,87.9,1996,15348,ONSHORE,-2263.78,170.2,5232.94,3085,5232.94,2011,3544,GAS DRIVE,1112:FORELAND ANTICLINE,7375.78,5112,9,328,JURASSIC,21:FLUVIAL,LAYER-CAKE,COAL,RESERVOIR BODY BOUNDARY,459.32,,,13.6,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,SECONDARY INTERGRANULAR,16,10.5,,39,,3.35,3.13,12.7,88.39,0,505,,1.24,2755.7,69.8,10210,44,175.3,54.6,17.6,,,31.1,,21.11,,39,-0.03,0.25,1993,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),WATER INJECTION ON A ZONAL BASIS,ROD PUMP,,ADDITIONAL PERFORATION/PROFILE MODIFICATION/STEP-OUT DEVELOPMENT DRILLING/WATER PLUGGING/WAX REMOVAL
CAMISEA (CASHIRIARI),ENE-NOI,1P ,PERU,LATIN AMERICA,UCAYALI,-11.86,-72.64,GAS-CONDENSATE,2010,SECONDARY RECOVERY,PEAK OR PLATEAU,15,10,,0,2011,,,,,ONSHORE,-2200,192,6313,3506,6313,,,GAS DRIVE,1111:THRUST ANTICLINE,,,20,,PERMIAN,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/RESERVOIR BODY BOUNDARY,473,260,0.55,79.25,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBARKOSE,TYPE IV,PRIMARY INTERGRANULAR,13.5,30,20,63,0.74,,,0,83.6,1.1,,37.8,,,,,44,522,391,,,,,,,,,,,,GAS INJECTION,,,,,,,,,
CAMISEA (CASHIRIARI),NIA-CHONTA,1P ,PERU,LATIN AMERICA,UCAYALI,-11.86,-72.64,GAS-CONDENSATE,2010,SECONDARY RECOVERY,PEAK OR PLATEAU,15,10,,0,2011,,,,,ONSHORE,-2200,,,,,,,GAS DRIVE,1111:THRUST ANTICLINE,7816,5616,20,1110,CRETACEOUS/JURASSIC/TRIASSIC,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,768,445,0.58,135.64,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,15,200,148,63,0.74,,,0,83.6,1.1,,45.1,,,,,49,980,735,,,,,75,,,,,,,GAS INJECTION,,,,,,,,,
CAMISEA (CASHIRIARI),VIVIAN,1P ,PERU,LATIN AMERICA,UCAYALI,-11.86,-72.64,GAS-CONDENSATE,2010,SECONDARY RECOVERY,PEAK OR PLATEAU,15,10,,0,2011,,,,,ONSHORE,-2200,164,4728,3062,4728,,,GAS DRIVE,1111:THRUST ANTICLINE,6465,4265,20,1575,CRETACEOUS,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE,245,230,0.94,64.01,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16,100,,63,0.73,,,0,83.6,1.1,,43.6,,,,,38,79,59,,,,,,,,,,,,GAS INJECTION,,,,,,,,,
CAMISEA (SAN MARTIN),ENE-NOI,1P ,PERU,LATIN AMERICA,UCAYALI,-11.67,-72.7,GAS-CONDENSATE,2008,SECONDARY RECOVERY,PEAK OR PLATEAU,11,5,,0,2008,,,,,ONSHORE,-1437,180,5538,3178,5906,,,GAS DRIVE,1111:THRUST ANTICLINE,6851,5414,13,731,PERMIAN,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/RESERVOIR BODY BOUNDARY,410,320,0.78,97.54,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,SUBARKOSE,TYPE IV,PRIMARY INTERGRANULAR,16,20,25,63,0.77,,,0,80.6,0.73,,36.2,,,,,44,280,210,,,,,,,,,,,,GAS INJECTION,,,,,,,,,
CAMISEA (SAN MARTIN),NIA-CHONTA,1P ,PERU,LATIN AMERICA,UCAYALI,-11.67,-72.7,GAS-CONDENSATE,2008,SECONDARY RECOVERY,PEAK OR PLATEAU,11,5,,0,2008,103900,,2006,111700,ONSHORE,-1437,163,4586,3143,5655,,,GAS DRIVE,1111:THRUST ANTICLINE,6287,4850,13,1158,CRETACEOUS/JURASSIC/TRIASSIC,24:COASTAL,LAYER-CAKE,SHALE,LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,380,295,0.78,89.92,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,13,200,170,63,0.77,,,0,80.6,0.73,,50.1,,,,,49,437,328,,2933,,,75,,11.13,,,,,GAS INJECTION,,,,,,,,,
CAMPO BOLEADORAS,LOWER MAGALLANES,1P ,ARGENTINA,LATIN AMERICA,AUSTRAL,-50.8554,-70.773,GAS-CONDENSATE,,,,,,,0,,,,,,ONSHORE,-1312.34,170.96,3280.84,1973.96,3280.84,,,GAS DRIVE,221:SUB-UNCONFORMITY TRUNCATION,4773.62,3461.29,0.6,,PALEOGENE,24:COASTAL,JIGSAW-PUZZLE/LAYER-CAKE,SHALE,RESERVOIR BODY BOUNDARY,,26.25,0.2,,SANDSTONE,,FELDSPATHIC LITHARENITE,,,23,101.32,,57,0.65,,,0,90,1,,11.93,,,,,,15.01,12.77,,,,,85,,,,,,,,,,STIMULATION,,HYDRAULIC FRACTURING (SINGLE STAGE),,,,
CANDEIAS,GOMO (CANDEIAS),1P ,BRAZIL,LATIN AMERICA,RECONCAVO,-12.6634,-38.5668,OIL,2001,SECONDARY RECOVERY,MATURE,,197,89,40,2001,5434,,1959,15261,ONSHORE,-150,158,4593,1990,4593,,,AQUIFER DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,2116,1968,21,,CRETACEOUS,23:LACUSTRINE,JIGSAW-PUZZLE,SHALE,LATERAL FACIES CHANGE,1476,295.2,0.2,54.86,OTHERS,CONGLOMERATE,SUBLITHARENITE,TYPE IV,SECONDARY INTERGRANULAR,15,30,,30,,31,0.96,0.09,,0,1735,,,,86,150000,,443,120,,,,27,,21.74,,,,,1954,CONTINUOUS WATER INJECTION/GAS INJECTION,,,DRILLING/ARTIFICIAL LIFT,,,,ROD PUMP,,
CANO LIMON,LOWER CARBONERA,1P ,COLOMBIA,LATIN AMERICA,LLANOS,6.943,-71.1397,OIL,2009,PRIMARY RECOVERY,MATURE,186,178,178,0,2009,49256,,1987,182875,ONSHORE,-450,207,7100,3213,7100,1990,3100,AQUIFER DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,6950,6500,8.5,780,PALEOGENE,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALE,LATERAL FACIES CHANGE/RESERVOIR BODY BOUNDARY/SEALING FAULT,235,144,0.61,38.41,SANDSTONE,MEDIUM-GRAINED SAND/COARSE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,24,1450,6000,29.5,,4,362.5,0.41,,0,8,,1.05,50,50,2000,30,1800,1170,508,,65,65,,36.78,,,,,,,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,ESP,,ADDITIONAL PERFORATION/RE-COMPLETION/SELECTIVE PERFORATION
