iter	Passed	Remaining
415	2389	3354
416	2393	3346
417	2397	3338
418	2401	3330
419	2406	3322
420	2410	3314
421	2414	3306
422	2417	3298
423	2421	3289
424	2426	3282
425	2429	3273
426	2433	3265
427	2438	3258
428	2442	3250
429	2446	3242
430	2450	3234
431	2454	3226
432	2457	3218
433	2461	3210
434	2466	3203
435	2470	3195
436	2475	3188
437	2478	3180
438	2482	3172
439	2487	3165
440	2490	3156
441	2494	3148
442	2498	3141
443	2503	3134
444	2507	3127
445	2512	3120
446	2516	3113
447	2521	3106
448	2525	3099
449	2529	3091
450	2533	3084
451	2537	3076
452	2542	3069
453	2546	3062
454	2549	3054
455	2553	3046
456	2558	3040
457	2562	3032
458	2565	3024
459	2570	3017
460	2574	3010
461	2578	3002
462	2582	2994
463	2587	2988
464	2591	2981
465	2595	2974
466	2599	2967
467	2603	2959
468	2607	2952
469	2611	2944
470	2615	2938
471	2620	2930
472	2624	2923
473	2628	2916
474	2631	2909
475	2637	2902
476	2640	2895
477	2645	2888
478	2649	2881
479	2653	2874
480	2657	2867
481	2661	2860
482	2666	2854
483	2670	2847
484	2675	2841
485	2680	2835
486	2684	2827
487	2688	2820
488	2691	2813
489	2696	2806
490	2701	2800
491	2704	2792
492	2708	2785
493	2712	2778
494	2717	2771
495	2720	2764
496	2724	2757
497	2728	2750
498	2732	2743
499	2736	2736
500	2740	2729
501	2744	2723
502	2748	2715
503	2752	2709
504	2758	2703
505	2762	2697
506	2767	2691
507	2771	2684
508	2776	2677
509	2779	2670
510	2784	2664
511	2788	2657
512	2793	2651
513	2797	2644
514	2800	2637
515	2804	2630
516	2807	2623
517	2812	2616
518	2816	2610
519	2820	2603
520	2824	2596
521	2828	2590
522	2833	2584
523	2837	2577
524	2841	2570
525	2845	2564
526	2850	2558
527	2854	2551
528	2858	2544
529	2862	2538
530	2867	2532
531	2871	2526
532	2875	2519
533	2879	2513
534	2883	2506
535	2888	2500
536	2892	2493
537	2896	2487
538	2900	2480
539	2905	2474
540	2909	2468
541	2913	2462
542	2917	2455
543	2921	2449
544	2925	2442
545	2930	2436
546	2934	2429
547	2938	2423
548	2942	2417
549	2947	2411
550	2951	2405
551	2955	2398
552	2958	2391
553	2963	2385
554	2967	2379
555	2971	2373
556	2975	2366
557	2980	2360
558	2984	2354
559	2989	2348
560	2993	2342
561	2998	2337
562	3002	2330
563	3007	2325
564	3011	2318
565	3015	2311
566	3019	2305
567	3023	2299
568	3028	2293
569	3032	2287
570	3036	2281
571	3040	2275
572	3045	2269
573	3048	2262
574	3052	2256
575	3057	2250
576	3061	2244
577	3066	2238
578	3069	2232
579	3074	2226
580	3078	2220
581	3082	2213
582	3086	2207
583	3091	2201
584	3095	2195
585	3098	2189
586	3102	2182
587	3106	2176
588	3110	2170
589	3113	2163
590	3117	2157
591	3122	2152
592	3127	2146
593	3131	2140
594	3135	2134
595	3140	2128
596	3144	2122
597	3149	2117
598	3154	2111
599	3157	2105
600	3163	2099
601	3168	2094
602	3174	2089
603	3178	2083
604	3182	2077
605	3186	2071
606	3189	2065
607	3194	2059
608	3198	2053
609	3202	2047
610	3206	2041
611	3210	2035
612	3214	2029
613	3219	2023
614	3223	2018
615	3227	2011
616	3231	2005
617	3235	2000
618	3239	1994
619	3244	1988
620	3248	1982
621	3252	1976
622	3256	1970
623	3260	1964
624	3265	1959
625	3270	1954
626	3274	1948
627	3279	1942
628	3284	1937
629	3288	1931
630	3292	1925
631	3296	1919
632	3300	1913
633	3303	1907
634	3308	1901
635	3312	1895
636	3315	1889
637	3319	1883
638	3323	1877
639	3327	1871
640	3331	1865
641	3335	1859
642	3338	1853
643	3342	1847
644	3346	1841
645	3350	1836
646	3354	1830
647	3359	1824
648	3362	1818
649	3366	1812
650	3370	1806
651	3375	1801
652	3378	1795
653	3382	1789
654	3388	1784
655	3392	1779
656	3396	1773
657	3399	1767
658	3403	1761
659	3407	1755
660	3411	1749
661	3415	1744
662	3420	1738
663	3424	1733
664	3428	1727
665	3432	1721
666	3436	1715
667	3440	1710
668	3444	1704
669	3449	1698
670	3454	1693
671	3457	1687
672	3461	1682
673	3465	1676
674	3470	1670
675	3474	1665
676	3478	1659
677	3482	1654
678	3486	1648
679	3490	1642
680	3494	1636
681	3498	1631
682	3502	1625
683	3507	1620
684	3510	1614
685	3514	1608
686	3518	1603
687	3523	1597
688	3527	1592
689	3532	1586
690	3535	1581
691	3539	1575
692	3543	1569
693	3547	1564
694	3551	1558
695	3557	1553
696	3562	1548
697	3566	1543
698	3570	1537
699	3574	1531
700	3578	1526
701	3583	1521
702	3587	1515
703	3591	1509
704	3594	1504
705	3599	1498
706	3603	1493
707	3607	1487
708	3611	1482
709	3615	1476
710	3620	1471
711	3624	1466
712	3628	1460
